frontmost_distance_to_entrance,lifecycle_snapshot,local_front_fraction,longitudinal_span_change_from_initial,max_speed,maximum_pair_penetration,maximum_penetration,mean_density,mean_longitudinal_coordinate,mean_nearest_neighbor_distance,mean_nearest_neighbor_distance_sanity,mean_neighbor_degree,mean_speed,mean_speed_sanity,min_inter_robot_distance,min_neighbor_distance,nan_inf_state_count,nearest_distance_median,nearest_distance_p10,neighbor_degree_std,outside_free_space_robot_count,overlap_pair_count,reference_front_fraction,reference_front_lateral_span,reference_front_lateral_variance,robot_count,source,swarm_lateral_span,swarm_lateral_span_sanity,swarm_longitudinal_span,swarm_longitudinal_span_sanity,timestamp,wall_contact_count,wall_contact_proxy,wall_projection_correction_count
14.140000000000043,INITIAL_STATE,0.0,0.0,0.0,,0.0,0.12419789400938515,-438.9988235294119,2.659999999999977,,79.2,0.0,,,2.659999999999968,,2.659999999999968,2.659999999999968,18.068366897784127,,0.0,0.3411764705882353,75.59999999999997,521.4415695600472,680.0,production,75.59999999999997,,63.839999999999975,,0.0,,0.0,
14.14540700700445,FIRST_UPDATE,0.0,-0.010758245905833519,0.6182748823870537,,0.0,0.12419789400938515,-438.9988720915898,2.6585104663298154,,79.2,0.20113841512441966,,,2.649306825473368,,2.659952624939634,2.649474158600678,18.068366897784127,,0.0,0.3205882352941177,75.58502013734216,546.5493538460031,680.0,production,75.58502013734216,,63.82924175409414,,0.016666666666666666,,0.0,
14.578383501053281,EARLY_COMPRESSION,0.0,9.415427598427954,12.332810524949776,,0.0,0.12669290481291426,-439.0182929685337,2.587167648324578,,82.6470588235294,6.375152049420564,,,2.3868062687491567,,2.6263290358942757,2.395711918039454,18.862711976653486,,0.0,0.3205882352941177,77.28184316801399,491.92080531145854,680.0,production,82.75880849188314,,73.25542759842793,,0.11666666666666665,,0.0,
16.254716978826593,EARLY_COMPRESSION,0.0,2.0979532507959675,28.518753139893395,,0.12291022674835084,0.1376545477906724,-439.14456883896423,2.401129388644208,,91.77352941176471,16.77231160771004,,,2.117089773251649,,2.452171734549047,2.1656301196870613,21.730539757021404,,48.0,0.3205882352941177,73.5025418560243,472.1259551769591,680.0,production,77.14172932857494,,65.93795325079594,,0.21666666666666665,,0.0,
19.156852518117716,EARLY_COMPRESSION,0.0,-5.023067907838431,39.13084265366022,,0.35792223215288677,0.15889177934944226,-439.405032212493,2.1606755511869467,,105.33823529411765,22.848263504996776,,,1.882077767847113,,2.1695968415731333,1.9886546768720397,27.724914625719954,,464.0,0.3205882352941177,69.75822398972173,426.40315422489175,680.0,production,72.66188328791294,,58.816932092161544,,0.31666666666666665,,0.0,
22.597642545169606,EARLY_COMPRESSION,0.0,-12.235111787843088,40.41318779444235,,0.5770222193673684,0.19040180595676726,-439.7520392405759,1.8855668924663813,,127.26764705882353,22.07495046219279,,,1.6629777806326314,,1.8574200664714822,1.747989475137871,34.88361506991529,,675.0,0.3205882352941177,66.17038850293858,383.90966457991755,680.0,production,68.6003784295317,,51.60488821215689,,0.41666666666666663,,0.0,
26.101261986046097,EARLY_COMPRESSION,0.0,-18.491708839255693,36.403051032319944,,0.7820029089643821,0.22762729053389957,-440.18086989659434,1.6536508025535264,,147.56764705882352,16.96547928091125,,,1.4579970910356177,,1.6162718803653402,1.5256694205568373,41.30458755740332,,905.0,0.3205882352941177,62.95136809439782,344.6953547731778,680.0,production,65.0214163783578,,45.34829116074428,,0.5166666666666666,,0.0,
28.628625527232202,EARLY_COMPRESSION,0.0,-22.73988780320522,23.308059523997347,,0.8803460400491718,0.26015807223653353,-440.67054487951145,1.527715433628887,,166.8235294117647,10.608435245359189,,,1.359653959950828,,1.479323119315815,1.388092515906142,49.11135042415785,,1096.0,0.3205882352941177,60.1198668517974,311.20813615890194,680.0,production,61.99736615433738,,41.100112196794754,,0.6166666666666669,,0.0,
29.51372623980359,POST_RELEASE,0.0,-24.145444033175792,9.994624602277609,,0.9021575912759481,0.2752232577612964,-441.09738259313445,1.5104550186255985,,174.48235294117646,4.671989968474553,,,1.3378424087240517,,1.4582745964837938,1.3523031780254868,52.11229092116277,,1140.0,0.3205882352941177,58.46808037560517,288.84949197536145,680.0,production,59.99361177714355,,39.69455596682418,,0.7166666666666672,,0.0,
27.818861253936348,POST_RELEASE,0.2911764705882353,-22.917645538720848,29.613852440799317,,0.9135429680503389,0.26779542154036157,-441.0436003341754,1.5791499271843337,,170.1264705882353,7.148225555538309,,,1.326457031949661,,1.5149318305207042,1.3639709708456496,52.67113736262645,,1043.0,0.3205882352941177,60.081705503916524,321.00145936904727,680.0,production,60.081705503916524,,40.92235446127913,,0.8166666666666675,,0.0,
23.609269538818864,POST_RELEASE,0.21470588235294116,-17.677649281750604,51.154751798388936,,0.890734057527848,0.2439959282446641,-439.3627078789067,1.7020728400322485,,157.0970588235294,28.23378780081779,,,1.3492659424721518,,1.6006669156229953,1.4207692277664057,51.824471764818036,,929.0,0.3205882352941177,62.83201647183971,333.94052950848067,680.0,production,62.83201647183971,,46.16235071824937,,0.9166666666666679,,0.0,
