frontmost_distance_to_entrance,lifecycle_snapshot,local_front_fraction,longitudinal_span_change_from_initial,max_speed,maximum_pair_penetration,maximum_penetration,mean_density,mean_longitudinal_coordinate,mean_nearest_neighbor_distance,mean_nearest_neighbor_distance_sanity,mean_neighbor_degree,mean_speed,mean_speed_sanity,min_inter_robot_distance,min_neighbor_distance,nan_inf_state_count,nearest_distance_median,nearest_distance_p10,neighbor_degree_std,outside_free_space_robot_count,overlap_pair_count,reference_front_fraction,reference_front_lateral_span,reference_front_lateral_variance,robot_count,snapshot,source,swarm_lateral_span,swarm_lateral_span_sanity,swarm_longitudinal_span,swarm_longitudinal_span_sanity,timestamp,wall_contact_count,wall_contact_proxy,wall_projection_correction_count
14.140000000000043,INITIAL_STATE,0.0,0.0,0.0,,0.0,0.12419789400938515,-438.9988235294119,2.659999999999977,,79.2,0.0,,,2.659999999999968,,2.659999999999968,2.659999999999968,18.068366897784127,,0.0,0.3411764705882353,75.59999999999997,521.4415695600472,680.0,INITIAL_STATE,production,75.59999999999997,,63.839999999999975,,0.0,,0.0,
14.14540700700445,FIRST_UPDATE,0.0,-0.010758245905833519,0.6182748823870537,,0.0,0.12419789400938515,-438.9988720915898,2.6585104663298154,,79.2,0.20113841512441966,,,2.649306825473368,,2.659952624939634,2.649474158600678,18.068366897784127,,0.0,0.3205882352941177,75.58502013734216,546.5493538460031,680.0,FIRST_UPDATE,production,75.58502013734216,,63.82924175409414,,0.016666666666666666,,0.0,
28.628625527232202,EARLY_COMPRESSION,0.0,-22.73988780320522,23.308059523997347,,0.8803460400491718,0.26015807223653353,-440.67054487951145,1.527715433628887,,166.8235294117647,10.608435245359189,,,1.359653959950828,,1.479323119315815,1.388092515906142,49.11135042415785,,1096.0,0.3205882352941177,60.1198668517974,311.20813615890194,680.0,EARLY_COMPRESSION,production,61.99736615433738,,41.100112196794754,,0.6166666666666669,,0.0,
8.324796725575993,PRE_JUNCTION_CORRIDOR,0.21029411764705883,-5.068974240628165,108.00000000000125,,0.5232345204142976,0.1669680967663087,-428.79859139783787,2.1511028010634954,,108.66470588235295,69.33061421548908,,,1.7167654795857021,,2.0926438958286475,1.8594151579792977,35.52972146339506,,546.0,0.3205882352941177,72.46786419444221,363.4490750219506,680.0,POST_RELEASE,production,72.4925893219511,,58.77102575937181,,1.1166666666666676,,0.0,
8.324796725575993,PRE_JUNCTION_CORRIDOR,0.21029411764705883,-5.068974240628165,108.00000000000125,,0.5232345204142976,0.1669680967663087,-428.79859139783787,2.1511028010634954,,108.66470588235295,69.33061421548908,,,1.7167654795857021,,2.0926438958286475,1.8594151579792977,35.52972146339506,,546.0,0.3205882352941177,72.46786419444221,363.4490750219506,680.0,PRE_JUNCTION_CORRIDOR,production,72.4925893219511,,58.77102575937181,,1.1166666666666676,,0.0,
14.14,INITIAL_STATE,0.0,0.0,0.0,0.0,0.0,0.12419789400938512,-88.99882352941177,2.6599999999999966,2.6599999999999966,79.2,0.0,0.0,2.6599999999999966,2.6599999999999966,0,2.6599999999999966,2.6599999999999966,18.068366897784127,0,0,0.3411764705882353,75.6,521.4415695600475,680,INITIAL_STATE,clean,75.6,75.6,63.83999999999999,63.83999999999999,0.0,0,0,0
14.145033841630365,FIRST_UPDATE,0.0,-0.010067659014310948,0.5724274316216342,0.0,0.0,0.12419789400938512,-88.99882463654318,2.658549538389516,2.658549538389516,79.2,0.14752043405341292,0.14752043405342372,2.649329162968103,2.649329162968103,0,2.6600002792770217,2.649479409480989,18.068366897784127,0,0,0.3205882352941177,75.58938480705706,522.9515564558388,680,FIRST_UPDATE,clean,75.58938512043306,75.58938512043306,63.82993234098568,63.82993234098568,0.016666666666666666,0,0,0
28.34336770830683,EARLY_COMPRESSION,0.0,-22.91991319337076,24.91904682153404,0.8866182243643284,0.8866182243643284,0.24955522681705467,-90.59667875997114,1.5288962418297554,1.5288962418297554,159.4558823529412,11.231353352344383,11.231353352344387,1.3533817756356714,1.3533817756356714,0,1.4805719594503466,1.3968544285426536,45.43927228068165,0,1017,0.3205882352941177,62.41881143073822,337.392007973679,680,EARLY_COMPRESSION,clean,64.03757068706435,63.244278280581554,40.92008680662923,38.7699269146907,0.6166666666666669,0,0,0
10.667122905993025,PRE_JUNCTION_CORRIDOR,0.25882352941176473,-7.221996135775534,108.00000000000001,0.5822657056404525,0.5822657056404525,0.16795695859391604,-79.96456111818115,2.114383335340161,2.114383335340161,109.20588235294117,67.60837163099417,67.60837163099418,1.6577342943595472,1.6577342943595472,0,2.02946290014791,1.7775625357189728,36.121591564639424,0,477,0.3205882352941177,74.60566214399464,390.60971335363854,680,POST_RELEASE,clean,74.60566214399464,74.60496395067901,56.618003864224455,56.636923683167936,1.1166666666666676,0,0,0
10.667122905993025,PRE_JUNCTION_CORRIDOR,0.25882352941176473,-7.221996135775534,108.00000000000001,0.5822657056404525,0.5822657056404525,0.16795695859391604,-79.96456111818115,2.114383335340161,2.114383335340161,109.20588235294117,67.60837163099417,67.60837163099418,1.6577342943595472,1.6577342943595472,0,2.02946290014791,1.7775625357189728,36.121591564639424,0,477,0.3205882352941177,74.60566214399464,390.60971335363854,680,PRE_JUNCTION_CORRIDOR,clean,74.60566214399464,74.60496395067901,56.618003864224455,56.636923683167936,1.1166666666666676,0,0,0
