map_case,frame,timestamp,threshold_mode,noise_model,noise_fraction,noise_sigma,noise_seed,tau,worst_wall_range,w_tau_lower_bound,w_tau_upper_bound,threshold_interval_valid,threshold_alpha,selected_threshold,frozen55_threshold,frozen55_opening_count,frozen55_junction_detected,w_tau_opening_count,w_tau_junction_detected,active_opening_count,active_opening_present,active_junction_detected,current_junction_evidence,junction_confirmed,confirmation_frame,confirmation_time,system_state,state_transition,active_open_support_count,smoothing_window,interval_threshold_count,interval_junction_stable,interval_opening_count_stable,interval_junction_consistency,interval_opening_count_consistency,anchor_stop_on_detect,anchor_fixed,anchor_fix_frame,anchor_fix_time,post_fix_position_drift,post_fix_max_position_drift,post_fix_max_normal_motion,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.45758132394603,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,93,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7376231932924309,-123.31468693477427,False
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.07447097075581,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,94,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.738083278602946,-118.61689015664723,False
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.995251265062,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,98,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7385313343287923,-114.41223342629699,False
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.26442244986458,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,100,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7401491870458499,-110.43350948487776,False
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.16971584634543,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,104,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7445680172964442,-106.27984251527074,False
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.81555570194615,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,108,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7505727250039873,-101.6910849599836,False
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.92835172501711,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,113,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7545429914233175,-96.70012147197242,False
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.05476759886022,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,118,5,19,True,True,1.0,1.0,True,False,,,0.0,0.0,0.0,-1.7562140871529783,-91.50634008540604,False
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.14435404850066,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,124,5,19,False,False,0.8947368421052632,0.8947368421052632,True,False,,,0.0,0.0,0.0,-1.7571524826858491,-86.35485790794884,False
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.80596190160131,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,131,5,19,False,False,0.7368421052631579,0.7368421052631579,True,False,,,0.0,0.0,0.0,-1.7580573907572994,-81.47257295829957,False
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.15695237800259,2,False,2,False,2,True,False,False,False,,,MOVING,MOVING,138,5,19,False,False,0.631578947368421,0.631578947368421,True,False,,,0.0,0.0,0.0,-1.7592804768876116,-76.93573224906203,False
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.39763520345139,2,False,3,True,3,True,True,True,True,150,2.5166666666666626,FIXED_ANCHOR,CONFIRM_AND_FIX,139,5,19,False,False,0.5263157894736842,0.47368421052631576,True,True,150,2.5166666666666626,0.0,0.0,0.0,-1.761853853879204,-72.63658904805315,False
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.07134635753587,2,False,3,True,3,True,True,True,True,150,2.5166666666666626,FIXED_ANCHOR,FIXED_ANCHOR,142,5,19,False,False,0.5263157894736842,0.47368421052631576,True,True,150,2.5166666666666626,0.0,0.0,4.567280838641169,-1.761853853879204,-72.63658904805315,False
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.09120257579676,2,False,3,True,3,True,True,True,True,150,2.5166666666666626,FIXED_ANCHOR,FIXED_ANCHOR,140,5,19,False,False,0.5263157894736842,0.47368421052631576,True,True,150,2.5166666666666626,0.0,0.0,9.098160189037715,-1.761853853879204,-72.63658904805315,False
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.10367757907244,2,False,3,True,3,True,True,True,True,150,2.5166666666666626,FIXED_ANCHOR,FIXED_ANCHOR,140,5,19,False,False,0.5263157894736842,0.47368421052631576,True,True,150,2.5166666666666626,0.0,0.0,13.591516985302796,-1.761853853879204,-72.63658904805315,False
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,w-tau,truncated-gaussian,0.05,2.5,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.87501918785519,2,False,4,True,4,True,True,True,True,150,2.5166666666666626,FIXED_ANCHOR,FIXED_ANCHOR,136,5,19,False,False,0.5263157894736842,0.5263157894736842,True,True,150,2.5166666666666626,0.0,0.0,18.04874769945869,-1.761853853879204,-72.63658904805315,False
