map_case,phase,start_time,end_time,duration,max_component_count,mean_largest_fraction,max_second_fraction,mean_boundary_fraction,mean_min_angular_separation,mean_retention
M1_CROSS_BASELINE,BOUNDARY_CROSSING,17.0,29.900000000000002,13.000000000000002,2,0.5,0.5,0.6743589743589743,36.953856501492474,0.9991201608848669
M2_T_JUNCTION,BOUNDARY_CROSSING,17.1,29.900000000000002,12.9,2,0.5,0.5,0.669250645994832,40.41731574766771,1.0
M3_ANGLED_Y,BOUNDARY_CROSSING,16.7,20.200000000000003,3.6000000000000036,3,0.7154342185592186,0.3333333333333333,0.5752314814814814,0.0,1.0
M3_ANGLED_Y,JUNCTION_REGION,20.700000000000003,21.400000000000002,0.7999999999999993,2,0.9375,0.0625,0.6666666666666666,0.0,0.9921875
M3_ANGLED_Y,JUNCTION_REGION,24.0,25.700000000000003,1.800000000000003,4,0.6693223443223443,0.4,0.5648148148148149,0.0,0.9880545380545382
M4_ASYMMETRIC_CROSS,BOUNDARY_CROSSING,17.0,29.900000000000002,13.000000000000002,2,0.5,0.5,0.6743589743589743,35.77843898982406,0.9991201608848669
M5_UNEQUAL_WIDTH,BOUNDARY_CROSSING,17.0,29.900000000000002,13.000000000000002,2,0.5055944055944056,0.5,0.6820512820512821,37.79712525195093,0.9991201608848669
