viewpoint_id,grid_stage,forward_ratio_W,lateral_ratio_W,distance_ratio_W,direction_class,viewpoint_geometry_valid,movement_feasibility_proven,left_topology,right_topology,both_side_complete,left_observed_mouth_boundary_count_eval,right_observed_mouth_boundary_count_eval,left_near_boundary_visible_eval,left_far_boundary_visible_eval,left_near_endpoint_error_eval,left_far_endpoint_error_eval,right_near_boundary_visible_eval,right_far_boundary_visible_eval,right_near_endpoint_error_eval,right_far_endpoint_error_eval,left_valid_endpoint_pair,right_valid_endpoint_pair,left_valid_gap,right_valid_gap,left_gt_match_eval,right_gt_match_eval,forward_topology,incoming_topology,wall_segment_count,valid_termination_count,accepted_gap_count,incoming_true_gap_count,side_true_gap_count,false_accepted_gap_count,angular_detector_outgoing_match_eval
F+0.000_L-0.600,COARSE_0.10W,0.0,-0.6,0.6,PURE_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.000_L-0.500,COARSE_0.10W,0.0,-0.5,0.5,PURE_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,79.15212450433306,117.11334993315613,True,False,4.131729299909404,83.6393252756493,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F+0.000_L-0.400,COARSE_0.10W,0.0,-0.4,0.4,PURE_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,16.187390590402078,96.08417981509136,True,False,3.8413191032816822,83.30360536197419,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.000_L-0.300,COARSE_0.10W,0.0,-0.3,0.3,PURE_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,7.741034384582567,87.5010690834028,True,False,4.331232488256164,83.86567026494171,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.000_L-0.200,COARSE_0.10W,0.0,-0.2,0.2,PURE_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,5.025107173057598,84.63359142262394,True,False,5.829871676847343,85.4994707394371,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.000_L-0.100,COARSE_0.10W,0.0,-0.1,0.1,PURE_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.396841896950986,83.93946778529754,True,False,4.0365434713696,83.53018177703547,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
A0,COARSE_0.10W,0.0,0.0,0.0,A0,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.864159049675965,84.4576485622698,True,False,2.9702568994276635,82.22033077115128,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.000_L+0.100,COARSE_0.10W,0.0,0.1,0.1,PURE_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,6.135891182155857,85.82409629638839,True,False,8.840815744009832,88.63418892238401,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.000_L+0.200,COARSE_0.10W,0.0,0.2,0.2,PURE_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.02419515247505,83.51596278272024,True,False,3.1875140650322336,82.50622842584919,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.000_L+0.300,COARSE_0.10W,0.0,0.3,0.3,PURE_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,3.1137356925699833,82.41076548392482,True,False,6.086297463100822,85.77162646460998,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.000_L+0.400,COARSE_0.10W,0.0,0.4,0.4,PURE_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,False,1,0,True,False,3.0211661898532913,82.28869452834323,False,False,36.93097697244216,116.15261188272524,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F+0.000_L+0.500,COARSE_0.10W,0.0,0.5,0.5,PURE_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.000_L+0.600,COARSE_0.10W,0.0,0.6,0.6,PURE_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.000_L+0.700,COARSE_0.10W,0.0,0.7,0.7,PURE_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.100_L-0.700,COARSE_0.10W,0.1,-0.7,0.7071067811865475,FORWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.100_L-0.600,COARSE_0.10W,0.1,-0.6,0.6082762530298219,FORWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.100_L-0.500,COARSE_0.10W,0.1,-0.5,0.5099019513592785,FORWARD_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,70.75512482275707,116.52791265070783,True,False,3.4355976650527027,82.8175973252725,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F+0.100_L-0.400,COARSE_0.10W,0.1,-0.4,0.41231056256176607,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,7.920045737362728,87.68617405893868,True,False,3.3758585105155157,82.74381065423323,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.100_L-0.300,COARSE_0.10W,0.1,-0.3,0.31622776601683794,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,9.078402276517592,88.87786491550642,True,False,4.103617751821639,83.60717454873621,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.100_L-0.200,COARSE_0.10W,0.1,-0.2,0.223606797749979,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.228040017390631,83.74897790227037,True,False,5.905225514303,85.57960293710049,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.100_L-0.100,COARSE_0.10W,0.1,-0.1,0.1414213562373095,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,7.465298401040629,87.2153391033461,True,False,5.040088413483906,84.64991267697484,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.100_L+0.000,COARSE_0.10W,0.1,0.0,0.1,FORWARD_CENTERLINE,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,6.3792888471210745,86.08090382177605,True,False,5.159817157629875,84.78003286308007,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.100_L+0.100,COARSE_0.10W,0.1,0.1,0.1414213562373095,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,6.558672734004872,86.2694802292933,True,False,6.66870188605604,86.38488343577048,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.100_L+0.200,COARSE_0.10W,0.1,0.2,0.223606797749979,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.080425203647559,83.58059797598139,True,False,3.4637145112775465,82.8520959270234,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.100_L+0.300,COARSE_0.10W,0.1,0.3,0.31622776601683794,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,2.906088460429334,82.13275433222458,True,False,9.613342148494764,89.42536453388949,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.100_L+0.400,COARSE_0.10W,0.1,0.4,0.41231056256176607,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,False,1,0,True,False,5.692821453291265,85.35337105883684,False,False,28.546928387891352,108.49521768683378,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F+0.100_L+0.500,COARSE_0.10W,0.1,0.5,0.5099019513592785,FORWARD_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.100_L+0.600,COARSE_0.10W,0.1,0.6,0.6082762530298219,FORWARD_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.100_L+0.700,COARSE_0.10W,0.1,0.7,0.7071067811865475,FORWARD_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.200_L-0.700,COARSE_0.10W,0.2,-0.7,0.7280109889280518,FORWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.200_L-0.600,COARSE_0.10W,0.2,-0.6,0.6324555320336759,FORWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.200_L-0.500,COARSE_0.10W,0.2,-0.5,0.5385164807134504,FORWARD_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,62.35893331206384,117.82864496976144,True,False,5.02914500838592,84.63799132428697,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F+0.200_L-0.400,COARSE_0.10W,0.2,-0.4,0.447213595499958,FORWARD_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,13.336378459800544,93.20702000246037,True,False,5.169167176001277,84.7901713826044,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.200_L-0.300,COARSE_0.10W,0.2,-0.3,0.3605551275463989,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,8.850195656779801,88.64381575051672,True,False,3.1967058497278975,82.51801860624555,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.200_L-0.200,COARSE_0.10W,0.2,-0.2,0.282842712474619,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,8.013534406513608,87.78273066249056,True,False,5.0793779760969775,84.69267373250365,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.200_L-0.100,COARSE_0.10W,0.2,-0.1,0.223606797749979,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,4.318579837479101,83.85140417153153,True,False,4.900843579455655,84.49785044704458,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.200_L+0.000,COARSE_0.10W,0.2,0.0,0.2,FORWARD_CENTERLINE,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,2.900595062187203,82.1251783553089,True,False,5.920954538099005,85.59631248644901,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.200_L+0.100,COARSE_0.10W,0.2,0.1,0.223606797749979,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,5.947860535161143,85.62488254644443,True,False,4.017887713286037,83.50869430128974,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.200_L+0.200,COARSE_0.10W,0.2,0.2,0.282842712474619,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,3.3532045024587505,82.71564712344724,True,False,8.7099762747714,88.4998470262658,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,2,1,1,0,0,1
F+0.200_L+0.300,COARSE_0.10W,0.2,0.3,0.3605551275463989,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,False,1,0,True,False,4.8633825221541525,84.4567969191634,False,False,10.85034003344793,90.68647785457657,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.200_L+0.400,COARSE_0.10W,0.2,0.4,0.447213595499958,FORWARD_LOCAL_LEFT,True,False,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,False,1,0,True,False,4.252068151849262,83.77622026862898,False,False,20.176153761996893,100.09676478866734,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
F+0.200_L+0.500,COARSE_0.10W,0.2,0.5,0.5385164807134504,FORWARD_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.200_L+0.600,COARSE_0.10W,0.2,0.6,0.6324555320336759,FORWARD_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.200_L+0.700,COARSE_0.10W,0.2,0.7,0.7280109889280518,FORWARD_LOCAL_LEFT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.300_L-0.700,COARSE_0.10W,0.3,-0.7,0.7615773105863908,FORWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.300_L-0.600,COARSE_0.10W,0.3,-0.6,0.6708203932499369,FORWARD_LOCAL_RIGHT,False,False,NOT_ANALYZED_INVALID,NOT_ANALYZED_INVALID,False,,,,,,,,,,,,,,,,,,,,,,,,,
F+0.300_L-0.500,COARSE_0.10W,0.3,-0.5,0.5830951894845301,FORWARD_LOCAL_RIGHT,True,False,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,0,1,False,False,53.963927200982326,116.24087655106264,True,False,3.1156297552728884,82.41323547440285,False,False,False,False,False,False,NO_GAP_TOPOLOGY,NO_GAP_TOPOLOGY,2,3,1,0,0,1,1
F+0.300_L-0.400,COARSE_0.10W,0.3,-0.4,0.5,FORWARD_LOCAL_RIGHT,True,False,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,False,1,1,True,False,5.186673669593101,84.80914556267425,True,False,3.2865961793265845,82.63221685193572,False,False,False,False,False,False,NO_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,2,3,1,1,0,0,1
