viewpoint_id,forward_ratio_W,lateral_ratio_W,angular_detector_outgoing_match_eval,left_wall_topology,right_wall_topology,forward_wall_topology
F+0.600_L+0.000,0.6,0.0,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.600_L+0.100,0.6,0.1,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.600_L+0.200,0.6,0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.600_L+0.300,0.6,0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.600_L+0.400,0.6,0.4,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.700_L-0.500,0.7,-0.5,1,NO_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.700_L-0.400,0.7,-0.4,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.700_L-0.300,0.7,-0.3,1,COMPLETE_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY
F+0.700_L-0.200,0.7,-0.2,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.700_L-0.100,0.7,-0.1,1,COMPLETE_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY
F+0.700_L+0.000,0.7,0.0,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.700_L+0.100,0.7,0.1,1,PARTIAL_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY
F+0.700_L+0.200,0.7,0.2,1,PARTIAL_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY
F+0.700_L+0.300,0.7,0.3,1,PARTIAL_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY,NO_GAP_TOPOLOGY
F+0.700_L+0.400,0.7,0.4,1,PARTIAL_GAP_TOPOLOGY,COMPLETE_GAP_TOPOLOGY,PARTIAL_GAP_TOPOLOGY
