map_case,noise_model,frame,timestamp,alpha,threshold,opening_count,junction_detected,anchor_mode
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.05,106.00520775313863,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.1,107.92598629244713,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.15,109.84676483175562,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.2,111.76754337106412,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.25,113.68832191037261,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.3,115.60910044968111,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.35,117.5298789889896,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.4,119.4506575282981,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.45,121.37143606760658,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.5,123.29221460691508,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.55,125.21299314622357,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.6,127.13377168553205,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.65,129.05455022484057,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.7,130.97532876414905,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.75,132.89610730345754,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.8,134.81688584276603,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.85,136.7376643820745,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.9,138.65844292138303,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,12,0.21666666666666665,0.95,140.5792214606915,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.05,106.02841603442506,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.1,107.9479730852448,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.15,109.86753013606453,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.2,111.78708718688426,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.25,113.706644237704,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.3,115.62620128852373,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.35,117.54575833934346,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.4,119.4653153901632,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.45,121.38487244098293,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.5,123.30442949180267,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.55,125.2239865426224,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.6,127.14354359344213,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.65,129.06310064426185,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.7,130.9826576950816,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.75,132.90221474590135,2,False,CLOSED_LOOP_ANCHOR_STOP
M1_PRE_CORRIDOR_55PCT,none,18,0.31666666666666665,0.8,134.82177179672107,2,False,CLOSED_LOOP_ANCHOR_STOP
