map_case,frame,timestamp,noise_model,frozen55_threshold,w_tau_lower_bound,w_tau_upper_bound,w_tau_selected_threshold,threshold_interval_valid,frozen55_opening_count,w_tau_opening_count,frozen55_junction_detected,w_tau_junction_detected,active_threshold_mode,active_opening_count,active_junction_detected,current_junction_evidence,junction_confirmed,confirmation_frame,anchor_fixed,left_lateral_range,right_lateral_range,estimated_corridor_width,estimated_lateral_offset,adaptive_worst_wall_range,adaptive_lower_bound,adaptive_upper_bound,adaptive_selected_threshold,adaptive_estimate_valid,adaptive_fallback_used,adaptive_estimate_source
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,none,103.03560534201992,104.05179430126633,142.5,105.97420458620302,True,2,2,False,False,w-tau,2,False,False,False,,False,40.61844563155516,43.41996834770542,84.03841397926058,1.4007613580751297,94.59254027387847,104.05179430126633,142.5,105.97420458620302,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,none,103.03766297005296,104.05633998655614,142.5,105.97852298722833,True,2,2,False,False,w-tau,2,False,False,False,,False,40.609443641375535,43.42897033788505,84.03841397926058,1.4097633482547565,94.59667271505103,104.05633998655614,142.5,105.97852298722833,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,none,103.05037024714233,104.08442921383015,142.5,106.00520775313863,True,2,2,False,False,w-tau,2,False,False,False,,False,40.55385012217241,43.48456385708816,84.03841397926058,1.4653568674578743,94.62220837620922,104.08442921383015,142.5,106.00520775313863,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,none,103.06781444096154,104.10885898360533,142.5,106.02841603442506,True,2,2,False,False,w-tau,2,False,False,False,,False,40.50554485806289,43.53286912119769,84.03841397926058,1.5136621315674006,94.64441725782302,104.10885898360533,142.5,106.02841603442506,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,none,103.08866803092371,104.13119977037947,142.5,106.04963978186049,True,2,2,False,False,w-tau,2,False,False,False,,False,40.461407129908274,43.577006849352315,84.03841397926058,1.5577998597220208,94.66472706398133,104.13119977037947,142.5,106.04963978186049,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,none,103.07422796350514,104.16579669299733,142.5,106.08250685834747,True,2,2,False,False,w-tau,2,False,False,False,,False,40.39312491606612,43.64528906319447,84.03841397926058,1.6260820735641737,94.69617881181576,104.16579669299733,142.5,106.08250685834747,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,none,103.0633052754273,104.1988276919456,142.5,106.11388630734831,True,2,2,False,False,w-tau,2,False,False,False,,False,40.32801170394332,43.710402275317264,84.03841397926058,1.6911952856869732,94.7262069926778,104.1988276919456,142.5,106.11388630734831,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,none,103.06943645448172,104.21263368745394,142.5,106.12700200308124,True,2,2,False,False,w-tau,2,False,False,False,,False,40.300818893949035,43.73759508531155,84.03841397926058,1.7183880956812558,94.7387578976854,104.21263368745394,142.5,106.12700200308124,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,none,103.06801639751504,104.20943544673828,142.5,106.12396367440137,True,2,2,False,False,w-tau,2,False,False,False,,False,40.307117085362655,43.73129689389793,84.03841397926058,1.7120899042676356,94.7358504061257,104.20943544673828,142.5,106.12396367440137,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,none,103.06767545822055,104.20866763999425,142.5,106.12323425799454,True,2,2,False,False,w-tau,2,False,False,False,,False,40.308629208458754,43.72978477080183,84.03841397926058,1.710577781171537,94.73515239999476,104.20866763999425,142.5,106.12323425799454,True,False,CURRENT_LOCAL_LIDAR
