map_case,frame,timestamp,noise_model,frozen55_threshold,w_tau_lower_bound,w_tau_upper_bound,w_tau_selected_threshold,threshold_interval_valid,frozen55_opening_count,w_tau_opening_count,frozen55_junction_detected,w_tau_junction_detected,active_threshold_mode,active_opening_count,active_junction_detected,current_junction_evidence,junction_confirmed,confirmation_frame,anchor_fixed,left_lateral_range,right_lateral_range,estimated_corridor_width,estimated_lateral_offset,adaptive_worst_wall_range,adaptive_lower_bound,adaptive_upper_bound,adaptive_selected_threshold,adaptive_estimate_valid,adaptive_fallback_used,adaptive_estimate_source
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,none,103.07010635532743,104.21414255848237,142.5,106.12843543055824,True,2,2,False,False,w-tau,2,False,False,False,,False,40.29784777106209,43.740566208198494,84.03841397926058,1.7213592185682032,94.74012959862033,104.21414255848237,142.5,106.12843543055824,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,none,103.07204217738888,104.21850321791787,142.5,106.13257805702197,True,2,2,False,False,w-tau,2,False,False,False,,False,40.289262074733045,43.74915190452754,84.03841397926058,1.7299449148972457,94.74409383447079,104.21850321791787,142.5,106.13257805702197,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,none,103.07313505304589,104.22096534205717,142.5,106.13491707495432,True,2,2,False,False,w-tau,2,False,False,False,,False,40.28441498743961,43.75399899182097,84.03841397926058,1.7347920021906802,94.74633212914287,104.22096534205717,142.5,106.13491707495432,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,none,103.07369098410248,104.22221787363323,142.5,106.13610697995156,True,2,2,False,False,w-tau,2,False,False,False,,False,40.28194933973013,43.75646463953045,84.03841397926058,1.7372576499001582,94.74747079421202,104.22221787363323,142.5,106.13610697995156,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,none,103.0739525693597,104.22280725332439,142.5,106.13666689065818,True,2,2,False,False,w-tau,2,False,False,False,,False,40.28078916513179,43.75762481412879,84.03841397926058,1.738417824498498,94.74800659393125,104.22280725332439,142.5,106.13666689065818,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,none,103.07405635250781,104.22304109131463,142.5,106.1368890367489,True,2,2,False,False,w-tau,2,False,False,False,,False,40.28032886941999,43.758085109840586,84.03841397926058,1.7388781202102983,94.74821917392238,104.22304109131463,142.5,106.1368890367489,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,none,103.07415742209793,104.223268817138,142.5,106.13710537628111,True,2,2,False,False,w-tau,2,False,False,False,,False,40.27988060879411,43.758533370466466,84.03841397926058,1.7393263808361787,94.74842619739817,104.223268817138,142.5,106.13710537628111,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,none,103.07452236712945,104.22409111147756,142.5,106.13788655590369,True,2,2,False,False,w-tau,2,False,False,False,,False,40.278262016217994,43.76015196304259,84.03841397926058,1.7409449734122973,94.74917373770687,104.22409111147756,142.5,106.13788655590369,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,none,103.07551913904078,104.22633716040353,142.5,106.14002030238335,True,2,2,False,False,w-tau,2,False,False,False,,False,40.273841165195336,43.76457281406525,84.03841397926058,1.7453658244349555,94.75121560036683,104.22633716040353,142.5,106.14002030238335,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,none,103.07687364320574,104.22938958165649,142.5,106.14292010257367,True,2,2,False,False,w-tau,2,False,False,False,,False,40.26783371147925,43.77058026778133,84.03841397926058,1.7513732781510392,94.75399052877862,104.22938958165649,142.5,106.14292010257367,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,none,103.07776923091174,104.23140800003604,142.5,106.14483760003424,True,2,2,False,False,w-tau,2,False,False,False,,False,40.26386162942025,43.77455234984033,84.03841397926058,1.7553453602100397,94.75582545457821,104.23140800003604,142.5,106.14483760003424,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,none,103.07814618616688,104.23225760079889,142.5,106.14564472075894,True,2,2,False,False,w-tau,2,False,False,False,,False,40.262189769483015,43.77622420977757,84.03841397926058,1.7570172201472758,94.75659781890808,104.23225760079889,142.5,106.14564472075894,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,none,103.07835786352398,104.23273470109065,142.5,106.14609796603612,True,2,2,False,False,w-tau,2,False,False,False,,False,40.26125094481316,43.77716303444742,84.03841397926058,1.7579560448171279,94.75703154644604,104.23273470109065,142.5,106.14609796603612,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,none,103.07856198699034,104.23319478326545,142.5,106.14653504410218,True,2,2,False,False,w-tau,2,False,False,False,,False,40.26034562291885,43.77806835634173,84.03841397926058,1.7588613667114394,94.75744980296858,104.23319478326545,142.5,106.14653504410218,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,none,103.07883788306026,104.23381664852101,142.5,106.14712581609496,True,2,2,False,False,w-tau,2,False,False,False,,False,40.25912197745991,43.77929200180067,84.03841397926058,1.7600850121703786,94.7580151350191,104.23381664852101,142.5,106.14712581609496,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,none,103.07941836924259,104.23512509957969,142.5,106.14836884460071,True,2,2,False,False,w-tau,2,False,False,False,,False,40.25654742363915,43.781866555621434,84.03841397926058,1.762659565991143,94.75920463598153,104.23512509957969,142.5,106.14836884460071,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,none,103.08029272231445,104.23709605865726,142.5,106.1502412557244,True,2,2,False,False,w-tau,2,False,False,False,,False,40.25266952075286,43.78574445850772,84.03841397926058,1.7665374688774307,94.76099641696113,104.23709605865726,142.5,106.1502412557244,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,none,103.18268574495815,104.23920702132675,142.5,106.15224667026041,True,2,2,False,False,w-tau,2,False,False,False,,False,40.24851645745464,43.78989752180594,84.03841397926058,1.7706905321756494,94.7629154739334,104.23920702132675,142.5,106.15224667026041,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,none,103.39508752843415,104.24075114401776,142.5,106.15371358681688,True,2,2,False,False,w-tau,2,False,False,False,,False,40.245478779297805,43.79293519996277,84.03841397926058,1.7737282103324823,94.76431922183433,104.24075114401776,142.5,106.15371358681688,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,none,104.4067157049875,104.24176334345249,142.5,106.15467517627987,True,2,2,False,False,w-tau,2,False,False,False,,False,40.243487618041556,43.79492636121903,84.03841397926058,1.7757193715887354,94.76523940313862,104.24176334345249,142.5,106.15467517627987,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,180,3.016666666666661,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,186,3.1166666666666605,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,192,3.21666666666666,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,198,3.3166666666666598,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,204,3.4166666666666594,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,210,3.516666666666659,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,216,3.6166666666666587,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,222,3.7166666666666583,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,228,3.816666666666658,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
M1_PRE_CORRIDOR_55PCT,234,3.9166666666666576,none,105.79112769569366,104.24247418465197,142.5,106.15535047541937,True,3,4,True,True,w-tau,4,True,True,True,180,True,40.242089320103624,43.79632465915696,84.03841397926058,1.7771176695266675,94.76588562241088,104.24247418465197,142.5,106.15535047541937,True,False,CURRENT_LOCAL_LIDAR
