frame,time,map_case,left_wall_range,right_wall_range,width_observation,estimated_corridor_width,estimated_offset,corridor_model_initialized,corridor_model_update_enabled,corridor_model_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,leader_speed,lidar_x_eval,lidar_y_eval,GT_corridor_width_eval_only,GT_phase_eval_only,GT_opening_within_sensor_range_eval_only,profile_max_error,nan_inf_state_count
138,2.3166666666666633,M0_STRAIGHT,40.24194260924265,43.75805739075735,84.0,84.0,1.758057390757351,True,True,False,0,0,False,[],47.349395959442326,-1.7580573907573478,78.52742704170053,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
144,2.416666666666663,M0_STRAIGHT,40.24071952311234,43.75928047688766,84.0,84.0,1.7592804768876604,True,True,False,0,0,False,[],44.10209978617773,-1.7592804768876598,83.06426775093806,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
150,2.5166666666666626,M0_STRAIGHT,40.23814614612075,43.76185385387925,84.0,84.0,1.761853853879252,True,True,False,0,0,False,[],42.47535753187518,-1.761853853879254,87.3634109519464,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
156,2.6166666666666623,M0_STRAIGHT,40.2342700158248,43.7657299841752,84.0,84.0,1.765729984175202,True,True,False,0,0,False,[],42.71315696066088,-1.765729984175199,91.6121034418812,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
162,2.716666666666662,M0_STRAIGHT,40.230118850892815,43.769881149107185,84.0,84.0,1.769881149107185,True,True,False,0,0,False,[],43.951357373388205,-1.769881149107188,95.95237022183886,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
168,2.8166666666666615,M0_STRAIGHT,40.22708256125938,43.77291743874062,84.0,84.0,1.7729174387406204,True,True,False,0,0,False,[],45.094084694588375,-1.7729174387406188,100.41848593447139,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
174,2.916666666666661,M0_STRAIGHT,40.22509231016342,43.77490768983658,84.0,84.0,1.7749076898365814,True,True,False,0,0,False,[],45.40340591149199,-1.7749076898365843,104.95467624198035,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
180,3.016666666666661,M0_STRAIGHT,40.22369465138781,43.77630534861219,84.0,84.0,1.7763053486121905,True,True,False,0,0,False,[],44.556286406736405,-1.7763053486121918,109.45506894704783,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
186,3.1166666666666605,M0_STRAIGHT,40.222664093603356,43.777335906396644,84.0,84.0,1.7773359063966438,True,True,False,0,0,False,[],42.71949513612272,-1.7773359063966423,113.80957910399403,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
192,3.21666666666666,M0_STRAIGHT,40.22190253486999,43.77809746513001,84.0,84.0,1.7780974651300099,True,True,False,0,0,False,[],40.52893943303099,-1.7780974651300132,117.95318532629179,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
198,3.3166666666666598,M0_STRAIGHT,40.221110381725936,43.778889618274064,84.0,84.0,1.7788896182740643,True,True,False,0,0,False,[],38.8703979211037,-1.7788896182740626,121.90150483178859,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
204,3.4166666666666594,M0_STRAIGHT,40.219785391101794,43.780214608898206,84.0,84.0,1.7802146088982056,True,True,False,0,0,False,[],38.39793047611437,-1.780214608898203,125.75042112398648,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
210,3.516666666666659,M0_STRAIGHT,40.2179963631592,43.7820036368408,84.0,84.0,1.7820036368407983,True,True,False,0,0,False,[],39.07740772061906,-1.7820036368407948,129.62239935892921,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
216,3.6166666666666587,M0_STRAIGHT,40.21623028172323,43.78376971827677,84.0,84.0,1.7837697182767727,True,True,False,0,0,False,[],40.30244679523329,-1.78376971827677,133.6003526861178,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
222,3.7166666666666583,M0_STRAIGHT,40.215007820088346,43.784992179911654,84.0,84.0,1.7849921799116544,True,True,False,0,0,False,[],41.34835073387863,-1.7849921799116564,137.69545301879418,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
228,3.816666666666658,M0_STRAIGHT,40.214272672630045,43.785727327369955,84.0,84.0,1.7857273273699548,True,True,False,0,0,False,[],41.71010449085224,-1.7857273273699539,141.85830959281765,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
234,3.9166666666666576,M0_STRAIGHT,40.213797445104326,43.786202554895674,84.0,84.0,1.7862025548956737,True,True,False,0,0,False,[],41.182497721949744,-1.7862025548956737,146.0056016400204,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
240,4.016666666666658,M0_STRAIGHT,40.21346302918737,43.78653697081263,84.0,84.0,1.7865369708126266,True,True,False,0,0,False,[],39.94293932407128,-1.7865369708126249,150.055670255775,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
246,4.116666666666657,M0_STRAIGHT,40.213228159979025,43.786771840020975,84.0,84.0,1.7867718400209753,True,True,False,0,0,False,[],38.471240910668854,-1.7867718400209782,153.9636539609299,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
252,4.216666666666657,M0_STRAIGHT,40.212980479968884,43.787019520031116,84.0,84.0,1.7870195200311159,True,True,False,0,0,False,[],37.37491353750742,-1.7870195200311125,157.7412795363151,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
258,4.316666666666657,M0_STRAIGHT,40.21244409840578,43.78755590159422,84.0,84.0,1.7875559015942173,True,True,False,0,0,False,[],37.12899334740833,-1.7875559015942204,161.45683038596735,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
264,4.416666666666656,M0_STRAIGHT,40.21171877945823,43.78828122054177,84.0,84.0,1.7882812205417693,True,True,False,0,0,False,[],37.69799579555256,-1.7882812205417669,165.1977967677157,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
270,4.516666666666656,M0_STRAIGHT,40.21111867024387,43.78888132975613,84.0,84.0,1.78888132975613,True,True,False,0,0,False,[],38.62235752134913,-1.7888813297561286,169.0209479246885,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
276,4.616666666666656,M0_STRAIGHT,40.21082914931196,43.78917085068804,84.0,84.0,1.7891708506880377,True,True,False,0,0,False,[],39.38470873992971,-1.7891708506880373,172.93061647474494,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
282,4.716666666666655,M0_STRAIGHT,40.210706550912484,43.789293449087516,84.0,84.0,1.7892934490875163,True,True,False,0,0,False,[],39.64975203792746,-1.7892934490875139,176.8893905985856,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
288,4.816666666666655,M0_STRAIGHT,40.210603326615235,43.789396673384765,84.0,84.0,1.7893966733847648,True,True,False,0,0,False,[],39.31365354133355,-1.7893966733847635,180.83936696938713,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
294,4.9166666666666545,M0_STRAIGHT,40.21053857633504,43.78946142366496,84.0,84.0,1.7894614236649602,True,True,False,0,0,False,[],38.5313976613078,-1.7894614236649566,184.72750679250564,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
300,5.016666666666654,M0_STRAIGHT,40.210535507186194,43.789464492813806,84.0,84.0,1.7894644928138064,True,True,False,0,0,False,[],37.652285488295064,-1.7894644928138037,188.52843594156954,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
306,5.116666666666654,M0_STRAIGHT,40.21055648034369,43.78944351965631,84.0,84.0,1.7894435196563094,True,True,False,0,0,False,[],37.08704048810338,-1.7894435196563099,192.25677435314893,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
312,5.2166666666666535,M0_STRAIGHT,40.210551034328034,43.789448965671966,84.0,84.0,1.7894489656719657,True,True,False,0,0,False,[],37.06118621444785,-1.7894489656719645,195.95952626557707,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
318,5.316666666666653,M0_STRAIGHT,40.21056453871043,43.78943546128957,84.0,84.0,1.789435461289571,True,True,False,0,0,False,[],37.48212803399574,-1.7894354612895682,199.68761966838798,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
324,5.416666666666653,M0_STRAIGHT,40.21069989402335,43.78930010597665,84.0,84.0,1.7893001059766505,True,True,False,0,0,False,[],38.06271772381326,-1.7893001059766513,203.46968107034272,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
330,5.516666666666652,M0_STRAIGHT,40.21092119912238,43.78907880087762,84.0,84.0,1.7890788008776184,True,True,False,0,0,False,[],38.52133047559469,-1.7890788008776177,207.30458461378223,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
336,5.616666666666652,M0_STRAIGHT,40.211091503489506,43.788908496510494,84.0,84.0,1.7889084965104942,True,True,False,0,0,False,[],38.67238839806682,-1.7889084965104958,211.16850168390172,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
342,5.716666666666652,M0_STRAIGHT,40.21122736026823,43.78877263973177,84.0,84.0,1.7887726397317678,True,True,False,0,0,False,[],38.45332739562511,-1.788772639731765,215.02580432863482,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
348,5.816666666666651,M0_STRAIGHT,40.21134312140781,43.78865687859219,84.0,84.0,1.7886568785921924,True,True,False,0,0,False,[],37.96273330835621,-1.7886568785921932,218.84392794746,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
354,5.916666666666651,M0_STRAIGHT,40.211489678906695,43.788510321093305,84.0,84.0,1.7885103210933053,True,True,False,0,0,False,[],37.429394623805734,-1.7885103210933024,222.60831266457146,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
360,6.016666666666651,M0_STRAIGHT,40.21169642790321,43.78830357209679,84.0,84.0,1.7883035720967868,True,True,False,0,0,False,[],37.11520354100635,-1.788303572096787,226.3303201778742,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
366,6.11666666666665,M0_STRAIGHT,40.211905873778726,43.788094126221274,84.0,84.0,1.7880941262212744,True,True,False,0,0,False,[],37.15309350268377,-1.7880941262212737,230.04118001148146,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
372,6.21666666666665,M0_STRAIGHT,40.21209094249454,43.78790905750546,84.0,84.0,1.787909057505459,True,True,False,0,0,False,[],37.47875389915334,-1.7879090575054593,233.77383234976804,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
378,6.3166666666666496,M0_STRAIGHT,40.21226691354745,43.78773308645255,84.0,84.0,1.7877330864525476,True,True,False,0,0,False,[],37.90402208413141,-1.787733086452548,237.5465535367275,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
