method,runtime_known_width,m0_false_trigger,m0_profile_error,m1_initial_setup,m1_first_detection_time,m1_first_group_count,m1_groups,matched_pose_y,matched_pose_groups
KNOWN_WIDTH_OLD_SAVED,True,0,2.5579538487363607e-13,original_opening_approach,0.016666666666666666,2,"[{""group_id"":0,""start_angle_deg"":-71.5,""end_angle_deg"":-23.5,""center_angle_deg"":-47.5,""angular_width_deg"":48.0,""beam_count"":48,""mean_range"":136.0882873960568,""max_range"":150.0,""mean_delta_range"":71.77228714992239,""max_delta_range"":104.09913439065754},{""group_id"":1,""start_angle_deg"":22.5,""end_angle_deg"":70.5,""center_angle_deg"":46.5,""angular_width_deg"":48.0,""beam_count"":48,""mean_range"":135.183762750706,""max_range"":150.0,""mean_delta_range"":73.74735855185536,""max_delta_range"":106.79451127718413}]",-56.11000036445194,"[{""group_id"":0,""start_angle_deg"":-71.5,""end_angle_deg"":-23.5,""center_angle_deg"":-47.5,""angular_width_deg"":48.0,""beam_count"":48,""mean_range"":136.0882873960568,""max_range"":150.0,""mean_delta_range"":71.77228714992239,""max_delta_range"":104.09913439065754},{""group_id"":1,""start_angle_deg"":22.5,""end_angle_deg"":70.5,""center_angle_deg"":46.5,""angular_width_deg"":48.0,""beam_count"":48,""mean_range"":135.183762750706,""max_range"":150.0,""mean_delta_range"":73.74735855185536,""max_delta_range"":106.79451127718413}]"
LOCAL_ESTIMATED_NEW,False,0,2.5579538487363607e-13,rear_start,0.6166666666666669,2,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":4.5901571633714155,""max_delta_range"":8.614823665967208},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.943829931338499,""max_delta_range"":12.129005273229865}]",-55.045323758019336,"[{""group_id"":0,""start_angle_deg"":-73.5,""end_angle_deg"":-24.5,""center_angle_deg"":-49.0,""angular_width_deg"":49.0,""beam_count"":49,""mean_range"":136.54964593003405,""max_range"":150.0,""mean_delta_range"":73.32504136817188,""max_delta_range"":104.2249398877521},{""group_id"":1,""start_angle_deg"":22.5,""end_angle_deg"":72.5,""center_angle_deg"":47.5,""angular_width_deg"":50.0,""beam_count"":50,""mean_range"":135.05176354319482,""max_range"":150.0,""mean_delta_range"":74.9205023646009,""max_delta_range"":107.70483496936588}]"
