map_case,sample_count,model_initialization_time,estimated_width_mean,estimated_width_min,estimated_width_max,estimated_width_error_eval_only,estimated_offset_mean,estimated_offset_min,estimated_offset_max,first_candidate_time,first_group_time,first_detection_time,first_detection_frame,first_detection_groups,first_detection_gt_phase_eval_only,width_before_detection,width_at_detection,model_frozen_at_detection,clear_sample_count_before_detection,model_frozen_sample_count,false_corridor_trigger_count,max_profile_error,max_nan_inf
M0_STRAIGHT,100,0.11666666666666665,84.0,84.0,84.0,0.0,1.763740117539072,1.409118945088892,1.7934834646524962,nan,nan,nan,-1,[],NONE,nan,nan,False,100,0,0,2.5579538487363607e-13,0
M1_CROSS_BASELINE_REAR_START,100,0.11666666666666665,84.0,84.0,84.0,0.0,1.5542141816242523,1.409118945088892,1.5570877890311294,0.5166666666666666,0.6166666666666669,0.6166666666666669,36,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":4.5901571633714155,""max_delta_range"":8.614823665967208},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.943829931338499,""max_delta_range"":12.129005273229865}]",CORRIDOR,84.0,84.0,True,6,95,0,148.4981459830917,0
