frame,time,map_case,left_wall_range,right_wall_range,width_observation,estimated_corridor_width,estimated_offset,corridor_model_initialized,corridor_model_update_enabled,corridor_model_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,leader_speed,lidar_x_eval,lidar_y_eval,GT_corridor_width_eval_only,GT_phase_eval_only,GT_opening_within_sensor_range_eval_only,profile_max_error,nan_inf_state_count
0,0.016666666666666666,M1_CROSS_BASELINE,40.599878930278855,43.400121069721145,84.0,nan,nan,False,False,False,0,0,False,[],1.799992790879454,-1.4001210697211428,-216.11000036445193,84.0,CORRIDOR,False,2.2737367544323206e-13,0
6,0.11666666666666665,M1_CROSS_BASELINE,40.59088105491111,43.40911894508889,84.0,84.0,1.409118945088892,True,True,False,0,0,False,[],35.799365270424715,-1.4091189450888937,-214.19160676275652,84.0,CORRIDOR,False,2.2737367544323206e-13,0
12,0.21666666666666665,M1_CROSS_BASELINE,40.535312947518996,43.464687052481004,84.0,84.0,1.464687052481004,True,True,False,0,0,False,[],74.70761113595074,-1.4646870524810047,-208.0906111131302,84.0,CORRIDOR,False,2.5579538487363607e-13,0
18,0.31666666666666665,M1_CROSS_BASELINE,40.48702976375733,43.51297023624267,84.0,84.0,1.5129702362426727,True,True,False,0,0,False,[],90.70103164960238,-1.512970236242673,-199.58851052565635,84.0,CORRIDOR,False,2.5579538487363607e-13,0
24,0.41666666666666663,M1_CROSS_BASELINE,40.44291221096887,43.55708778903113,84.0,84.0,1.5570877890311294,True,True,False,0,0,False,[],91.83054442580814,-1.5570877890311259,-190.31866056563157,84.0,CORRIDOR,False,2.5579538487363607e-13,0
30,0.5166666666666666,M1_CROSS_BASELINE,40.3746612089431,43.6253387910569,84.0,84.0,1.5570877890311294,True,False,True,2,0,False,[],86.6023285696093,-1.6253387910568955,-181.48195731270405,84.0,CORRIDOR,True,3.522534747617442,0
36,0.6166666666666669,M1_CROSS_BASELINE,40.30957776008524,43.69042223991476,84.0,84.0,1.5570877890311294,True,False,True,4,2,True,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":4.5901571633714155,""max_delta_range"":8.614823665967208},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.943829931338499,""max_delta_range"":12.129005273229865}]",85.79494863914204,-1.690422239914758,-172.89124605212714,84.0,CORRIDOR,True,12.129005273229865,0
42,0.7166666666666672,M1_CROSS_BASELINE,40.282397379930956,43.717602620069044,84.0,84.0,1.5570877890311294,True,False,True,6,2,True,"[{""group_id"":0,""start_angle_deg"":-19.5,""end_angle_deg"":-16.5,""center_angle_deg"":-18.0,""angular_width_deg"":3.0,""beam_count"":3,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":8.239478951979502,""max_delta_range"":15.71904523965938},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":18.5,""center_angle_deg"":17.0,""angular_width_deg"":3.0,""beam_count"":3,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.907552666948229,""max_delta_range"":19.643423781883996}]",81.50258074131237,-1.7176026200690448,-164.50706108159798,84.0,CORRIDOR,True,19.643423781883996,0
48,0.8166666666666675,M1_CROSS_BASELINE,40.28869269243976,43.71130730756024,84.0,84.0,1.5570877890311294,True,False,True,8,2,True,"[{""group_id"":0,""start_angle_deg"":-20.5,""end_angle_deg"":-16.5,""center_angle_deg"":-18.5,""angular_width_deg"":4.0,""beam_count"":4,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.744091135419882,""max_delta_range"":22.196687357274456},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":19.5,""center_angle_deg"":17.5,""angular_width_deg"":4.0,""beam_count"":4,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.477260108215994,""max_delta_range"":26.251125483645637}]",70.30429010010607,-1.7113073075602405,-156.96619686061356,84.0,CORRIDOR,True,26.251125483645637,0
54,0.9166666666666679,M1_CROSS_BASELINE,40.29020412434402,43.70979587565598,84.0,84.0,1.5570877890311294,True,False,True,10,2,True,"[{""group_id"":0,""start_angle_deg"":-21.5,""end_angle_deg"":-16.5,""center_angle_deg"":-19.0,""angular_width_deg"":5.0,""beam_count"":5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.005288738370023,""max_delta_range"":28.030956922583982},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":20.5,""center_angle_deg"":18.0,""angular_width_deg"":5.0,""beam_count"":5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":18.817635565389672,""max_delta_range"":32.19932389777398}]",58.311735955522316,-1.7097958756559746,-150.67871089160275,84.0,CORRIDOR,True,32.19932389777398,0
60,1.016666666666668,M1_CROSS_BASELINE,40.27942761514499,43.72057238485501,84.0,84.0,1.5570877890311294,True,False,True,12,2,True,"[{""group_id"":0,""start_angle_deg"":-22.5,""end_angle_deg"":-16.5,""center_angle_deg"":-19.5,""angular_width_deg"":6.0,""beam_count"":6,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":18.02489980484175,""max_delta_range"":33.289367690563694},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":21.5,""center_angle_deg"":18.5,""angular_width_deg"":6.0,""beam_count"":6,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":21.97779482377207,""max_delta_range"":37.60315294308042}]",54.79494349296377,-1.7205723848550107,-145.11006101852766,84.0,CORRIDOR,True,37.60315294308042,0
