map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_connected,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase
M1_CROSS_BASELINE,84,1.4166666666666665,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,1,0.1,8.4,0.0,0.0,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,0.0,6.878322991731382,0,False,False,True,1,2,2.842080354395528,0,3596,0,0,27.182857912171265,True,True,680,4.778658145234795,0.12641952765171416,20.142523653043746,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,90,1.5166666666666662,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,1,0.1,8.4,1.2235205754885783,1.2235205754885783,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,24.009305906197582,6.465231098387651,0,False,False,False,1,2,2.898665187019478,0,3920,0,0,26.51238664013005,True,True,680,5.036712092566385,0.13324635165519538,21.365998274588435,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,96,1.6166666666666658,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,1,0.1,8.4,4.845608743839136,4.845608743839136,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,41.32418490275454,6.115541648196199,0,False,False,False,1,2,2.938308146363462,0,4251,0,0,41.32418490275454,True,True,680,6.732810699870383,0.17811668518175616,24.98843281364925,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,102,1.7166666666666655,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,8.964583158619803,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,41.298240619452734,5.819911652318749,0,False,False,False,1,2,2.9499783946106173,0,4586,0,0,41.298240619452734,True,True,680,7.720099673430777,0.20423544109605232,29.10828131286207,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,108,1.816666666666665,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,12.77754419071917,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,34.46892638801741,5.525857648833405,0,False,False,False,1,2,2.947434356750625,0,4928,0,0,34.46892638801741,True,True,680,8.493859545377166,0.22470527897823192,32.92146286387485,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,114,1.9166666666666647,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,15.56575055432296,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,23.155295182534598,5.242228155700144,0,False,False,False,1,2,2.9384647364273397,0,5270,0,0,23.155295182534598,True,True,680,9.1679700097998,0.2425388891481429,35.709615769448455,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,120,2.0166666666666644,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,17.295038868882955,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,13.509212317791576,4.971610178419997,0,False,False,False,1,2,2.9286786691262288,0,5614,0,0,18.500632934896046,True,True,680,9.425224122345202,0.24934455350119586,37.43883374700424,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,126,2.116666666666664,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,18.23886890976044,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,6.955561933937777,4.724530461575169,0,False,False,False,1,2,2.9181037974576154,0,5968,0,0,16.30525800092103,True,True,680,9.229639012546704,0.24417034424726733,38.38262261227848,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,132,2.2166666666666637,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,18.69091835707124,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,3.0987513081843656,4.501598918384351,0,False,False,False,1,2,2.906776298352597,0,6327,0,0,15.685056592436094,True,True,680,8.773782018293344,0.23211063540458585,38.83465327097262,-1.7620542030564665,-152.74884977027222,CORRIDOR
M1_CROSS_BASELINE,138,2.3166666666666633,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,1,0.1,8.4,8.964583158619803,18.87229022124302,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,1.095627172997375,4.309564017099917,1,False,False,False,1,2,2.8959323516018065,0,6687,0,0,15.31533135252598,True,True,680,8.239801364169747,0.21798416307327373,39.016018098141934,-1.7620542030564665,-152.74884977027222,CORRIDOR
