map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase
M0_STRAIGHT,84,1.4166666666666665,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,50.11485083963523,32.5296818218856,0,False,False,False,0,0,2.8419628474140133,0,3596,0,0,59.57893107336321,True,680,11.258550842918439,0.2978452603946677,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,90,1.5166666666666662,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,44.71274723514146,32.519680786288156,0,False,False,False,0,0,2.898099166683763,0,3920,0,0,59.16285202785616,True,680,11.437233349314873,0.30257231082843583,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,96,1.6166666666666658,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,40.50059086154094,32.51223337618569,0,False,False,False,0,0,2.938871036221535,0,4251,0,0,56.15010827114574,True,680,11.09046067106988,0.29339843045158415,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,102,1.7166666666666655,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,39.87545241785106,32.50878745456048,0,False,False,False,0,0,2.9508888795337107,0,4586,0,0,53.29514789422354,True,680,10.417495263862293,0.2755951128005898,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,108,1.816666666666665,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,43.14484590204801,32.50620731012979,0,False,False,False,0,0,2.9472996561789535,0,4928,0,0,51.66790066295608,True,680,9.814173604223626,0.2596342223339584,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,114,1.9166666666666647,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,47.80785865506235,32.50464175435629,0,False,False,False,0,0,2.938381161867545,0,5270,0,0,50.46662619737689,True,680,9.580187340360213,0.253444109533339,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,120,2.0166666666666644,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,51.12775309131851,32.50433270521673,0,False,False,False,0,0,2.92864883058034,0,5614,0,0,51.12775309131851,True,680,9.74908017475356,0.2579121739352794,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,126,2.116666666666664,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,52.173041136871625,32.50513618014878,0,False,False,False,0,0,2.9181551266122154,0,5968,0,0,52.173041136871625,True,680,10.226340699092173,0.2705381137325972,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,132,2.2166666666666637,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,50.70052099208646,32.50661323042624,0,False,False,False,0,0,2.9068587397419825,0,6327,0,0,50.70052099208646,True,680,10.827925463921522,0.2864530546010985,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,138,2.3166666666666633,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,47.349395959442326,32.50763644311532,0,False,False,False,0,0,2.8954298743963394,0,6687,0,0,47.49005718207915,True,680,11.01725298688641,0.29146171922979924,0.0,nan,nan,CORRIDOR_ONLY
