map_case,scan_index,frame,timestamp,cumulative_local_advance,cumulative_advance_width_ratio,actual_step_advance,estimated_corridor_width,leader_speed_at_scan,opening_count,GT_outgoing_branch_count_eval_only,matched_outgoing_count_eval_only,missed_outgoing_count_eval_only,incoming_opening_count_eval_only,false_opening_count_eval_only,mean_center_error_deg_eval_only,valid_lidar_point_count,max_range_no_return_count,front_hit_support,left_hit_support,right_hit_support,wall_tangent_available_count,total_fitted_wall_point_count,mean_usable_wall_sides,GT_outgoing_local_angles_eval_only,GT_incoming_local_angle_eval_only,mean_GT_mouth_interval_iou_eval_only,anchor_x_eval_only,anchor_y_eval_only,anchor_yaw_eval_only,leader_support_connected,leader_communication_connected,leader_component_size,leader_front_pack_gap
M1_CROSS_BASELINE,0,84,1.4166666666666665,0.0,0.0,0.0,84.0,0.0,2,3,1,2,1,0,1.0,287,73,50,89,89,2,10,2.0,"[0.0, 90.0, -90.0]",-180.0,0.5462959141663949,-1.7620542030564665,-152.74884977027222,90.0,True,True,680,4.778658145234795
M1_CROSS_BASELINE,1,144,2.416666666666663,18.91954079655875,0.2252326285304613,18.91954079655875,84.0,0.0,2,3,1,2,1,0,1.0,278,82,42,89,89,2,9,2.0,"[0.0, 90.0, -90.0]",-180.0,0.5125135701370918,-2.0127517523848133,-133.82930897371347,90.0,True,True,680,7.733596227079723
M1_CROSS_BASELINE,2,210,3.516666666666659,39.2383827186883,0.4671236037939083,20.31884192212955,84.0,0.0,2,3,1,2,1,0,1.0,266,94,30,89,89,2,8,2.0,"[0.0, 90.0, -90.0]",-180.0,0.4707333394720037,-2.1477662054297397,-113.51046705158392,90.0,True,True,680,15.045997865305976
M1_CROSS_BASELINE,3,282,4.716666666666655,55.53109575861822,0.6610844733168836,16.29271303992992,84.0,0.0,2,3,1,2,1,0,1.5,263,97,27,89,89,2,8,2.0,"[0.0, 90.0, -90.0]",-180.0,0.4362784750210325,-2.1474277215192537,-97.217754011654,90.0,False,True,680,inf
