frame,timestamp,active_viewpoint_state,viewpoint_scan_index,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,follower_mean_speed,leader_connected,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap
0,0.016666666666666666,WAITING_INITIAL_SCAN,0,2.659602386267772,0,0,0,0,1.8,0.7831622973702062,True,True,680,2.6746962444360176
6,0.11666666666666665,WAITING_INITIAL_SCAN,0,2.6602904825954905,0,0,0,0,35.799365270424715,13.676764597217119,True,True,680,2.7544739709507624
12,0.21666666666666665,WAITING_INITIAL_SCAN,0,2.617382846708036,0,43,0,0,75.86092663950693,26.52958955156861,True,True,680,2.897871550809062
18,0.31666666666666665,WAITING_INITIAL_SCAN,0,2.3177807237306154,0,297,0,0,90.70103164960238,32.003652852520396,True,True,680,3.030805536098666
24,0.41666666666666663,WAITING_INITIAL_SCAN,0,2.265644788157895,0,585,0,0,91.83054442580814,32.5318141269124,True,True,680,3.2951930165349452
30,0.5166666666666666,WAITING_INITIAL_SCAN,0,2.1745396612541086,11,873,0,0,86.6023285696093,32.17899201159829,True,True,680,3.700260890984119
36,0.6166666666666669,WAITING_INITIAL_SCAN,0,2.198733320253317,5,1161,0,0,85.79494863914204,31.902853651425964,True,True,680,4.416683397702625
42,0.7166666666666672,WAITING_INITIAL_SCAN,0,2.2765243459293316,0,1449,0,0,70.19072902978665,26.65355458034334,True,True,680,5.538022144139949
48,0.8166666666666675,WAITING_INITIAL_SCAN,0,2.395665854064284,0,1738,0,0,51.872612030006394,18.693355225233432,True,True,680,6.260648694497892
54,0.9166666666666679,WAITING_INITIAL_SCAN,0,2.487982834589324,0,2032,0,0,39.886698351947615,12.808895914071504,True,True,680,6.49603202139065
60,1.016666666666668,WAITING_INITIAL_SCAN,0,2.5742435171494495,0,2341,0,0,32.4096711145782,9.792055543696682,True,True,680,6.369657404046349
66,1.1166666666666676,WAITING_INITIAL_SCAN,0,2.649618165280812,0,2652,0,0,28.40792497230094,8.500751281041824,True,True,680,6.006411843490465
72,1.2166666666666672,WAITING_INITIAL_SCAN,0,2.717918633235242,0,2964,0,0,25.53968622641126,7.836591762876165,True,True,680,5.554805872786195
78,1.3166666666666669,WAITING_INITIAL_SCAN,0,2.7823201617515534,0,3278,0,0,27.553603853805342,7.330722425627323,True,True,680,5.11281569131122
84,1.4166666666666665,VIEWPOINT_ADVANCE,1,2.842080354395528,0,3596,0,0,27.182857912171265,6.878322991731382,True,True,680,4.778658145234795
90,1.5166666666666662,VIEWPOINT_ADVANCE,1,2.898665187019478,0,3920,0,0,26.51238664013005,6.465231098387651,True,True,680,5.036712092566385
96,1.6166666666666658,VIEWPOINT_ADVANCE,1,2.938308146363462,0,4251,0,0,41.32418490275454,6.115541648196199,True,True,680,6.732810699870383
102,1.7166666666666655,VIEWPOINT_REBRAKING,1,2.9499783946106173,0,4586,0,0,41.298240619452734,5.819911652318749,True,True,680,7.720099673430777
108,1.816666666666665,VIEWPOINT_REBRAKING,1,2.947434356750625,0,4928,0,0,34.46892638801741,5.525857648833405,True,True,680,8.493859545377166
114,1.9166666666666647,VIEWPOINT_REBRAKING,1,2.9384647364273397,0,5270,0,0,23.155295182534598,5.242228155700144,True,True,680,9.1679700097998
