viewpoint_id,viewpoint_role,branch_eval,beam_index,angle_body_deg,angle_corridor_deg,measured_range,smoothed_range,is_max_range,hit,hit_wall_id_eval,first_wall_distance_eval,raw_mouth_ray_eval,axis_related_eval,range_discontinuity,range_evidence,candidate_before_grouping,candidate_mask,candidate_run_id,candidate_group_id,group_accepted,wall_support,tangent_support,posthoc_wall_support_contribution_eval,final_opening_member,rejection_stage
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,196,16.0,16.0,150.0,150.0,True,False,6,150.16602698328532,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,197,17.0,17.0,150.0,150.0,True,False,6,150.9444022631754,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,198,18.0,18.0,150.0,150.0,True,False,6,151.77736264568588,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,199,19.0,19.0,150.0,150.0,True,False,6,152.66632882254765,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,200,20.0,20.0,150.0,150.0,True,False,6,153.61283740798834,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,201,21.0,21.0,150.0,150.0,True,False,6,154.61854776869066,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,202,22.0,22.0,150.0,150.0,True,False,6,155.68524954278567,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,203,23.0,23.0,150.0,150.0,True,False,6,156.81487091445334,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,204,24.0,24.0,150.0,150.0,True,False,6,158.00948771915918,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,205,25.0,25.0,150.0,150.0,True,False,6,159.2713334641523,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,206,26.0,26.0,150.0,150.0,True,False,6,160.6028103597664,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,207,27.0,27.0,150.0,150.0,True,False,6,162.0065014695172,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
