map_case,propulsion_mode,phase,sample_count,gt_mean_forward_progress_mean,gt_mean_forward_progress_min,gt_mean_forward_progress_max,mean_speed_sanity_mean,mean_speed_sanity_min,mean_speed_sanity_max,max_speed_mean,max_speed_min,max_speed_max,min_inter_robot_distance_mean,min_inter_robot_distance_min,min_inter_robot_distance_max,overlap_pair_count_mean,overlap_pair_count_min,overlap_pair_count_max,mean_neighbor_degree_mean,mean_neighbor_degree_min,mean_neighbor_degree_max,reference_front_lateral_span_mean,reference_front_lateral_span_min,reference_front_lateral_span_max,reference_front_lateral_variance_mean,reference_front_lateral_variance_min,reference_front_lateral_variance_max,boundary_fraction_mean,boundary_fraction_min,boundary_fraction_max,boundary_component_count_mean,boundary_component_count_min,boundary_component_count_max,boundary_largest_component_fraction_mean,boundary_largest_component_fraction_min,boundary_largest_component_fraction_max,wall_contact_count_mean,wall_contact_count_min,wall_contact_count_max,max_nan_inf_state_count,max_outside_free_space_robot_count,final_wall_projection_correction_count
M1_CROSS_BASELINE,local_forward,OPENING_APPROACH,3,1.1658236266491002,0.01062649655816017,2.8182299017727814,17.370632838029785,1.0319914277321371,33.58692431305812,40.569809184260045,1.8,84.10864643064157,2.640505109068132,2.6147185053905018,2.6593750946502084,0.0,0.0,0.0,74.96862745098039,68.35,79.2,78.3819545433441,75.64936359294867,81.57815260523026,527.090019959269,513.2952134090904,549.8726483627692,0.14852941176470588,0.14852941176470588,0.14852941176470588,1.0,1.0,1.0,1.0,1.0,1.0,16.333333333333332,0.0,49.0,0,0,0
M1_CROSS_BASELINE,local_forward,BOUNDARY_CROSSING,2,8.999982053023267,6.540712766653385,11.459251339393148,48.803700075123345,44.54504131832507,53.062358831921614,107.54577738101378,107.09155476202754,108.00000000000001,2.3471964761746476,2.326821146894276,2.367571805455019,0.0,0.0,0.0,55.42058823529412,52.370588235294115,58.470588235294116,82.77561137002797,81.85387178420464,83.69735095585132,569.1054231046908,567.8713880241313,570.3394581852504,0.14705882352941177,0.14705882352941177,0.14705882352941177,1.0,1.0,1.0,1.0,1.0,1.0,433.5,293.0,574.0,0,0,0
M1_CROSS_BASELINE,local_forward,JUNCTION_REGION,25,92.11738697313118,17.144872953439105,162.71841018749717,60.75543270982018,55.83203485126754,65.2888770355075,86.42840007392,74.71773838525664,108.00000000000001,1.424937925861487,0.23667872324531106,2.7607029294097,9.56,0.0,22.0,33.077176470588235,27.541176470588237,47.061764705882354,92.45326043601662,81.75400732368675,116.27374191166484,616.2994605227666,518.0280537982902,739.4244229071573,0.13647058823529412,0.1264705882352941,0.14705882352941177,1.16,1.0,2.0,0.9616775542200157,0.686046511627907,1.0,2803.36,834.0,5020.0,0,0,0
