map_case,propulsion_mode,frame,timestamp,initialization_phase,lidar_robot_id,reference_front_size,reference_front_lateral_variance,reference_front_lateral_span,reference_front_longitudinal_span,reference_front_mean_speed,reference_front_mean_abs_lateral_velocity,reference_front_lateral_velocity_variance,local_front_size,local_front_lateral_variance,local_front_lateral_span,local_front_longitudinal_span,local_front_mean_speed,local_front_mean_abs_lateral_velocity,local_front_lateral_velocity_variance,local_front_surface_size,lidar_in_reference_front,lidar_in_local_front,lidar_longitudinal_front_gap,common_forward_x,common_forward_y,motion_bearing_spread,mean_neighbor_degree,median_neighbor_degree,neighbor_degree_std,mean_nearest_neighbor_distance,neighbor_graph_component_count,largest_neighbor_component_fraction,boundary_count,boundary_fraction,boundary_component_count,boundary_largest_component_fraction,boundary_second_component_fraction,boundary_membership_retention,boundary_lateral_span,boundary_longitudinal_span,boundary_angular_spread,boundary_covariance_trace,boundary_anisotropy,lidar_left_wall_support,lidar_right_wall_support,lidar_forward_range,lidar_range_discontinuity,lidar_range_total_variation,lidar_free_space_angular_span,lidar_range_profile_change,outside_free_space_robot_count,wall_contact_count,wall_projection_correction_count,nan_inf_state_count,max_speed,mean_speed_sanity,min_inter_robot_distance,mean_nearest_neighbor_distance_sanity,overlap_pair_count,maximum_pair_penetration,swarm_lateral_span_sanity,swarm_longitudinal_span_sanity,gt_phase,gt_frontmost_crossed,gt_reference_front_crossed,gt_local_front_crossed,gt_mean_forward_progress,gt_frontmost_forward_progress
M0_STRAIGHT,local_forward,0,0.016666666666666666,LOCAL_FORWARD,679,218,518.1021981059475,75.64936359294867,21.302231863554283,1.2502016451911775,0.24195086893694295,0.2577904292991687,210,655.4064702079377,75.65649424160054,63.910269247616256,1.1630475077541098,0.3518760260467732,0.4050250501682537,12,True,False,0.0033798209985036465,-0.00016285252492377402,0.9999999867395274,95.1642862672469,79.2,84.0,18.068366897784127,2.661383570240111,1,1.0,101,0.14852941176470588,1,1.0,0.0,1.0,75.65649424160051,63.91026924761625,356.0074593238856,1587.3659628137711,0.1618458479529746,0.9787234042553191,0.8794326241134752,150.0,14.387922954563862,1.1999979686758324,33.0,0.0,0,0,0,0,1.8,1.0319914277321371,2.6593750946502084,2.661383570240111,0,0.0,75.64911002239323,63.8999998789424,CORRIDOR_ONLY,False,False,False,0.01062649655816017,0.029999878942412295
M0_STRAIGHT,local_forward,6,0.11666666666666665,LOCAL_FORWARD,679,218,513.2952134090904,77.91834743185333,22.408544875692257,24.24927439796322,3.383046351023519,37.679170001477985,149,882.7083656995067,77.97340261048964,67.61889706799984,23.14157255593893,6.9675702181048935,85.54704150953368,5,True,True,0.07061088068741128,-0.0008372714268662843,0.9999996494882175,50.51422826473509,77.35588235294118,84.0,18.863982038241563,2.7365265179238327,1,1.0,101,0.14852941176470588,1,1.0,0.0,1.0,77.97616267331533,67.62555607173292,356.1231252481792,1695.948973243343,0.1383662307631683,1.0,0.9148936170212766,150.0,13.805904548066223,1.1999868556027045,33.0,6.7270303635577315,0,0,0,0,35.80078112213858,17.492982773299097,2.6474217271636853,2.7365265179238327,0,0.0,77.9734299410903,67.5907448100084,CORRIDOR_ONLY,False,False,False,0.6686144816163591,1.9481815104553348
M0_STRAIGHT,local_forward,12,0.21666666666666665,LOCAL_FORWARD,679,218,549.8726483627692,81.57815260523026,25.68104178190582,56.25802650726792,4.730443824709484,51.40176797589781,106,884.09202971024,81.95566797727776,76.4200894795274,53.43256726001986,7.647343518122909,87.8296115350657,8,True,True,0.08477707909097632,0.005462060956942113,0.9999850828337904,52.18718034747881,68.35,72.0,19.465531376376703,2.882875824641163,1,1.0,101,0.14852941176470588,1,1.0,0.0,1.0,81.95566797727776,76.93161699582365,356.28683667877993,1961.3108352850145,0.06383829230893391,1.0,0.9432624113475178,150.0,13.080940205632572,1.1999973068172514,33.0,5.74146578714956,0,49,0,0,84.10864643064157,33.58692431305812,2.6147185053905018,2.882875824641163,0,0.0,81.7287200170583,76.99256386623371,CORRIDOR_ONLY,False,False,False,2.8182299017727814,8.337554980455494
M0_STRAIGHT,local_forward,18,0.31666666666666665,LOCAL_FORWARD,679,218,567.8713880241313,81.85387178420464,29.92380013634253,79.87903844247344,3.3872119629003703,17.00948356865294,72,295.1814626540073,61.84451133865787,15.693629185354176,92.89201106518601,2.772848559505314,12.194740526377812,5,True,True,0.0,0.008646050868179352,0.9999626222036426,36.028209364951024,58.470588235294116,63.0,15.191687537670544,2.9705015536522255,1,1.0,100,0.14705882352941177,1,1.0,0.0,0.9900990099009901,82.34309657573064,88.7685847173453,356.06541851443234,2251.7525927013367,0.0554165251218098,1.0,0.9432624113475178,150.0,12.902164783628564,1.1999996365609695,33.0,2.1035149631890087,0,293,0,0,107.09155476202754,44.54504131832507,2.367571805455019,2.9705015536522263,0,0.0,81.75205000104737,88.87873561617062,CORRIDOR_ONLY,False,False,False,6.540712766653385,18.19721892474083
M0_STRAIGHT,local_forward,24,0.41666666666666663,LOCAL_FORWARD,679,218,569.2674439057755,81.77875787975015,33.78592705894307,88.96986272617379,1.9803129439904708,4.931375089877015,58,229.0123818567439,56.172237020677386,17.568749301245333,102.3099317268687,1.9034222302691473,4.55590310584431,3,True,True,0.0,0.004665766292328092,0.9999891152532139,5.9784413521654045,52.37352941176471,57.0,13.3632025226328,2.988575636670072,1,1.0,100,0.14705882352941177,1,1.0,0.0,1.0,82.07834120947372,100.12916008489191,355.5043052908376,2566.3902894348867,0.1653209042868539,1.0,0.950354609929078,150.0,13.888003878513985,1.199987531212932,33.0,0.7977353467011526,0,587,0,0,108.00000000000003,53.05613503950648,2.326821146894145,2.988575636670072,0,0.0,81.75205000104737,100.1938229103992,CORRIDOR_ONLY,False,False,False,11.459232652839674,28.99635085618975
M0_STRAIGHT,local_forward,30,0.5166666666666666,LOCAL_FORWARD,679,218,574.7500212788365,81.74741947023495,37.363792971924994,89.41324865381941,0.919883301339151,1.40315307098398,46,227.17189868483484,53.626978964378985,14.295252604615296,102.74994444265742,1.1961974219014746,1.8916775452228336,2,True,True,0.0,0.0030862203951586573,0.999995237610496,1.7672460064747504,47.10294117647059,50.0,11.641128540756783,2.9925735730338388,1,1.0,100,0.14705882352941177,1,1.0,0.0,1.0,81.96897345506105,109.88607730028258,354.9127130558074,2875.769304023682,0.25127687180996067,1.0,0.950354609929078,150.0,14.064439909241827,1.1999844722464295,33.0,0.1596433014916267,0,881,0,0,108.00000000000001,59.180593281619636,2.2327465206554797,2.9925735730338388,1,0.007253479344520031,81.75205000104737,109.934476023331,CORRIDOR_ONLY,False,False,False,17.144701281246356,39.79610425882898
M0_STRAIGHT,local_forward,36,0.6166666666666669,LOCAL_FORWARD,679,218,577.7816403348345,81.73186265113526,41.03095553186537,86.82347456408375,0.6162936250670171,1.0484913332272312,43,188.995507001513,51.00584794658145,15.641383769580944,99.23837879238377,0.8571577369361149,1.1205950029989509,3,True,True,0.0,0.002290815638540172,0.9999973760784125,1.1825926515938567,44.08529411764706,47.0,10.99993669374674,3.0067974468156975,1,1.0,99,0.14558823529411766,1,1.0,0.0,0.99,81.9111473184879,118.38372267710177,354.5410651552872,3159.321678463946,0.3092919472115274,1.0,0.950354609929078,150.0,13.989770042764235,1.1999885811963054,33.0,1.0674179708127711,0,1175,0,0,108.0,62.62614132535461,2.247142985890706,3.0067974468156975,0,0.0,81.75205000104737,118.41481999291626,CORRIDOR_ONLY,False,False,False,23.281124037181186,50.5941640999967
M0_STRAIGHT,local_forward,42,0.7166666666666672,LOCAL_FORWARD,679,218,580.1919677178076,81.75969721152288,44.48293837601654,83.57135118197576,0.5392023035505427,1.0116605274543837,38,161.55329410050317,44.96690933248661,16.9536240092442,93.5908455760758,0.8083787707474904,1.1361964162455567,2,True,True,0.0,0.0017818304849457514,0.9999984125388014,1.0703631700443694,41.98823529411764,44.0,10.729968058334189,3.0238805518897816,1,1.0,99,0.14558823529411766,1,1.0,0.0,1.0,81.90957154438875,125.80372804029683,354.3232473729146,3409.3820803976396,0.35685798284181036,1.0,0.950354609929078,150.0,13.557441133202786,1.1999978844956705,33.0,1.0017545671390593,0,1468,0,0,103.83401680391147,64.31259087440614,2.3346527114263247,3.023880551889782,0,0.0,81.75601255696716,125.82533936486789,CORRIDOR_ONLY,False,False,False,29.651994833638433,61.25173527351062
M0_STRAIGHT,local_forward,48,0.8166666666666675,LOCAL_FORWARD,679,218,582.5314751186423,81.75574593844007,47.074017581873804,80.99992215386658,0.5573185185568337,1.0640725265586404,27,136.93734118918846,39.201940225897225,15.987881736460452,89.04094791097997,1.421991771218858,2.769496545514084,2,True,True,0.0,0.0014811811841281203,0.9999989030505482,0.9723568023107839,40.002941176470586,42.0,9.9070677472944,3.0446645703688855,1,1.0,100,0.14705882352941177,1,1.0,0.0,1.0,81.88776853891639,131.6614550199365,354.2413171272272,3632.573436376725,0.39137801493391383,1.0,0.950354609929078,150.0,12.227141888209928,1.1999849661839785,33.0,0.6409316024402947,0,1762,0,0,99.43100828485251,65.01081586741793,2.4641594037057226,3.0446645703688846,0,0.0,81.75601255696716,131.6787360038363,CORRIDOR_ONLY,False,False,False,36.12884406380795,71.06251234665896
M0_STRAIGHT,local_forward,54,0.9166666666666679,LOCAL_FORWARD,679,218,585.0052750722323,81.77391725114519,49.028052234008115,79.09453641106191,0.5491267551825387,0.7633578653720018,26,143.00325033329185,39.25275060472521,16.845779828773587,84.69493833630766,1.2682000231843362,1.7188015959969332,2,True,True,0.0,0.0013354267204838779,0.9999991083173395,0.7653503733216485,38.30882352941177,40.0,9.064081266413726,3.0660131271204114,1,1.0,100,0.14705882352941177,1,1.0,0.0,0.99,81.91926510319782,136.51229668317552,354.0902423953686,3805.5225394587583,0.41534139907649836,1.0,0.9574468085106383,150.0,13.3322946420827,1.199999633502853,33.0,0.8323745463340531,0,2058,0,0,94.47406530795634,65.21846707420218,2.557872212830918,3.0660131271204114,0,0.0,81.75901055963888,136.4790696907262,CORRIDOR_ONLY,False,False,False,42.643926926386584,80.20178189918391
