map_case,scan_index,timestamp,anchor_time,step_local_advance,cumulative_local_advance,cumulative_width_ratio,target_advance,actual_advance,overshoot_ratio,leader_speed_at_scan,support_gap,direct_support_present,communication_component,opening_count,matched_outgoing_eval_only,missed_outgoing_eval_only,false_openings_eval_only,plus90_visible_eval_only,minus90_visible_eval_only,incoming_visible_eval_only,forward_visible_eval_only,mean_center_error_deg_eval_only,mean_GT_mouth_IoU_eval_only,valid_hit_count,max_range_no_return_count,total_wall_fitted_points,wall_tangent_available_count,front_hit_support,left_hit_support,right_hit_support,anchor_x_eval_only,anchor_y_eval_only,anchor_yaw_eval_only
M1_CROSS_BASELINE,0,1.4166666666666665,1.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.778658145234795,True,680,2,1,2,0,False,False,True,True,1.0,0.5462959141663949,287,73,10,2,50,89,89,-1.7620542030564665,-152.74884977027222,90.0
M1_CROSS_BASELINE,1,2.3166666666666633,2.3166666666666633,9.286307770929852,9.286307770929852,0.11055128298726015,8.4,9.286307770929852,0.10551282987260141,0.0,5.827127997205306,True,680,2,1,2,0,False,False,True,True,1.0,0.5262635352723989,283,77,10,2,46,89,89,-1.7228805919971657,-143.46254199934236,90.0
M1_CROSS_BASELINE,2,3.21666666666666,3.21666666666666,8.352290720535962,17.638598491465814,0.20998331537459303,8.4,8.352290720535962,-0.005679676126671285,0.0,6.617062145253274,True,680,2,1,2,0,False,False,True,True,1.0,0.5088978319813551,278,82,9,2,42,89,89,-2.092378503255408,-135.1102512788064,90.0
M1_CROSS_BASELINE,3,4.116666666666657,4.116666666666657,8.522408413732308,26.16100690519812,0.3114405583952157,8.4,8.522408413732308,0.014572430206227041,0.0,7.162314259192171,True,680,2,1,2,0,False,False,True,True,1.0,0.49642035080443453,274,86,8,2,38,89,89,-2.3250545352036447,-126.5878428650741,90.0
