frame,time,map_case,lidar_x_eval,lidar_y_eval,corridor_width,max_range,local_lateral_offset,opening_group_count,junction_detected,detector_state,leader_speed,measured_profile_summary,expected_profile_summary,max_abs_valid_profile_delta,GT_phase_eval_only,nan_inf_state_count,noise_std,dropout,occlusion
90,1.5166666666666662,M0_STRAIGHT,-1.7380832786030214,41.38310984335222,84.0,150.0,1.7380832786030211,0,False,LIDAR_PROFILE_CLEAR,44.71274723514146,"{""min"":40.26191672139698,""mean"":79.10711178640824,""max"":150.0}","{""min"":40.26191672139698,""mean"":79.10711178640824,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
96,1.6166666666666658,M0_STRAIGHT,-1.7385313343288678,45.58776657370219,84.0,150.0,1.7385313343288686,0,False,LIDAR_PROFILE_CLEAR,40.50059086154094,"{""min"":40.26146866567113,""mean"":79.10710275570747,""max"":150.0}","{""min"":40.26146866567113,""mean"":79.10710275570747,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
102,1.7166666666666655,M0_STRAIGHT,-1.7401491870459238,49.56649051512116,84.0,150.0,1.7401491870459225,0,False,LIDAR_PROFILE_CLEAR,39.87545241785106,"{""min"":40.25985081295408,""mean"":79.10707014738911,""max"":150.0}","{""min"":40.25985081295408,""mean"":79.10707014738911,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
108,1.816666666666665,M0_STRAIGHT,-1.744568017296511,53.720157484727956,84.0,150.0,1.7445680172965083,0,False,LIDAR_PROFILE_CLEAR,43.14484590204801,"{""min"":40.25543198270349,""mean"":79.10698108450839,""max"":150.0}","{""min"":40.25543198270349,""mean"":79.10698108450839,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
114,1.9166666666666647,M0_STRAIGHT,-1.7505727250040453,58.30891504001498,84.0,150.0,1.750572725004048,0,False,LIDAR_PROFILE_CLEAR,47.80785865506235,"{""min"":40.24942727499595,""mean"":79.10686005778047,""max"":150.0}","{""min"":40.24942727499595,""mean"":79.10686005778047,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
120,2.0166666666666644,M0_STRAIGHT,-1.7545429914233706,63.29987852802625,84.0,150.0,1.7545429914233708,0,False,LIDAR_PROFILE_CLEAR,51.12775309131851,"{""min"":40.24545700857663,""mean"":79.10678003584152,""max"":150.0}","{""min"":40.24545700857663,""mean"":79.10678003584151,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
126,2.116666666666664,M0_STRAIGHT,-1.7562140871530287,68.49365991459298,84.0,150.0,1.756214087153026,0,False,LIDAR_PROFILE_CLEAR,52.173041136871625,"{""min"":40.243785912846974,""mean"":79.10674635439389,""max"":150.0}","{""min"":40.243785912846974,""mean"":79.10674635439388,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
132,2.2166666666666637,M0_STRAIGHT,-1.757152482685898,73.64514209205073,84.0,150.0,1.7571524826858962,0,False,LIDAR_PROFILE_CLEAR,50.70052099208646,"{""min"":40.242847517314104,""mean"":79.10672744074374,""max"":150.0}","{""min"":40.242847517314104,""mean"":79.10672744074374,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
138,2.3166666666666633,M0_STRAIGHT,-1.7580573907573478,78.52742704170053,84.0,150.0,1.758057390757351,0,False,LIDAR_PROFILE_CLEAR,47.349395959442326,"{""min"":40.24194260924265,""mean"":79.10670920204365,""max"":150.0}","{""min"":40.24194260924265,""mean"":79.10670920204365,""max"":150.0}",1.9895196601282805e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
144,2.416666666666663,M0_STRAIGHT,-1.7592804768876598,83.06426775093806,84.0,150.0,1.7592804768876604,0,False,LIDAR_PROFILE_CLEAR,44.10209978617773,"{""min"":40.24071952311234,""mean"":79.10668455036709,""max"":150.0}","{""min"":40.24071952311234,""mean"":79.10668455036708,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
150,2.5166666666666626,M0_STRAIGHT,-1.761853853879254,87.3634109519464,84.0,150.0,1.761853853879252,0,False,LIDAR_PROFILE_CLEAR,42.47535753187518,"{""min"":40.23814614612075,""mean"":79.10663268316353,""max"":150.0}","{""min"":40.23814614612075,""mean"":79.10663268316353,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
156,2.6166666666666623,M0_STRAIGHT,-1.765729984175199,91.6121034418812,84.0,150.0,1.765729984175202,0,False,LIDAR_PROFILE_CLEAR,42.71315696066088,"{""min"":40.2342700158248,""mean"":79.10655455856704,""max"":150.0}","{""min"":40.2342700158248,""mean"":79.10655455856704,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
162,2.716666666666662,M0_STRAIGHT,-1.769881149107188,95.95237022183886,84.0,150.0,1.769881149107185,0,False,LIDAR_PROFILE_CLEAR,43.951357373388205,"{""min"":40.230118850892815,""mean"":79.10647089056299,""max"":150.0}","{""min"":40.230118850892815,""mean"":79.10647089056299,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
168,2.8166666666666615,M0_STRAIGHT,-1.7729174387406188,100.41848593447139,84.0,150.0,1.7729174387406204,0,False,LIDAR_PROFILE_CLEAR,45.094084694588375,"{""min"":40.22708256125938,""mean"":79.10640969321298,""max"":150.0}","{""min"":40.22708256125938,""mean"":79.10640969321298,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
174,2.916666666666661,M0_STRAIGHT,-1.7749076898365843,104.95467624198035,84.0,150.0,1.7749076898365814,0,False,LIDAR_PROFILE_CLEAR,45.40340591149199,"{""min"":40.22509231016342,""mean"":79.10636957909094,""max"":150.0}","{""min"":40.22509231016342,""mean"":79.10636957909094,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
