map_case,sample_count,detection_count,corridor_false_detection_count,first_detection_frame,first_detection_time,first_detection_group_count,first_detection_groups,first_detection_gt_phase_eval_only,first_detection_leader_speed,max_valid_profile_excess,max_group_count,max_nan_inf,noise_std,dropout,occlusion
M0_STRAIGHT,100,0,0,-1,nan,0,[],NONE,nan,2.5579538487363607e-13,0,0,0.0,0.0,0.0
M1_CROSS_BASELINE,100,49,0,0,0.016666666666666666,2,"[{""group_id"":0,""start_angle_deg"":-71.5,""end_angle_deg"":-23.5,""center_angle_deg"":-47.5,""angular_width_deg"":48.0,""beam_count"":48,""mean_range"":136.0882873960568,""max_range"":150.0,""mean_delta_range"":71.77228714992239,""max_delta_range"":104.09913439065754},{""group_id"":1,""start_angle_deg"":22.5,""end_angle_deg"":70.5,""center_angle_deg"":46.5,""angular_width_deg"":48.0,""beam_count"":48,""mean_range"":135.183762750706,""max_range"":150.0,""mean_delta_range"":73.74735855185536,""max_delta_range"":106.79451127718413}]",OPENING_APPROACH,1.799992790879454,148.70123928496156,2,0,0.0,0.0,0.0
