map_case,frame,time,group_id,start_angle_deg,end_angle_deg,center_angle_deg,angular_width_deg,beam_count,mean_range,max_range,mean_delta_range,max_delta_range,junction_detected
M1_CROSS_BASELINE,126,2.116666666666664,1,122.5,160.5,141.5,38.0,38,137.35328490225635,150.0,67.70288958492579,102.54973096028895,True
M1_CROSS_BASELINE,132,2.2166666666666637,0,-158.5,-124.5,-141.5,34.0,34,141.33165598702664,150.0,65.40881998757396,96.03575406883134,True
M1_CROSS_BASELINE,132,2.2166666666666637,1,127.5,160.5,144.0,33.0,33,139.3783065401803,150.0,66.54013081278259,99.49932162114872,True
M1_CROSS_BASELINE,138,2.3166666666666633,0,-159.5,-128.5,-144.0,31.0,31,142.84639014009792,150.0,62.695586334089015,93.11889826270351,True
M1_CROSS_BASELINE,138,2.3166666666666633,1,131.5,161.5,146.5,30.0,30,141.02958949364802,150.0,63.71267016853646,96.45043585404409,True
M1_CROSS_BASELINE,144,2.416666666666663,0,-160.5,-131.5,-146.0,29.0,29,144.32931056406917,150.0,60.16509878328989,90.5164318116222,True
M1_CROSS_BASELINE,144,2.416666666666663,1,134.5,162.5,148.5,28.0,28,142.7034351417362,150.0,61.09615847248464,93.72123820804282,True
M1_CROSS_BASELINE,150,2.5166666666666626,0,-160.5,-134.5,-147.5,26.0,26,145.99177508075476,150.0,59.09243142888181,87.48485038848591,True
M1_CROSS_BASELINE,150,2.5166666666666626,1,137.5,162.5,150.0,25.0,25,144.56345313698313,150.0,60.03993217822504,90.52713565240136,True
M1_CROSS_BASELINE,156,2.6166666666666623,0,-161.5,-136.5,-149.0,25.0,25,147.1329215502091,150.0,56.37207610360699,85.18297802501665,True
M1_CROSS_BASELINE,156,2.6166666666666623,1,139.5,163.5,151.5,24.0,24,145.94293478101815,150.0,57.232221247323444,88.09013006903987,True
M1_CROSS_BASELINE,162,2.716666666666662,0,-161.5,-138.5,-150.0,23.0,23,148.43195749103523,150.0,55.46797661914409,82.61926090561425,True
M1_CROSS_BASELINE,162,2.716666666666662,1,141.5,163.5,152.5,22.0,22,147.52386887001774,150.0,56.43839928701595,85.36341101085604,True
M1_CROSS_BASELINE,168,2.8166666666666615,0,-162.5,-140.5,-151.5,22.0,22,149.24707732125717,150.0,51.7418685530595,79.75497502698525,True
M1_CROSS_BASELINE,168,2.8166666666666615,1,143.5,163.5,153.5,20.0,20,148.8785105607942,150.0,55.22459152858876,82.29946947550128,True
M1_CROSS_BASELINE,174,2.916666666666661,0,-162.5,-142.5,-152.5,20.0,20,149.93571758784338,150.0,49.781082992166596,76.54351973966145,True
M1_CROSS_BASELINE,174,2.916666666666661,1,145.5,164.5,155.0,19.0,19,149.69253526872103,150.0,50.727215667066154,78.83889193787297,True
M1_CROSS_BASELINE,180,3.016666666666661,0,-162.5,-144.5,-153.5,18.0,18,150.0,150.0,46.9764632732993,72.9271896789295,True
M1_CROSS_BASELINE,180,3.016666666666661,1,147.5,164.5,156.0,17.0,17,150.0,150.0,47.87528570217141,74.90770801838906,True
M1_CROSS_BASELINE,186,3.1166666666666605,0,-162.5,-146.5,-154.5,16.0,16,150.0,150.0,43.85726075546251,68.83276959500566,True
M1_CROSS_BASELINE,186,3.1166666666666605,1,148.5,164.5,156.5,16.0,16,150.0,150.0,46.184961409311924,72.7374442863648,True
M1_CROSS_BASELINE,192,3.21666666666666,0,-162.5,-147.5,-155.0,15.0,15,150.0,150.0,42.19296629323014,66.57872848040044,True
M1_CROSS_BASELINE,192,3.21666666666666,1,150.5,164.5,157.5,14.0,14,150.0,150.0,42.556913748199726,67.9194068906556,True
M1_CROSS_BASELINE,198,3.3166666666666598,0,-162.5,-149.5,-156.0,13.0,13,150.0,150.0,38.627334739794904,61.58741037639892,True
M1_CROSS_BASELINE,198,3.3166666666666598,1,151.5,164.5,158.0,13.0,13,150.0,150.0,40.605281933603074,65.23724045805952,True
M1_CROSS_BASELINE,204,3.4166666666666594,0,-162.5,-150.5,-156.5,12.0,12,150.0,150.0,36.714482390982795,58.817600111330165,True
M1_CROSS_BASELINE,204,3.4166666666666594,1,152.5,164.5,158.5,12.0,12,150.0,150.0,38.55208618759088,62.34641394554738,True
M1_CROSS_BASELINE,210,3.516666666666659,0,-162.5,-151.5,-157.0,11.0,11,150.0,150.0,34.705421669210565,55.838845371694106,True
M1_CROSS_BASELINE,210,3.516666666666659,1,153.5,164.5,159.0,11.0,11,150.0,150.0,36.388622181325395,59.22300458320936,True
M1_CROSS_BASELINE,216,3.6166666666666587,0,-162.5,-152.5,-157.5,10.0,10,150.0,150.0,32.591706345343205,52.62764338567469,True
M1_CROSS_BASELINE,216,3.6166666666666587,1,154.5,164.5,159.5,10.0,10,150.0,150.0,34.10559290481702,55.8396695970017,True
M1_CROSS_BASELINE,222,3.7166666666666583,0,-162.5,-153.5,-158.0,9.0,9,150.0,150.0,30.36471218191683,49.157567762582204,True
M1_CROSS_BASELINE,222,3.7166666666666583,1,155.5,164.5,160.0,9.0,9,150.0,150.0,31.691551212878764,52.16375137937273,True
M1_CROSS_BASELINE,228,3.816666666666658,0,-162.5,-154.5,-158.5,8.0,8,150.0,150.0,28.01565903673528,45.398762502193264,True
M1_CROSS_BASELINE,228,3.816666666666658,1,156.5,164.5,160.5,8.0,8,150.0,150.0,29.132466970620214,48.156036385917886,True
M1_CROSS_BASELINE,234,3.9166666666666576,0,-162.5,-155.5,-159.0,7.0,7,150.0,150.0,25.533258585351128,41.31524229025524,True
M1_CROSS_BASELINE,234,3.9166666666666576,1,157.5,164.5,161.0,7.0,7,150.0,150.0,26.413821434608753,43.7714199508231,True
M1_CROSS_BASELINE,240,4.016666666666658,0,-162.5,-155.5,-159.0,7.0,7,150.0,150.0,25.5340618085475,41.31594366732587,True
M1_CROSS_BASELINE,240,4.016666666666658,1,158.5,164.5,161.5,6.0,6,150.0,150.0,23.519981641764335,38.95711287273845,True
M1_CROSS_BASELINE,246,4.116666666666657,0,-162.5,-156.5,-159.5,6.0,6,150.0,150.0,22.904445165433074,36.86454039754483,True
M1_CROSS_BASELINE,246,4.116666666666657,1,158.5,164.5,161.5,6.0,6,150.0,150.0,23.519211126589017,38.956436400432764,True
M1_CROSS_BASELINE,252,4.216666666666657,0,-162.5,-157.5,-160.0,5.0,5,150.0,150.0,20.11304519380049,31.995309517976253,True
M1_CROSS_BASELINE,252,4.216666666666657,1,159.5,164.5,162.0,5.0,5,150.0,150.0,20.431080065277474,33.64818368742161,True
M1_CROSS_BASELINE,258,4.316666666666657,0,-162.5,-158.5,-160.5,4.0,4,150.0,150.0,17.14338650956764,26.649032791876948,True
M1_CROSS_BASELINE,258,4.316666666666657,1,160.5,164.5,162.5,4.0,4,150.0,150.0,17.12579607203081,27.767630947970275,True
M1_CROSS_BASELINE,264,4.416666666666656,0,-162.5,-158.5,-160.5,4.0,4,150.0,150.0,17.14487784065756,26.650417420970953,True
M1_CROSS_BASELINE,264,4.416666666666656,1,160.5,164.5,162.5,4.0,4,150.0,150.0,17.12413925273645,27.76610682258361,True
M1_CROSS_BASELINE,270,4.516666666666656,0,-162.5,-159.5,-161.0,3.0,3,150.0,150.0,13.978262129730362,20.756383181579196,True
M1_CROSS_BASELINE,270,4.516666666666656,1,161.5,164.5,163.0,3.0,3,150.0,150.0,13.574702827369302,21.217181008662948,True
M1_CROSS_BASELINE,276,4.616666666666656,0,-162.5,-159.5,-161.0,3.0,3,150.0,150.0,13.980816167282512,20.75880994847617,True
M1_CROSS_BASELINE,276,4.616666666666656,1,161.5,164.5,163.0,3.0,3,150.0,150.0,13.571857486094245,21.214495062009433,True
M1_CROSS_BASELINE,282,4.716666666666655,0,-162.5,-160.5,-161.5,2.0,2,150.0,150.0,10.595078548862219,14.23101798966377,True
M1_CROSS_BASELINE,282,4.716666666666655,1,162.5,164.5,163.5,2.0,2,150.0,150.0,9.746896724018413,13.878951172414844,True
M1_CROSS_BASELINE,288,4.816666666666655,0,-162.5,-160.5,-161.5,2.0,2,150.0,150.0,10.597784474154338,14.233653339395204,True
M1_CROSS_BASELINE,288,4.816666666666655,1,162.5,164.5,163.5,2.0,2,150.0,150.0,9.743873070470613,13.876016599969716,True
