frame,time,map_case,lidar_x_eval,lidar_y_eval,corridor_width,max_range,local_lateral_offset,opening_group_count,junction_detected,detector_state,leader_speed,measured_profile_summary,expected_profile_summary,max_abs_valid_profile_delta,GT_phase_eval_only,nan_inf_state_count,noise_std,dropout,occlusion
0,0.016666666666666666,M1_CROSS_BASELINE,-1.4001210697211428,-56.11000036445194,84.0,150.0,1.4001210697211448,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,1.799992790879454,"{""min"":40.599878930278855,""mean"":98.51654294542115,""max"":150.0}","{""min"":40.599878930278855,""mean"":79.11392351851745,""max"":150.0}",106.79451127718413,OPENING_APPROACH,0,0.0,0.0,0.0
6,0.11666666666666665,M1_CROSS_BASELINE,-1.4091189450888946,-54.19160676275653,84.0,150.0,1.409118945088892,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,35.799365270424715,"{""min"":40.59088105491111,""mean"":99.92748066412997,""max"":150.0}","{""min"":40.59088105491111,""mean"":79.11374216357615,""max"":150.0}",107.55445029232911,OPENING_APPROACH,0,0.0,0.0,0.0
12,0.21666666666666665,M1_CROSS_BASELINE,-1.4646870524810078,-48.090611113130194,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,74.70761113595074,"{""min"":40.53531294751899,""mean"":103.48309325615976,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",108.95940927773412,OPENING_APPROACH,0,0.0,0.0,0.0
18,0.31666666666666665,M1_CROSS_BASELINE,-1.5135709808982423,-39.58851052565637,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,90.70110350910696,"{""min"":40.585292752437006,""mean"":107.43285180183615,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,BOUNDARY_CROSSING,0,0.0,0.0,0.0
24,0.41666666666666663,M1_CROSS_BASELINE,-1.5959273258899676,-30.32913030638664,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,91.56642944324835,"{""min"":42.2502057238245,""mean"":108.8658174758284,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,BOUNDARY_CROSSING,0,0.0,0.0,0.0
30,0.5166666666666666,M1_CROSS_BASELINE,-1.7445900220146817,-21.57357919488162,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,85.32393602565351,"{""min"":45.17970282502097,""mean"":109.96399947265208,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,BOUNDARY_CROSSING,0,0.0,0.0,0.0
36,0.6166666666666669,M1_CROSS_BASELINE,-1.8270637606074025,-13.193282830313386,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,83.48167201474945,"{""min"":49.656480047654014,""mean"":110.68456425147862,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
42,0.7166666666666672,M1_CROSS_BASELINE,-1.824356475692127,-4.878178000422708,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,82.20634927914594,"{""min"":54.9332606580941,""mean"":111.05922808581842,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
48,0.8166666666666675,M1_CROSS_BASELINE,-1.8477910509803726,2.8759390269159963,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,73.0033414752992,"{""min"":56.321297830518745,""mean"":111.10021522055443,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
54,0.9166666666666679,M1_CROSS_BASELINE,-1.920274716294946,9.393741342746436,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,60.12894156254837,"{""min"":51.811857872362175,""mean"":110.89635649568724,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
60,1.016666666666668,M1_CROSS_BASELINE,-1.9985195875198987,15.085666019868656,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,55.69443545278935,"{""min"":48.2505036402609,""mean"":110.54187370562198,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
66,1.1166666666666676,M1_CROSS_BASELINE,-2.0639314020064994,20.644825029168697,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,55.78308411119826,"{""min"":45.48768586558807,""mean"":110.05305510037009,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
72,1.2166666666666672,M1_CROSS_BASELINE,-2.114535218240462,26.246651477121013,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,56.00353997408081,"{""min"":43.01785949497084,""mean"":109.42670098494752,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
78,1.3166666666666669,M1_CROSS_BASELINE,-2.149986644849659,31.755094458337716,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,54.04341005189697,"{""min"":41.25576961561085,""mean"":108.66718188078023,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
84,1.4166666666666665,M1_CROSS_BASELINE,-2.172186841467445,36.90825520432313,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,49.423682480270564,"{""min"":40.21922388060601,""mean"":107.87181594987287,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
90,1.5166666666666662,M1_CROSS_BASELINE,-2.1848295911003315,41.513003132223425,84.0,150.0,1.4646870524810112,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,43.664216175458826,"{""min"":39.82123537592591,""mean"":107.15183896628203,""max"":150.0}","{""min"":40.53531294751899,""mean"":79.11262217130653,""max"":150.0}",109.46468705248101,JUNCTION_REGION,0,0.0,0.0,0.0
96,1.6166666666666658,M1_CROSS_BASELINE,-2.1897985443538803,45.59856238132155,84.0,150.0,2.189798544353877,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,39.17329365314996,"{""min"":39.81020145564612,""mean"":104.57341034497178,""max"":150.0}","{""min"":39.81020145564612,""mean"":79.09165994916526,""max"":150.0}",109.97051282525626,JUNCTION_REGION,0,0.0,0.0,0.0
102,1.7166666666666655,M1_CROSS_BASELINE,-2.1925081159399737,49.415703112684376,84.0,150.0,2.1925081159399724,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,38.02253725704276,"{""min"":39.80749188406003,""mean"":102.05056315412715,""max"":150.0}","{""min"":39.80749188406003,""mean"":79.09155385048723,""max"":150.0}",109.44744343341385,JUNCTION_REGION,0,0.0,0.0,0.0
108,1.816666666666665,M1_CROSS_BASELINE,-2.1972261829489854,53.34812516037978,84.0,150.0,2.197226182948988,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,40.694634987718466,"{""min"":39.80277381705101,""mean"":99.48398970740067,""max"":150.0}","{""min"":39.80277381705101,""mean"":79.09136910516624,""max"":150.0}",108.5931968523949,JUNCTION_REGION,0,0.0,0.0,0.0
114,1.9166666666666647,M1_CROSS_BASELINE,-2.2021368376236663,57.6743745030975,84.0,150.0,2.2021368376236694,2,True,LIDAR_PROFILE_JUNCTION_DETECTED,45.135685936893566,"{""min"":39.79786316237633,""mean"":96.61781909621095,""max"":150.0}","{""min"":39.79786316237633,""mean"":79.0911768186912,""max"":150.0}",107.07662189504876,JUNCTION_REGION,0,0.0,0.0,0.0
