gap_1,gap_2,view_1,view_2,center_distance,center_distance_W,endpoint_correspondence_error,endpoint_correspondence_error_W,width_difference,width_difference_W,orientation_difference_deg,distance_tolerance_W,width_tolerance_W,orientation_tolerance_deg,associated
A0_G0,F+0.700_L-0.100_G0,A0,F+0.700_L-0.100,60.19201775006397,0.7165716398817139,60.33738840964193,0.7183022429719278,1.4234363769749194,0.016945671154463327,89.18817811310488,0.075,0.1,12.0,False
A0_G0,F+0.700_L-0.100_G1,A0,F+0.700_L-0.100,0.19970901058923118,0.0023774882213003713,1.1870711985145164,0.01413179998231567,0.029696681433776462,0.00035353192183067215,1.6190238856760288,0.075,0.1,12.0,True
A0_G0,F+0.700_L-0.100_G2,A0,F+0.700_L-0.100,42.52692830500283,0.5062729560119384,43.91365499343659,0.5227816070647213,36.63718543521121,0.4361569694668001,46.69987271806889,0.075,0.1,12.0,False
A0_G0,F+0.700_L+0.100_G0,A0,F+0.700_L+0.100,42.53915994372678,0.5064185707586522,42.5392866543054,0.5064200792179214,37.33455299473654,0.44445896422305403,43.31317075656426,0.075,0.1,12.0,False
A0_G0,F+0.700_L+0.100_G2,A0,F+0.700_L+0.100,0.027970844269034956,0.00033298624129803517,0.8294543340243123,0.00987445635743229,0.027811239008940447,0.00033108617867786246,1.1311745799274888,0.075,0.1,12.0,True
A0_G0,F+0.700_L+0.100_G4,A0,F+0.700_L+0.100,60.70190609690187,0.7226417392488318,61.385973626826896,0.7307854003193678,0.9925875090965235,0.011816517965434804,87.08692243665224,0.075,0.1,12.0,False
F+0.700_L-0.100_G0,F+0.700_L+0.100_G0,F+0.700_L-0.100,F+0.700_L+0.100,43.56166830247979,0.5185912893152356,43.626588359782986,0.5193641471402737,35.91111661776162,0.4275132930685907,45.87500735654061,0.075,0.1,12.0,False
F+0.700_L-0.100_G0,F+0.700_L+0.100_G2,F+0.700_L-0.100,F+0.700_L+0.100,60.17222891475824,0.7163360585090267,60.191258529225074,0.7165626015383937,1.4512476159838599,0.01727675733314119,89.68064730696763,0.075,0.1,12.0,False
F+0.700_L-0.100_G0,F+0.700_L+0.100_G4,F+0.700_L-0.100,F+0.700_L+0.100,85.5619145337092,1.0185942206393952,85.56222016577055,1.018597859116316,0.43084886787839594,0.005129153189028523,2.101255676452638,0.075,0.1,12.0,False
F+0.700_L-0.100_G1,F+0.700_L+0.100_G0,F+0.700_L-0.100,F+0.700_L+0.100,42.73881079596603,0.5087953666186432,42.86872900273936,0.5103420119373733,37.36424967617032,0.4448124961448847,44.932194642240276,0.075,0.1,12.0,False
F+0.700_L-0.100_G1,F+0.700_L+0.100_G2,F+0.700_L-0.100,F+0.700_L+0.100,0.22767985485826614,0.0027104744625984062,0.357616864490204,0.004257343624883381,0.0018854424248360147,2.24457431528097e-05,0.4878493057485258,0.075,0.1,12.0,True
F+0.700_L-0.100_G1,F+0.700_L+0.100_G4,F+0.700_L-0.100,F+0.700_L+0.100,60.8429360368939,0.7243206671058798,60.92903524455017,0.7253456576732163,1.0222841905303,0.012170049887265475,88.70594632232826,0.075,0.1,12.0,False
F+0.700_L-0.100_G2,F+0.700_L+0.100_G0,F+0.700_L-0.100,F+0.700_L+0.100,1.561622974666696,0.01859074969841305,85.56161997096206,1.0185907139400245,0.6973675595253326,0.008301994756253959,89.98695652536684,0.075,0.1,12.0,False
F+0.700_L-0.100_G2,F+0.700_L+0.100_G2,F+0.700_L-0.100,F+0.700_L+0.100,42.498959656362416,0.5059399959090763,43.08423354576211,0.5129075422114537,36.66499667422015,0.43648805564547793,45.568698138141414,0.075,0.1,12.0,False
F+0.700_L-0.100_G2,F+0.700_L+0.100_G4,F+0.700_L-0.100,F+0.700_L+0.100,43.562602854410336,0.5186024149334564,43.85426821464126,0.5220746216028721,35.644597926114685,0.4243404515013653,46.21320484527885,0.075,0.1,12.0,False
