phase,sample_count,direction_available_count_mean,direction_available_fraction_mean,surface_count_mean,surface_count_std,surface_count_max,surface_fraction_mean,surface_fraction_std,surface_fraction_max
SPH_CORRIDOR,12,510.5833333333333,0.750857843137255,1.9166666666666667,2.43099202430247,7,0.0037434895833333335,0.004748031297465762,0.013671875
SPH_OPENING_APPROACH,28,489.17857142857144,0.7203209118699029,6.964285714285714,1.8989121482940634,10,0.014362822880184848,0.004276894113848132,0.021834061135371178
SPH_BOUNDARY_CROSSING,1,492.0,0.7245949926362297,7.0,0.0,7,0.014227642276422764,0.0,0.014227642276422764
SPH_JUNCTION_REGION,58,439.44827586206895,0.6471992280737393,1.396551724137931,2.0080841373052642,8,0.0029560497603044046,0.004123079423305349,0.016293279022403257
SPH_POST_BOUNDARY,0,,,,,,,,
