case,direction,magnitude_ratio,candidate_valid,opening_id,start_angle_deg,end_angle_deg,center_angle_deg,angular_width_deg,confidence,matched_GT_branch_eval_only,center_error_deg_eval_only,GT_mouth_IoU_eval_only,wall_support,tangent_support
M1_CROSS_BASELINE,FR,0.6,True,1,120.5,-174.5,153.0,65.0,0.8805310220557196,INCOMING,27.0,,31,True
M1_CROSS_BASELINE,FR,0.7,True,0,-3.5,71.5,34.0,75.0,0.8975022241490711,0,34.0,0.39000852855649554,24,True
M1_CROSS_BASELINE,FR,0.7,True,1,108.5,-177.5,145.5,74.0,0.8749000095797881,INCOMING,34.5,,40,True
M0_STRAIGHT,L,0.1,True,0,165.5,-155.5,-175.0,39.0,0.9376450533647878,INCOMING,5.0,,6,True
M0_STRAIGHT,L,0.1,True,1,-24.5,14.5,-5.0,39.0,0.9376450533647878,,nan,,6,True
M0_STRAIGHT,L,0.3,True,0,171.5,-131.5,-160.0,57.0,0.8412044059166963,INCOMING,20.0,,24,True
M0_STRAIGHT,L,0.3,True,1,-48.5,8.5,-20.0,57.0,0.8412044059166963,,nan,,24,True
M0_STRAIGHT,L,0.5,False,0,-2.5,-177.5,90.0,185.0,0.995141156866771,INCOMING,90.0,,4,True
M0_STRAIGHT,R,0.1,True,0,-16.5,21.5,2.5,38.0,0.9457109603065157,,nan,,6,True
M0_STRAIGHT,R,0.1,True,1,158.5,-163.5,177.5,38.0,0.9457109603065152,INCOMING,2.5,,6,True
M0_STRAIGHT,R,0.3,True,0,-9.5,44.5,17.5,54.0,0.8695143710052469,,nan,,21,True
M0_STRAIGHT,R,0.3,True,1,135.5,-170.5,162.5,54.0,0.8695143710052438,INCOMING,17.5,,21,True
M0_STRAIGHT,R,0.5,True,0,-2.5,79.5,38.5,82.0,0.7879425838964863,,nan,,48,True
M0_STRAIGHT,R,0.5,True,1,100.5,-177.5,141.5,82.0,0.7879425838964725,INCOMING,38.5,,48,True
M0_STRAIGHT,FL,0.1,True,0,164.5,-157.5,-176.5,38.0,0.9405140369967091,INCOMING,3.5,,5,True
M0_STRAIGHT,FL,0.1,True,1,-22.5,15.5,-3.5,38.0,0.9405140369967091,,nan,,5,True
M0_STRAIGHT,FL,0.3,True,0,168.5,-140.5,-166.0,51.0,0.9143541822862138,INCOMING,14.0,,18,True
M0_STRAIGHT,FL,0.3,True,1,-39.5,11.5,-14.0,51.0,0.9143541822862138,,nan,,18,True
M0_STRAIGHT,FL,0.5,True,0,173.5,-124.5,-155.5,62.0,0.8095257643092721,INCOMING,24.5,,28,True
M0_STRAIGHT,FL,0.5,True,1,-55.5,6.5,-24.5,62.0,0.8095257643092761,,nan,,28,True
M0_STRAIGHT,FR,0.1,True,0,-17.5,20.5,1.5,38.0,0.9412187855751646,,nan,,6,True
M0_STRAIGHT,FR,0.1,True,1,159.5,-162.5,178.5,38.0,0.9412187855751648,INCOMING,1.5,,6,True
M0_STRAIGHT,FR,0.3,True,0,-12.5,29.5,8.5,42.0,0.9342017759378654,,nan,,10,True
M0_STRAIGHT,FR,0.3,True,1,150.5,-167.5,171.5,42.0,0.9342017759378654,INCOMING,8.5,,10,True
M0_STRAIGHT,FR,0.5,True,0,-7.5,49.5,21.0,57.0,0.8441599592104412,,nan,,24,True
M0_STRAIGHT,FR,0.5,True,1,130.5,-172.5,159.0,57.0,0.8441599592104427,INCOMING,21.0,,24,True
