peak_type,timestamp,phase,count,fraction,opening_boundary_distance,front_center_boundary_distance,observed_center_boundary_distance,frontmost_boundary_distance
surface_count,3.516666666666659,SPH_OPENING_APPROACH,10,0.021834061135371178,97.98000000000002,25.74611591649699,7.002902097436902,70.00584540330158
surface_fraction,3.516666666666659,SPH_OPENING_APPROACH,10,0.021834061135371178,97.98000000000002,25.74611591649699,7.002902097436902,70.00584540330158
surface_count,3.9166666666666576,SPH_OPENING_APPROACH,10,0.0211864406779661,97.98000000000002,29.439236671995218,1.1765471347940775,75.92063495179775
surface_fraction,3.9166666666666576,SPH_OPENING_APPROACH,10,0.0211864406779661,97.98000000000002,29.439236671995218,1.1765471347940775,75.92063495179775
surface_count,3.016666666666661,SPH_OPENING_APPROACH,10,0.021141649048625793,97.98000000000002,20.27814336967714,17.285749123027756,60.87563257284279
surface_fraction,3.016666666666661,SPH_OPENING_APPROACH,10,0.021141649048625793,97.98000000000002,20.27814336967714,17.285749123027756,60.87563257284279
surface_count,2.5166666666666626,SPH_OPENING_APPROACH,8,0.016563146997929608,97.98000000000002,13.685547870861853,28.624547957181505,51.05117598481718
surface_fraction,2.5166666666666626,SPH_OPENING_APPROACH,8,0.016563146997929608,97.98000000000002,13.685547870861853,28.624547957181505,51.05117598481718
surface_count,4.416666666666656,SPH_JUNCTION_REGION,8,0.016293279022403257,97.98000000000002,36.49071490496425,2.6256445007495586,87.72677742803768
surface_fraction,4.416666666666656,SPH_JUNCTION_REGION,8,0.016293279022403257,97.98000000000002,36.49071490496425,2.6256445007495586,87.72677742803768
