timestamp,phase,threshold,component_id,robot_count,centroid_x,centroid_y,centroid_range,centroid_bearing_deg,bearing_std_deg,spatial_span,forward_zero_count,front_cohort_count,retention_fraction,matched_previous_component_id,lifetime_samples,radial_rate
0.11666666666666665,SPH_CORRIDOR,90,90-1,101,19.99666626376312,-44.90652647909375,49.157530268330916,-65.99681360605467,35.7366131477974,118.54165310201357,0,42,0.0,,1,
0.11666666666666665,SPH_CORRIDOR,120,120-1,101,19.99666626376312,-44.90652647909375,49.157530268330916,-65.99681360605467,35.7366131477974,118.54165310201357,0,42,0.0,,1,
0.11666666666666665,SPH_CORRIDOR,150,150-1,100,19.74852454900179,-44.68459641162971,48.854041576237655,-66.15678864205884,35.90906615127603,118.54165310201357,0,41,0.0,,1,
0.11666666666666665,SPH_CORRIDOR,180,180-1,38,-7.789307729469659,-37.04830205415117,37.858288392371854,-101.8733525576164,33.53993167289411,83.07202483156986,0,0,0.0,,1,
0.11666666666666665,SPH_CORRIDOR,180,180-2,2,46.233621890377414,-71.76455418807282,85.36802112568398,-57.2087316116164,0.6950677725262224,2.8195550091904438,0,2,0.0,,1,
0.11666666666666665,SPH_CORRIDOR,180,180-3,1,58.61491916226587,-16.242273924050806,60.82368133073551,-15.488125147837394,0.0,0.0,0,1,0.0,,1,
0.11666666666666665,SPH_CORRIDOR,180,180-4,1,41.776961405994804,-89.0457915269414,98.35887094196175,-64.86578325820452,0.0,0.0,0,1,0.0,,1,
0.21666666666666665,SPH_CORRIDOR,90,90-1,101,26.45505274779607,-41.177822111989805,48.94367017067017,-57.280927449722334,34.92613091471733,104.44550855196728,0,42,1.0,90-1,2,-2.138600976607492
0.21666666666666665,SPH_CORRIDOR,120,120-1,101,26.45505274779607,-41.177822111989805,48.94367017067017,-57.280927449722334,34.92613091471733,104.44550855196728,0,42,1.0,120-1,2,-2.138600976607492
0.21666666666666665,SPH_CORRIDOR,150,150-1,100,26.1851666585597,-41.003591391828415,48.65138703022322,-57.43742751218928,35.09408826460069,104.44550855196728,0,41,1.0,150-1,2,-2.026545460144362
