case_id,frame,time,pipeline_state,corridor_state,side_walls_valid,current_width,stable_width,offset,orientation,stable_model_initialized,stable_update_count,expected_profile_source,open_candidate_count,opening_group_count,left_group_center,right_group_center,left_in_lateral_sector,right_in_lateral_sector,bilateral_streak,junction_detected,junction_detected_latched,brake_ready,braking_active,speed,stationary_dwell_steps,provisional_anchor,anchor_hold_duration,post_anchor_lidar_sample_count,x_eval_only,y_eval_only,inside_junction_eval_only
M1_PRE_CORRIDOR_BOOTSTRAP,0,0.016666666666666666,MOVING_LIDAR,BOOTSTRAPPING,True,84.0,nan,nan,nan,False,0,CURRENT_MODEL,0,0,nan,nan,False,False,0,False,False,False,False,1.799992790879454,0,False,0.0,0,-1.4001210697211428,-216.11000036445193,False
M1_PRE_CORRIDOR_BOOTSTRAP,6,0.11666666666666665,MOVING_LIDAR,READY,True,84.0,84.0,1.409118945088828,0.0,True,1,CURRENT_MODEL,0,0,nan,nan,False,False,0,False,False,False,False,35.799365270424715,0,False,0.0,0,-1.4091189450888937,-214.19160676275652,False
M1_PRE_CORRIDOR_BOOTSTRAP,12,0.21666666666666665,MOVING_LIDAR,READY,True,84.0,84.0,1.4646870524810716,0.0,True,2,CURRENT_MODEL,0,0,nan,nan,False,False,0,False,False,False,False,74.70761113595074,0,False,0.0,0,-1.4646870524810047,-208.0906111131302,False
M1_PRE_CORRIDOR_BOOTSTRAP,18,0.31666666666666665,MOVING_LIDAR,READY,True,84.0,84.0,1.5129702362427402,0.0,True,3,CURRENT_MODEL,0,0,nan,nan,False,False,0,False,False,False,False,90.70103164960238,0,False,0.0,0,-1.512970236242673,-199.58851052565635,False
M1_PRE_CORRIDOR_BOOTSTRAP,24,0.41666666666666663,MOVING_LIDAR,READY,True,83.99999999999999,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,0,0,nan,nan,False,False,0,False,False,False,False,91.83054442580814,0,False,0.0,0,-1.5570877890311259,-190.31866056563157,False
M1_PRE_CORRIDOR_BOOTSTRAP,30,0.5166666666666666,MOVING_LIDAR,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,2,0,nan,nan,False,False,0,False,False,False,False,86.6023285696093,0,False,0.0,0,-1.6253387910568955,-181.48195731270405,False
M1_PRE_CORRIDOR_BOOTSTRAP,36,0.6166666666666669,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,4,2,-17.5,16.5,False,False,0,True,True,False,False,85.79494863914204,0,False,0.0,0,-1.690422239914758,-172.89124605212714,False
M1_PRE_CORRIDOR_BOOTSTRAP,42,0.7166666666666672,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,6,2,-18.0,17.0,False,False,0,True,True,False,False,81.50258074131237,0,False,0.0,0,-1.7176026200690448,-164.50706108159798,False
M1_PRE_CORRIDOR_BOOTSTRAP,48,0.8166666666666675,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,8,2,-18.5,17.5,False,False,0,True,True,False,False,70.30429010010607,0,False,0.0,0,-1.7113073075602405,-156.96619686061356,False
M1_PRE_CORRIDOR_BOOTSTRAP,54,0.9166666666666679,CONTROLLED_APPROACH,READY,True,83.99999999999999,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,10,2,-19.0,18.0,False,False,0,True,True,False,False,58.311735955522316,0,False,0.0,0,-1.7097958756559746,-150.67871089160275,False
M1_PRE_CORRIDOR_BOOTSTRAP,60,1.016666666666668,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,12,2,-19.5,18.5,False,False,0,True,True,False,False,54.79494349296377,0,False,0.0,0,-1.7205723848550107,-145.11006101852766,False
M1_PRE_CORRIDOR_BOOTSTRAP,66,1.1166666666666676,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,15,2,-20.5,19.0,False,False,0,True,True,False,False,55.364950335487784,0,False,0.0,0,-1.7291541566601936,-139.60980082079473,False
M1_PRE_CORRIDOR_BOOTSTRAP,72,1.2166666666666672,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,17,2,-21.0,19.5,False,False,0,True,True,False,False,55.879706672721746,0,False,0.0,0,-1.7339990283488587,-134.03195665760123,False
M1_PRE_CORRIDOR_BOOTSTRAP,78,1.3166666666666669,CONTROLLED_APPROACH,READY,True,84.00000000000001,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,19,2,-21.5,20.0,False,False,0,True,True,False,False,54.264562119375725,0,False,0.0,0,-1.736463549010176,-128.51673737372934,False
M1_PRE_CORRIDOR_BOOTSTRAP,84,1.4166666666666665,CONTROLLED_APPROACH,READY,True,84.00000000000001,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,23,2,-22.5,21.0,False,False,0,True,True,False,False,50.114850839637135,0,False,0.0,0,-1.7376231932924309,-123.31468693477427,False
M1_PRE_CORRIDOR_BOOTSTRAP,90,1.5166666666666662,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,25,2,-23.0,21.5,False,False,0,True,True,False,False,44.712747235143944,0,False,0.0,0,-1.738083278602946,-118.61689015664723,False
M1_PRE_CORRIDOR_BOOTSTRAP,96,1.6166666666666658,CONTROLLED_APPROACH,READY,True,84.0,84.0,1.5570877890311081,0.0,True,4,CURRENT_MODEL,29,2,-24.0,22.5,False,False,0,True,True,False,False,40.500590861543685,0,False,0.0,0,-1.7385313343287923,-114.41223342629699,False
