case,segment_id,beam_start,beam_end,point_count,start_x_local,start_y_local,end_x_local,end_y_local,length,orientation_deg,fit_residual
M1_A0,0,17,158,142,-143.13922958031213,-43.76205420305638,108.31488503647641,-43.76205420305638,251.45411461678856,0.0,8.383888656293654e-14
M1_A0,1,200,344,145,-140.32639336274863,40.23794579694361,110.5528474823414,40.23794579694361,250.87924084509004,0.0,7.766102677440082e-14
M0_STRAIGHT,0,17,163,147,-143.0593193480535,-43.73762319329243,143.05931934805346,-43.73762319329243,286.1186386961069,0.0,8.02692891795977e-14
M0_STRAIGHT,1,196,344,149,-140.41159441907703,40.26237680670755,140.41159441907698,40.262376806707564,280.823188838154,0.0,6.67160058261863e-14
