case_id,frame_first_model_ready,time_first_model_ready,frame_first_open,time_first_open,frame_first_detection,time_first_detection,frame_brake_trigger,time_brake_trigger,frame_speed_below_threshold,time_speed_below_threshold,frame_provisional_anchor_enter,time_provisional_anchor_enter,frame_anchor_hold_confirmed,time_anchor_hold_confirmed,detection_x_eval_only,detection_y_eval_only,anchor_x_eval_only,anchor_y_eval_only,anchor_inside_junction_eval_only,anchor_distance_to_entry_eval_only,anchor_distance_to_center_eval_only,anchor_transition_count,pointcloud_detector_integrated_runtime
M1_BASELINE,,,126,2.116666666666664,126,2.116666666666664,127,2.1333333333333306,163,2.7333333333333285,168,2.8166666666666615,174,2.916666666666661,-2.2048559153023706,67.390883345553,-2.204879440379115,79.26297677567464,False,-121.26297677567464,79.29363770623557,1,False
M1_PRE_CORRIDOR_BOOTSTRAP,6,0.11666666666666665,30,0.5166666666666666,36,0.6166666666666669,37,0.6333333333333336,75,1.266666666666667,80,1.35,84,1.4166666666666665,-1.690422239914758,-172.89124605212714,-1.7620542030564665,-152.74884977027222,False,110.74884977027222,152.75901263478923,1,False
M0_NEGATIVE_CONTROL,6,0.11666666666666665,,,,,,,,,,,,,,,,,False,nan,nan,0,False
