case_id,frame,time,event,leader_x,leader_y,speed,corridor_model_state,open_candidate_count,opening_group_count,junction_detected,braking_active,provisional_anchor,distance_to_junction_entry_eval_only,distance_to_junction_center_eval_only,longitudinal_offset_from_center_eval_only,lateral_offset_from_center_eval_only,inside_junction_region_eval_only
M1_BASELINE,0,0.016666666666666666,START,-1.4001210697211428,-56.11000036445194,1.799992790879454,MODEL_UNINITIALIZED,0,0,False,False,False,14.110000364451942,56.12746635924941,-56.11000036445194,-1.4001210697211428,False
M1_BASELINE,126,2.116666666666664,FIRST_OPEN,-2.2048559153023706,67.390883345553,50.21234141962963,MODEL_BOOTSTRAPPING,76,2,True,False,False,-109.390883345553,67.42694229832149,67.390883345553,-2.2048559153023706,False
M1_BASELINE,126,2.116666666666664,JUNCTION_DETECTION,-2.2048559153023706,67.390883345553,50.21234141962963,MODEL_BOOTSTRAPPING,76,2,True,False,False,-109.390883345553,67.42694229832149,67.390883345553,-2.2048559153023706,False
M1_BASELINE,127,2.1333333333333306,BRAKE_TRIGGER,-2.2048812173198384,68.21858200860997,49.66191980662256,MODEL_BOOTSTRAPPING,76,2,True,True,False,-110.21858200860997,68.25420450381012,68.21858200860997,-2.2048812173198384,False
M1_BASELINE,163,2.7333333333333285,SPEED_BELOW_THRESHOLD,-2.2048793866017573,79.22334054484652,1.008198881499722,MODEL_BOOTSTRAPPING,57,2,True,True,False,-121.22334054484652,79.25401680794599,79.22334054484652,-2.2048793866017573,False
M1_BASELINE,168,2.8166666666666615,PROVISIONAL_ANCHOR_ENTER,-2.204879440379115,79.26297677567464,0.0,MODEL_BOOTSTRAPPING,57,2,True,False,True,-121.26297677567464,79.29363770623557,79.26297677567464,-2.204879440379115,False
M1_BASELINE,174,2.916666666666661,ANCHOR_HOLD_CONFIRMED,-2.204879440379115,79.26297677567464,0.0,MODEL_BOOTSTRAPPING,57,2,True,False,True,-121.26297677567464,79.29363770623557,79.26297677567464,-2.204879440379115,False
M1_PRE_CORRIDOR_BOOTSTRAP,0,0.016666666666666666,START,-1.4001210697211428,-216.11000036445193,1.799992790879454,MODEL_BOOTSTRAPPING,0,0,False,False,False,174.11000036445193,216.1145358288824,-216.11000036445193,-1.4001210697211428,False
M1_PRE_CORRIDOR_BOOTSTRAP,6,0.11666666666666665,MODEL_READY,-1.4091189450888937,-214.19160676275652,35.799365270424715,MODEL_READY,0,0,False,False,False,172.19160676275652,214.19624185268222,-214.19160676275652,-1.4091189450888937,False
M1_PRE_CORRIDOR_BOOTSTRAP,30,0.5166666666666666,FIRST_OPEN,-1.6253387910568955,-181.48195731270405,86.6023285696093,MODEL_READY,2,0,False,False,False,139.48195731270405,181.48923537288886,-181.48195731270405,-1.6253387910568955,False
M1_PRE_CORRIDOR_BOOTSTRAP,36,0.6166666666666669,JUNCTION_DETECTION,-1.690422239914758,-172.89124605212714,85.79494863914204,MODEL_READY,4,2,True,False,False,130.89124605212714,172.89950979920783,-172.89124605212714,-1.690422239914758,False
M1_PRE_CORRIDOR_BOOTSTRAP,37,0.6333333333333336,BRAKE_TRIGGER,-1.700389975560462,-171.47879403284398,84.74923141310178,MODEL_READY,4,2,True,True,False,129.47879403284398,171.48722439012042,-171.47879403284398,-1.700389975560462,False
M1_PRE_CORRIDOR_BOOTSTRAP,75,1.266666666666667,SPEED_BELOW_THRESHOLD,-1.7620767063530764,-152.77859432514987,1.0120892524527334,MODEL_READY,9,2,True,True,False,110.77859432514987,152.78875547070794,-152.77859432514987,-1.7620767063530764,False
M1_PRE_CORRIDOR_BOOTSTRAP,80,1.35,PROVISIONAL_ANCHOR_ENTER,-1.7620542030564665,-152.74884977027222,0.0,MODEL_READY,9,2,True,False,True,110.74884977027222,152.75901263478923,-152.74884977027222,-1.7620542030564665,False
M1_PRE_CORRIDOR_BOOTSTRAP,84,1.4166666666666665,ANCHOR_HOLD_CONFIRMED,-1.7620542030564665,-152.74884977027222,0.0,MODEL_READY,9,2,True,False,True,110.74884977027222,152.75901263478923,-152.74884977027222,-1.7620542030564665,False
M0_NEGATIVE_CONTROL,0,0.016666666666666666,START,-1.4001210697211428,-56.11000036445194,1.799992790879454,MODEL_BOOTSTRAPPING,0,0,False,False,False,nan,nan,nan,nan,False
M0_NEGATIVE_CONTROL,6,0.11666666666666665,MODEL_READY,-1.4091189450888946,-54.19160676275653,35.799365270424715,MODEL_READY,0,0,False,False,False,nan,nan,nan,nan,False
