map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,braking_active,leader_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_opening_count,primary_pointcloud_call_count,pointcloud_called_before_ready_count,anchor_entry_time,anchor_x_eval_only,anchor_y_eval_only,anchor_heading_local_deg,detection_to_anchor_distance_eval_only,anchor_drift_eval_only,GT_phase_eval_only,nan_inf,outside
M1_CROSS_BASELINE,186,3.1166666666666605,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,192,3.21666666666666,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,198,3.3166666666666598,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,204,3.4166666666666594,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,210,3.516666666666659,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,216,3.6166666666666587,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,222,3.7166666666666583,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,228,3.816666666666658,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,234,3.9166666666666576,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,240,4.016666666666658,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,246,4.116666666666657,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,252,4.216666666666657,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,258,4.316666666666657,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,264,4.416666666666656,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,270,4.516666666666656,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,276,4.616666666666656,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,282,4.716666666666655,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,288,4.816666666666655,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
