map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,braking_active,leader_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_opening_count,primary_pointcloud_call_count,pointcloud_called_before_ready_count,anchor_entry_time,anchor_x_eval_only,anchor_y_eval_only,anchor_heading_local_deg,detection_to_anchor_distance_eval_only,anchor_drift_eval_only,GT_phase_eval_only,nan_inf,outside
M0_STRAIGHT,0,0.016666666666666666,False,False,False,1.799992790879454,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,6,0.11666666666666665,False,False,False,35.799365270424715,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,12,0.21666666666666665,False,False,False,74.70761113595074,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,18,0.31666666666666665,False,False,False,90.70103164960253,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,24,0.41666666666666663,False,False,False,91.83054442580818,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,30,0.5166666666666666,False,False,False,86.60232856960926,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,36,0.6166666666666669,False,False,False,85.79494863914196,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,42,0.7166666666666672,False,False,False,81.50258074131256,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,48,0.8166666666666675,False,False,False,70.30429010010621,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,54,0.9166666666666679,False,False,False,58.311735955522366,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,60,1.016666666666668,False,False,False,54.7949434929637,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,66,1.1166666666666676,False,False,False,55.364950335487556,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,72,1.2166666666666672,False,False,False,55.879706672721156,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,78,1.3166666666666669,False,False,False,54.26456211937448,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,84,1.4166666666666665,False,False,False,50.11485083963523,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,90,1.5166666666666662,False,False,False,44.71274723514146,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,96,1.6166666666666658,False,False,False,40.50059086154094,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,102,1.7166666666666655,False,False,False,39.87545241785106,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,108,1.816666666666665,False,False,False,43.14484590204801,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,114,1.9166666666666647,False,False,False,47.80785865506235,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,120,2.0166666666666644,False,False,False,51.12775309131851,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,126,2.116666666666664,False,False,False,52.173041136871625,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,132,2.2166666666666637,False,False,False,50.70052099208646,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,138,2.3166666666666633,False,False,False,47.349395959442326,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,144,2.416666666666663,False,False,False,44.10209978617773,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,150,2.5166666666666626,False,False,False,42.47535753187518,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,156,2.6166666666666623,False,False,False,42.71315696066088,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,162,2.716666666666662,False,False,False,43.951357373388205,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,168,2.8166666666666615,False,False,False,45.094084694588375,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,174,2.916666666666661,False,False,False,45.40340591149199,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,180,3.016666666666661,False,False,False,44.556286406736405,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,186,3.1166666666666605,False,False,False,42.71949513612272,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,192,3.21666666666666,False,False,False,40.52893943303099,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,198,3.3166666666666598,False,False,False,38.8703979211037,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,204,3.4166666666666594,False,False,False,38.39793047611437,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,210,3.516666666666659,False,False,False,39.07740772061906,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
M0_STRAIGHT,216,3.6166666666666587,False,False,False,40.30244679523329,0,False,False,False,0,0,0,nan,nan,nan,nan,0.0,0.0,CORRIDOR_ONLY,0,0
