case_id,map_case,physics_frame,time,leader_progress_eval_only,leader_x_eval_only,leader_y_eval_only,side_walls_valid,parallel_error_deg,current_width,current_offset,current_orientation,stable_width,stable_offset,stable_orientation,stable_model_update_count,stable_model_initialized,expected_profile_source,open_candidate_count,opening_group_count,junction_detected,gt_side_opening_in_fit_sector_eval_only,distance_to_junction_entry_eval_only,progress_relative_to_junction_entry_eval_only
BASELINE_M1,M1_CROSS_BASELINE,0,0.016666666666666666,0.029999635548058734,-1.4001210697211428,-56.11000036445194,False,50.767001848820314,nan,nan,0.8083824286576942,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,53,14.110000364451942,-14.110000364451942
BASELINE_M1,M1_CROSS_BASELINE,6,0.11666666666666665,1.9483932372434722,-1.4091189450888946,-54.19160676275653,False,53.1055062512321,nan,nan,0.8028063159851513,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,59,12.191606762756528,-12.191606762756528
BASELINE_M1,M1_CROSS_BASELINE,12,0.21666666666666665,8.049388886869806,-1.4646870524810078,-48.090611113130194,False,57.20451424666092,nan,nan,0.830713362813313,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,75,6.090611113130194,-6.090611113130194
BASELINE_M1,M1_CROSS_BASELINE,18,0.31666666666666665,16.551489474343633,-1.5135709808982423,-39.58851052565637,False,62.10144998282445,nan,nan,0.9166765625182478,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,98,-2.4114894743436324,2.4114894743436324
BASELINE_M1,M1_CROSS_BASELINE,24,0.41666666666666663,25.81086969361336,-1.5959273258899676,-30.32913030638664,False,61.70341819243819,nan,nan,0.9833944170787419,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,122,-11.670869693613358,11.670869693613358
BASELINE_M1,M1_CROSS_BASELINE,30,0.5166666666666666,34.56642080511838,-1.7445900220146817,-21.57357919488162,False,56.13216692275432,nan,nan,1.0473930258005737,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,143,-20.42642080511838,20.42642080511838
BASELINE_M1,M1_CROSS_BASELINE,36,0.6166666666666669,42.946717169686615,-1.8270637606074025,-13.193282830313386,False,45.38912329176958,nan,nan,0.7713651420519341,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,160,-28.806717169686614,28.806717169686614
BASELINE_M1,M1_CROSS_BASELINE,42,0.7166666666666672,51.26182199957729,-1.824356475692127,-4.878178000422708,False,19.423880978944908,nan,nan,0.22224469038332018,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,174,-37.12182199957729,37.12182199957729
BASELINE_M1,M1_CROSS_BASELINE,48,0.8166666666666675,59.015939026915994,-1.8477910509803726,2.8759390269159963,False,13.527969039906395,nan,nan,-0.11564909039682902,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,177,-44.875939026915994,44.875939026915994
BASELINE_M1,M1_CROSS_BASELINE,54,0.9166666666666679,65.53374134274644,-1.920274716294946,9.393741342746436,False,33.19533436593758,nan,nan,-0.5678340856491104,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,167,-51.39374134274644,51.39374134274644
BASELINE_M1,M1_CROSS_BASELINE,60,1.016666666666668,71.22566601986865,-1.9985195875198987,15.085666019868656,False,47.937161219582634,nan,nan,-0.9491089054170487,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,156,-57.085666019868654,57.085666019868654
BASELINE_M1,M1_CROSS_BASELINE,66,1.1166666666666676,76.7848250291687,-2.0639314020064994,20.644825029168697,False,56.10694122271664,nan,nan,-1.1583883038795904,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,145,-62.6448250291687,62.6448250291687
BASELINE_M1,M1_CROSS_BASELINE,72,1.2166666666666672,82.386651477121,-2.114535218240462,26.246651477121013,False,58.234617283066314,nan,nan,-1.271918123536608,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,132,-68.24665147712102,68.24665147712102
BASELINE_M1,M1_CROSS_BASELINE,78,1.3166666666666669,87.89509445833772,-2.149986644849659,31.755094458337716,False,62.314297994758675,nan,nan,-1.374387039503361,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,119,-73.75509445833771,73.75509445833771
BASELINE_M1,M1_CROSS_BASELINE,84,1.4166666666666665,93.04825520432314,-2.172186841467445,36.90825520432313,False,62.67854928660796,nan,nan,-1.3565332477069205,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,105,-78.90825520432313,78.90825520432313
BASELINE_M1,M1_CROSS_BASELINE,90,1.5166666666666662,97.65300313222343,-2.1848295911003315,41.513003132223425,False,59.240704083742116,nan,nan,-1.2521618948300102,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,92,-83.51300313222342,83.51300313222342
BASELINE_M1,M1_CROSS_BASELINE,96,1.6166666666666658,101.73856238132154,-2.1897985443538803,45.59856238132155,False,57.85562488299976,nan,nan,-1.2520070488641437,nan,nan,nan,0,False,MAX_RANGE_FALLBACK,0,0,False,81,-87.59856238132156,87.59856238132156
