map_case,frame,timestamp,threshold_mode,noise_model,noise_fraction,noise_sigma,noise_seed,tau,worst_wall_range,w_tau_lower_bound,w_tau_upper_bound,threshold_interval_valid,threshold_alpha,selected_threshold,frozen55_threshold,frozen55_opening_count,frozen55_junction_detected,w_tau_opening_count,w_tau_junction_detected,active_opening_count,active_opening_present,active_junction_detected,active_open_support_count,smoothing_window,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.18609169019902,2,False,2,False,2,True,False,95,5,-1.738083278602946,-118.61689015664723,False
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.86265622636805,2,False,2,False,2,True,False,98,5,-1.7385313343287923,-114.41223342629699,False
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.10815864258456,2,False,2,False,2,True,False,101,5,-1.7401491870458499,-110.43350948487776,False
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.13722875769281,2,False,2,False,2,True,False,104,5,-1.7445680172964442,-106.27984251527074,False
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.55277041203159,2,False,2,False,2,True,False,108,5,-1.7505727250039873,-101.6910849599836,False
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.0145944175218,2,False,2,False,2,True,False,112,5,-1.7545429914233175,-96.70012147197242,False
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.28263790917545,2,False,2,False,2,True,False,118,5,-1.7562140871529783,-91.50634008540604,False
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.2741714313432,2,False,2,False,2,True,False,125,5,-1.7571524826858491,-86.35485790794884,False
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.16784216075725,2,False,2,False,2,True,False,130,5,-1.7580573907572994,-81.47257295829957,False
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.07643954429813,2,False,2,False,2,True,False,139,5,-1.7592804768876116,-76.93573224906203,False
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,102.76763038321215,2,False,2,False,2,True,False,146,5,-1.761853853879204,-72.63658904805315,False
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.46977570531854,2,False,4,True,4,True,True,137,5,-1.765729984175145,-68.38789655811775,False
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.55883278440436,2,False,4,True,4,True,True,136,5,-1.7698811491071271,-64.04762977815983,False
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,103.51752782493608,2,False,4,True,4,True,True,140,5,-1.772917438740551,-59.581514065527564,False
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,104.58048717172774,2,False,4,True,4,True,True,146,5,-1.7749076898365133,-55.045323758019336,False
M1_PRE_CORRIDOR_55PCT,180,3.016666666666661,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,105.45253967925046,4,True,4,True,4,True,True,150,5,-1.7763053486121192,-50.54493105295288,False
M1_PRE_CORRIDOR_55PCT,186,3.1166666666666605,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,107.97437819465377,4,True,4,True,4,True,True,157,5,-1.7773359063965686,-46.1904208960077,False
M1_PRE_CORRIDOR_55PCT,192,3.21666666666666,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,109.62556356747416,4,True,4,True,4,True,True,161,5,-1.7780974651299388,-42.046814673710635,False
M1_PRE_CORRIDOR_55PCT,198,3.3166666666666598,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,111.48608626676285,4,True,4,True,4,True,True,162,5,-1.7793051396406712,-38.09849598817675,False
M1_PRE_CORRIDOR_55PCT,204,3.4166666666666594,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,112.57810895115455,4,True,4,True,4,True,True,163,5,-1.7823072602379486,-34.249601659474955,False
M1_PRE_CORRIDOR_55PCT,210,3.516666666666659,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,114.83851751808919,4,True,4,True,4,True,True,160,5,-1.787313317684953,-30.37773896583947,False
M1_PRE_CORRIDOR_55PCT,216,3.6166666666666587,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.58321832714964,4,True,4,True,4,True,True,160,5,-1.7935943820988642,-26.399827633111574,False
M1_PRE_CORRIDOR_55PCT,222,3.7166666666666583,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,118.35112552900223,4,True,4,True,4,True,True,159,5,-1.800155466195846,-22.30315607057944,False
M1_PRE_CORRIDOR_55PCT,228,3.816666666666658,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.15235609299432,4,True,4,True,4,True,True,158,5,-1.8062345002971665,-18.135405184606366,False
M1_PRE_CORRIDOR_55PCT,234,3.9166666666666576,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.00516292736572,4,True,4,True,4,True,True,158,5,-1.8113510601574565,-13.981047055335805,False
M1_PRE_CORRIDOR_55PCT,240,4.016666666666658,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.15520120756781,4,True,4,True,4,True,True,157,5,-1.815350823593585,-9.928032599734566,False
M1_PRE_CORRIDOR_55PCT,246,4.116666666666657,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,116.41485867834285,4,True,4,True,4,True,True,158,5,-1.8183502283766568,-6.027925845171469,False
M1_PRE_CORRIDOR_55PCT,252,4.216666666666657,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,116.67161649923621,4,True,4,True,4,True,True,158,5,-1.8207550837581985,-2.2677389563463963,False
M1_PRE_CORRIDOR_55PCT,258,4.316666666666657,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.0550869857532,4,True,4,True,4,True,True,158,5,-1.823326474573939,1.4270818585469267,False
M1_PRE_CORRIDOR_55PCT,264,4.416666666666656,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,116.5359824193789,4,True,4,True,4,True,True,156,5,-1.8264483557865756,5.149722046101446,False
M1_PRE_CORRIDOR_55PCT,270,4.516666666666656,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,116.32665121122861,4,True,4,True,4,True,True,158,5,-1.829693447035613,8.960875785536834,False
M1_PRE_CORRIDOR_55PCT,276,4.616666666666656,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.12654048307523,4,True,4,True,4,True,True,159,5,-1.8321971877937913,12.864312223474661,False
M1_PRE_CORRIDOR_55PCT,282,4.716666666666655,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.4040076517663,4,True,4,True,4,True,True,158,5,-1.833706319470546,16.81749188960111,False
M1_PRE_CORRIDOR_55PCT,288,4.816666666666655,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.6197218294302,4,True,4,True,4,True,True,162,5,-1.8343746937264964,20.754671603358656,False
M1_PRE_CORRIDOR_55PCT,294,4.9166666666666545,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,117.64209734538466,4,True,4,True,4,True,True,160,5,-1.8344109647202567,24.613194843298675,False
M1_PRE_CORRIDOR_55PCT,300,5.016666666666654,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,116.67653735389055,4,True,4,True,4,True,True,161,5,-1.833979205388548,28.357210616952422,False
M1_PRE_CORRIDOR_55PCT,306,5.116666666666654,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,114.68033834748957,4,True,4,True,4,True,True,160,5,-1.8332962596922764,31.994596712151807,False
M1_PRE_CORRIDOR_55PCT,312,5.2166666666666535,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,111.9677968336531,4,True,4,True,4,True,True,161,5,-1.8328511020770466,35.57769393913548,False
M1_PRE_CORRIDOR_55PCT,318,5.316666666666653,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,110.95714150002766,4,True,4,True,4,True,True,159,5,-1.8330791050619544,39.17775591101743,False
M1_PRE_CORRIDOR_55PCT,324,5.416666666666653,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,109.53223416665338,4,True,4,True,4,True,True,159,5,-1.8338860855548131,42.84965643581702,False
M1_PRE_CORRIDOR_55PCT,330,5.516666666666652,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,107.22135497429858,4,True,4,True,4,True,True,155,5,-1.8341290256982603,46.601866391816394,False
M1_PRE_CORRIDOR_55PCT,336,5.616666666666652,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,105.80204903761316,4,True,4,True,4,True,True,151,5,-1.8338990188362434,50.39502226430847,False
M1_PRE_CORRIDOR_55PCT,342,5.716666666666652,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,104.86833350706749,2,False,4,True,4,True,True,148,5,-1.8335438589710866,54.1635687908113,False
M1_PRE_CORRIDOR_55PCT,348,5.816666666666651,w-tau,bounded,0.05,nan,17,7.5,100.0,107.5,142.5,True,0.5,125.0,104.28804177832164,2,False,4,True,4,True,True,141,5,-1.833227237060522,57.848952666209065,False
