map_case,frame,timestamp,noise_model,frozen55_threshold,w_tau_lower_bound,w_tau_upper_bound,w_tau_selected_threshold,threshold_interval_valid,frozen55_opening_count,w_tau_opening_count,frozen55_junction_detected,w_tau_junction_detected,active_threshold_mode,active_opening_count,active_junction_detected
M1_PRE_CORRIDOR_55PCT,246,4.116666666666657,bounded,116.41485867834285,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,252,4.216666666666657,bounded,116.67161649923621,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,258,4.316666666666657,bounded,117.0550869857532,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,264,4.416666666666656,bounded,116.5359824193789,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,270,4.516666666666656,bounded,116.32665121122861,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,276,4.616666666666656,bounded,117.12654048307523,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,282,4.716666666666655,bounded,117.4040076517663,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,288,4.816666666666655,bounded,117.6197218294302,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,294,4.9166666666666545,bounded,117.64209734538466,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,300,5.016666666666654,bounded,116.67653735389055,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,306,5.116666666666654,bounded,114.68033834748957,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,312,5.2166666666666535,bounded,111.9677968336531,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,318,5.316666666666653,bounded,110.95714150002766,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,324,5.416666666666653,bounded,109.53223416665338,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,330,5.516666666666652,bounded,107.22135497429858,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,336,5.616666666666652,bounded,105.80204903761316,107.5,142.5,125.0,True,4,4,True,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,342,5.716666666666652,bounded,104.86833350706749,107.5,142.5,125.0,True,2,4,False,True,w-tau,4,True
M1_PRE_CORRIDOR_55PCT,348,5.816666666666651,bounded,104.28804177832164,107.5,142.5,125.0,True,2,4,False,True,w-tau,4,True
