case_id,transform_deg,gap_id,mouth_endpoint_a_x,mouth_endpoint_a_y,mouth_endpoint_b_x,mouth_endpoint_b_y,mouth_center_x,mouth_center_y,gap_width,gap_tangent_x,gap_tangent_y,gap_tangent_deg,opening_normal_x,opening_normal_y,opening_normal_deg,topology_state,endpoint_a_type,endpoint_b_type,endpoint_a_valid,endpoint_b_valid,incident_wall_segments,incident_wall_count,wall_support_count,boundary_support_a,boundary_support_b,support_asymmetry,minimum_signed_tangent_alignment,maximum_absolute_tangent_alignment,minimum_axial_alignment_error_deg,geometry_support,candidate_created,rejection_reason
M1_PRE_CORRIDOR_BOOTSTRAP,0,0,82.33180215357837,-43.77766151016074,82.40558973173464,40.22232156355628,82.3686959426565,-1.7776699733022312,84.00001548209046,0.0008784233875766707,0.9999996141861015,89.9496700407936,0.9999996141861015,-0.0008784233875766707,-0.050329959206393875,COMPLETE,CORNER,CORNER,True,True,"[1, 2, 3, 4]",4,83,41,42,1,-0.99999933960888,0.9999996227527458,0.04976805720922073,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,0,1,82.33180215357837,-43.77766151016074,-2.1079634367930353,40.222338470181256,40.11191935839267,-1.777661519989742,119.10530638747512,-0.7089504922280349,0.7052582502669694,135.14958852557464,0.7052582502669694,0.7089504922280349,45.14958852557463,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[1, 2, 5]",3,113,41,72,31,-0.7089504922280349,0.7089504922280349,44.85041147442536,False,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT
M1_PRE_CORRIDOR_BOOTSTRAP,0,2,82.40558973173464,40.22232156355628,-2.1079634367930353,40.222338470181256,40.148813147470804,40.22233001686877,84.51355316852936,-0.99999999999998,2.0004631617493785e-07,179.9999885381904,2.0004631617493785e-07,0.99999999999998,89.99998853819038,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[3, 4, 5]",3,114,42,72,30,-0.99999999999998,0.99999999999998,1.146180960631682e-05,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,90,0,43.77766151016075,82.33180215357837,-40.22232156355627,82.40558973173464,1.7776699733022363,82.3686959426565,84.00001548209046,-0.9999996141861015,0.0008784233875766707,179.94967004079362,0.0008784233875766707,0.9999996141861015,89.9496700407936,COMPLETE,CORNER,CORNER,True,True,"[1, 2, 3, 4]",4,83,41,42,1,-0.99999933960888,0.9999996227527458,0.04976805720920652,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,90,1,43.77766151016075,82.33180215357837,-40.222338470181256,-2.1079634367930327,1.7776615199897445,40.11191935839267,119.10530638747512,-0.7052582502669694,-0.7089504922280347,-134.85041147442539,-0.7089504922280347,0.7052582502669694,135.14958852557461,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[1, 2, 5]",3,113,41,72,31,-0.7089504922280347,0.7089504922280347,44.850411474425414,False,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT
M1_PRE_CORRIDOR_BOOTSTRAP,90,2,-40.22232156355627,82.40558973173464,-40.222338470181256,-2.1079634367930327,-40.22233001686877,40.148813147470804,84.51355316852936,-2.0004631625901224e-07,-0.99999999999998,-90.00001146180963,-0.99999999999998,2.0004631625901224e-07,179.9999885381904,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[3, 4, 5]",3,114,42,72,30,-0.99999999999998,0.99999999999998,1.1461809663160238e-05,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,180,0,-82.33180215357837,43.77766151016075,-82.40558973173464,-40.22232156355627,-82.3686959426565,1.7776699733022412,84.00001548209046,-0.0008784233875766707,-0.9999996141861015,-90.0503299592064,-0.9999996141861015,0.0008784233875766707,179.94967004079362,COMPLETE,CORNER,CORNER,True,True,"[1, 2, 3, 4]",4,83,41,42,1,-0.99999933960888,0.9999996227527458,0.04976805720922073,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,180,1,-82.33180215357837,43.77766151016075,2.1079634367930304,-40.222338470181256,-40.11191935839267,1.777661519989747,119.10530638747512,0.7089504922280347,-0.7052582502669694,-44.85041147442538,-0.7052582502669694,-0.7089504922280347,-134.85041147442539,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[1, 2, 5]",3,113,41,72,31,-0.7089504922280346,0.7089504922280346,44.850411474425385,False,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT
M1_PRE_CORRIDOR_BOOTSTRAP,180,2,-82.40558973173464,-40.22232156355627,2.1079634367930304,-40.222338470181256,-40.14881314747081,-40.22233001686876,84.51355316852936,0.99999999999998,-2.0004631625901224e-07,-1.1461809628780777e-05,-2.0004631625901224e-07,-0.99999999999998,-90.00001146180963,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[3, 4, 5]",3,114,42,72,30,-0.99999999999998,0.99999999999998,1.1461809634738529e-05,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,270,0,-43.777661510160755,-82.33180215357835,40.222321563556264,-82.40558973173465,-1.7776699733022463,-82.3686959426565,84.00001548209046,0.9999996141861015,-0.000878423387577009,-0.05032995920641326,-0.000878423387577009,-0.9999996141861015,-90.05032995920641,COMPLETE,CORNER,CORNER,True,True,"[1, 2, 3, 4]",4,83,41,42,1,-0.99999933960888,0.9999996227527458,0.04976805720929178,True,True,NONE
M1_PRE_CORRIDOR_BOOTSTRAP,270,1,-43.777661510160755,-82.33180215357835,40.222338470181256,2.107963436793028,-1.7776615199897494,-40.11191935839267,119.10530638747512,0.7052582502669694,0.7089504922280346,45.149588525574615,0.7089504922280346,-0.7052582502669694,-44.850411474425385,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[1, 2, 5]",3,113,41,72,31,-0.7089504922280346,0.7089504922280346,44.850411474425385,False,False,NO_INCIDENT_WALL_SUPPORT_ALONG_GAP_TANGENT
M1_PRE_CORRIDOR_BOOTSTRAP,270,2,40.222321563556264,-82.40558973173465,40.222338470181256,2.107963436793028,40.22233001686876,-40.14881314747081,84.51355316852936,2.0004631634308662e-07,0.99999999999998,89.99998853819038,0.99999999999998,-2.0004631634308662e-07,-1.1461809633597884e-05,COMPLETE,CORNER,WALL_TERMINATION,True,True,"[3, 4, 5]",3,114,42,72,30,-0.99999999999998,0.99999999999998,1.146180960631682e-05,True,True,NONE
