experiment_id,case_id,ready_frame,first_open_frame,detection_frame,bilateral_frame,brake_ready_frame,braking_frame,stop_frame,anchor_frame,pointcloud_frame,hit_points,wall_segments,valid_endpoints,physical_gaps,general_candidates,rotation_consistent,ordering_consistent,representation_consistent,deterministic_replay,runtime_gt_map_used
EXP-050,M1_PRE_CORRIDOR_BOOTSTRAP,6,30,36,174,180,181,216,221,222,228,6,3,3,2,True,True,True,True,False
EXP-050,M0_STRAIGHT,,,,,,,,,,0,0,0,0,0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,False
