case_id,transform_deg,gap_id,endpoint_side,endpoint_id,endpoint_type,endpoint_valid,incident_segment_id,incident_segment_length,incident_segment_orientation_deg,gap_tangent_deg,signed_tangent_alignment,absolute_tangent_alignment,axial_alignment_error_deg,within_existing_axial_support_rule,existing_resolution_deg
M1_PRE_CORRIDOR_BOOTSTRAP,0,0,A,3,CORNER,True,1,78.28056804509026,89.99943809800283,89.9496700407936,0.9999996227527458,0.9999996227527458,0.04976805720922073,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,0,A,3,CORNER,True,2,60.85647221581597,0.0,89.9496700407936,0.0008784233875766707,0.0008784233875766707,89.9496700407936,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,0,B,5,CORNER,True,3,57.80394906325273,2.842170943040401e-14,89.9496700407936,0.0008784233875771667,0.0008784233875771667,89.94967004079358,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,0,B,5,CORNER,True,4,81.83592562714058,-89.98448261453274,89.9496700407936,-0.99999933960888,0.99999933960888,0.0658473446736707,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,1,A,3,CORNER,True,1,78.28056804509026,89.99943809800283,135.14958852557464,0.7052512975272729,0.7052512975272729,45.150150427571816,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,1,A,3,CORNER,True,2,60.85647221581597,0.0,135.14958852557464,-0.7089504922280349,0.7089504922280349,44.85041147442536,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,1,B,9,WALL_TERMINATION,True,5,138.16400070917513,0.0,135.14958852557464,-0.7089504922280349,0.7089504922280349,44.85041147442536,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,2,A,5,CORNER,True,3,57.80394906325273,2.842170943040401e-14,179.9999885381904,-0.99999999999998,0.99999999999998,1.1461809634738529e-05,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,2,A,5,CORNER,True,4,81.83592562714058,-89.98448261453274,179.9999885381904,-0.0002710295107028034,0.0002710295107028034,89.98447115272313,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,0,2,B,9,WALL_TERMINATION,True,5,138.16400070917513,0.0,179.9999885381904,-0.99999999999998,0.99999999999998,1.146180960631682e-05,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,0,A,3,CORNER,True,1,78.28056804509026,179.99943809800283,179.94967004079362,0.9999996227527458,0.9999996227527458,0.04976805720920652,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,0,A,3,CORNER,True,2,60.85647221581597,90.0,179.94967004079362,0.0008784233875766094,0.0008784233875766094,89.94967004079362,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,0,B,5,CORNER,True,3,57.80394906325273,90.0,179.94967004079362,0.0008784233875766094,0.0008784233875766094,89.94967004079362,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,0,B,5,CORNER,True,4,81.83592562714058,0.015517385467262557,179.94967004079362,-0.99999933960888,0.99999933960888,0.06584734467364228,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,1,A,3,CORNER,True,1,78.28056804509026,179.99943809800283,-134.85041147442539,0.7052512975272728,0.7052512975272728,45.150150427571816,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,1,A,3,CORNER,True,2,60.85647221581597,90.0,-134.85041147442539,-0.7089504922280347,0.7089504922280347,44.850411474425414,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,1,B,9,WALL_TERMINATION,True,5,138.16400070917513,90.0,-134.85041147442539,-0.7089504922280347,0.7089504922280347,44.850411474425414,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,2,A,5,CORNER,True,3,57.80394906325273,90.0,-90.00001146180963,-0.99999999999998,0.99999999999998,1.1461809663160238e-05,True,20.0
