ground_truth_count,detected_count,count_correct,matched_openings,false_positive,false_negative,precision,recall,f1,mean_iou,min_iou,center_mae_deg,start_mae_deg,end_mae_deg,boundary_mae_deg,expected_topology,detected_topology,topology_correct,failure_reasons,seed,way_count,noise_std_m,dropout_probability,occlusion_probability,visible_boundary_ratio,anchor_x,anchor_y,anchor_yaw_deg,condition
2,2,True,2,0,0,1.0,1.0,1.0,0.3703814697878914,0.3703814697878914,0.0,21.24898859588859,21.24898859588859,21.24898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,26,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,7,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,8,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,9,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,10,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,11,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,12,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,13,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,14,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,15,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,16,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,17,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,18,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,19,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,20,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,21,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,22,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,23,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,24,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,25,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.3703814697878913,0.37038146978789127,1.8947806286936004e-14,21.24898859588861,21.248988595888573,21.24898859588859,JUNCTION,JUNCTION,True,low_opening_iou,26,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,7,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,8,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,9,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,10,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,11,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,12,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,13,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,14,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,15,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,16,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,17,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
