ground_truth_count,detected_count,count_correct,matched_openings,false_positive,false_negative,precision,recall,f1,mean_iou,min_iou,center_mae_deg,start_mae_deg,end_mae_deg,boundary_mae_deg,expected_topology,detected_topology,topology_correct,failure_reasons,evaluation_boundary_definition,evaluation_free_path_threshold_m,physical_mouth_mean_iou,physical_mouth_boundary_mae_deg,seed,way_count,noise_std_m,dropout_probability,occlusion_probability,visible_boundary_ratio,anchor_x,anchor_y,anchor_yaw_deg,condition
2,2,True,2,0,0,1.0,1.0,1.0,0.8872995935184522,0.8872995935184513,0.0,1.587688184813814,1.5876881848137998,1.587688184813807,CORRIDOR,CORRIDOR,True,NONE,ideal_free_path_sector,4.109901768910688,0.3703814697878914,21.24898859588859,22,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
2,2,True,2,0,0,1.0,1.0,1.0,0.8872995935184522,0.8872995935184513,0.0,1.587688184813814,1.5876881848137998,1.587688184813807,CORRIDOR,CORRIDOR,True,NONE,ideal_free_path_sector,4.109901768910688,0.3703814697878914,21.24898859588859,23,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
2,2,True,2,0,0,1.0,1.0,1.0,0.8872995935184522,0.8872995935184513,0.0,1.587688184813814,1.5876881848137998,1.587688184813807,CORRIDOR,CORRIDOR,True,NONE,ideal_free_path_sector,4.109901768910688,0.3703814697878914,21.24898859588859,24,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
2,2,True,2,0,0,1.0,1.0,1.0,0.8872995935184522,0.8872995935184513,0.0,1.587688184813814,1.5876881848137998,1.587688184813807,CORRIDOR,CORRIDOR,True,NONE,ideal_free_path_sector,4.109901768910688,0.3703814697878914,21.24898859588859,25,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
2,2,True,2,0,0,1.0,1.0,1.0,0.8872995935184522,0.8872995935184513,0.0,1.587688184813814,1.5876881848137998,1.587688184813807,CORRIDOR,CORRIDOR,True,NONE,ideal_free_path_sector,4.109901768910688,0.3703814697878914,21.24898859588859,26,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,7,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,8,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,9,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,10,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,11,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
