phase,sample_count,variance_mean,variance_std,variance_rate_mean,ratio_mean,ratio_max,dwell_positive_fraction,lateral_span_mean,lateral_p90_minus_p10_mean,ratio_gt_1_1_count,ratio_gt_1_28_count,dwell_positive_count
SPH_CORRIDOR,12,407.8567321204818,49.831445023669204,-51.60932203970898,0.8347296734897808,1.0,0.0,77.45545659189385,55.299886686076945,0,0,0
SPH_OPENING_APPROACH,28,727.1025962648392,175.53857376725514,229.53276959839675,1.5537044864942444,2.3131604209747008,0.7142857142857143,140.09259633493082,70.27152694161265,26,20,20
SPH_BOUNDARY_CROSSING,1,1124.839509237468,0.0,423.2673908849407,2.403606040008787,2.403606040008787,1.0,186.1838891450961,82.81211745513423,1,1,1
SPH_JUNCTION_REGION,58,1879.1339675550269,250.52714506808863,171.53779206990637,4.0154152812989485,4.546186893803816,1.0,213.74844004886774,112.95828825868969,58,58,58
SPH_POST_BOUNDARY,0,,,,,,,,,0,0,0
