cohort_name,phase,sample_count,variance_mean,variance_std,ratio_mean,ratio_max,ratio_gt_1_1_count,ratio_gt_1_28_count,positive_dwell_count,sustained_count
FRONT_COHORT,SPH_CORRIDOR,12,357.4573007605295,72.49305985706442,0.7552863152014121,1.0,0,0,0,0
FRONT_COHORT,SPH_OPENING_APPROACH,28,932.8296224486568,318.555775453077,2.113366473649323,3.3346749163835847,26,23,23,22
FRONT_COHORT,SPH_JUNCTION_REGION,58,2142.545109367563,155.66760124029156,4.854192182963114,5.159483130272358,58,58,58,39
LOCAL_FRONT_SURFACE,SPH_CORRIDOR,12,159.28922081558105,216.90250260394893,0.855078916457809,1.0,0,0,0,0
LOCAL_FRONT_SURFACE,SPH_OPENING_APPROACH,28,2115.3463275656577,701.595885594467,3.901211260999411,6.376340820000275,27,26,26,17
LOCAL_FRONT_SURFACE,SPH_JUNCTION_REGION,58,2380.649631133288,3777.393439972702,5.509106288993945,27.428121839373013,19,19,31,17
LOCAL_FRONT_COHORT,SPH_CORRIDOR,12,127.48675686247248,156.37160248201823,0.9389458546306,1.0196978602028415,0,0,0,0
LOCAL_FRONT_COHORT,SPH_OPENING_APPROACH,28,1570.808721653628,605.0113752092097,4.543441812713553,7.373559922864031,27,27,27,20
LOCAL_FRONT_COHORT,SPH_JUNCTION_REGION,58,2250.145034333054,3514.6462571400216,7.775901823892467,38.14196903230084,19,19,31,15
