cohort_name,ratio_onset,positive_dwell_onset,sustained_onset,delta_t_frontmost,delta_t_front_center
BROAD_OBSERVED,2.116666666666664,2.116666666666664,2.116666666666664,0.7999999999999972,0.29999999999999893
FRONT_COHORT,1.816666666666665,1.816666666666665,1.816666666666665,0.4999999999999982,0.0
FRONT_LOCAL_REDUCED,,,,,
