phase,count,mean,std,min,p10,p25,median,p75,p90,max,direction_available_count,direction_unavailable_count,direction_available_fraction,available_mean,available_median,available_p10,available_p90,unavailable_mean,unavailable_median,unavailable_p10,unavailable_p90
SPH_CORRIDOR,8160,20.899336337769437,25.45997775256211,0.0,0.0,1.411478500284545,12.632533834804828,22.872201716785412,64.59824077503107,108.00000000000158,6127,2033,0.7508578431372549,27.831566666571014,15.89940391608993,6.357056896679515,72.62340633364867,0.007169478661082406,0.0,0.0,0.0
SPH_OPENING_APPROACH,19015,9.467585375858828,10.549682310372178,0.0,0.0,0.250944475706419,7.580818732067201,13.989700123343138,20.802314779795452,77.99999999999979,13697,5318,0.7203260583749671,13.112287120890546,11.053918865818824,3.4005045207746067,23.602980105038707,0.08031952371527673,0.0,0.0,0.3340470350769182
SPH_BOUNDARY_CROSSING,679,9.724431728515,8.288529950806314,0.0,0.0,0.316342497437462,9.365438074247272,16.909430365594712,21.203477402866124,27.41928066181038,492,187,0.7245949926362297,13.395042195600746,14.448597172728999,3.765052974348272,22.332140679408027,0.06699670281346888,0.0,0.0,0.020778440697995688
SPH_JUNCTION_REGION,39382,3.809107625528866,4.717874672779129,0.0,0.0,0.16543655712380828,2.262657798127975,5.165788078706171,9.637048537028164,33.63076745197885,25488,13894,0.6471992280737393,5.7646417936016405,4.303974151863811,1.6398122483442097,12.79173871209368,0.22175661963863755,0.0,0.0,0.9050856006916045
SPH_POST_BOUNDARY,0,,,,,,,,,,0,0,,,,,,,,,
