case,candidate_id,grid_stage,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,plus90_axis_los_eval,minus90_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,axial_false_opening_count_eval,lateral_false_opening_count_eval
M1_CROSS_BASELINE,F+0.300_L-0.700,COARSE_0.10W,0.3,-0.7,0.7615773105863908,False,True,False,0.0,0.0,True,False,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L-0.600,COARSE_0.10W,0.3,-0.6,0.6708203932499369,False,True,False,0.0,0.0,True,False,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L-0.500,COARSE_0.10W,0.3,-0.5,0.5830951894845301,True,False,False,0.7619047619047619,0.47619047619047616,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L-0.400,COARSE_0.10W,0.3,-0.4,0.5,True,False,False,0.7619047619047619,0.5714285714285714,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L-0.300,COARSE_0.10W,0.3,-0.3,0.4242640687119285,True,False,False,0.7619047619047619,0.6190476190476191,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L-0.200,COARSE_0.10W,0.3,-0.2,0.3605551275463989,True,False,False,0.7619047619047619,0.6190476190476191,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L-0.100,COARSE_0.10W,0.3,-0.1,0.31622776601683794,True,False,False,0.7142857142857143,0.6666666666666666,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.000,COARSE_0.10W,0.3,0.0,0.3,True,False,False,0.7142857142857143,0.7142857142857143,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.100,COARSE_0.10W,0.3,0.1,0.31622776601683794,True,False,False,0.6666666666666666,0.7142857142857143,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.200,COARSE_0.10W,0.3,0.2,0.3605551275463989,True,False,False,0.6190476190476191,0.7619047619047619,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.300,COARSE_0.10W,0.3,0.3,0.4242640687119285,True,False,False,0.5714285714285714,0.7619047619047619,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.400,COARSE_0.10W,0.3,0.4,0.5,True,False,False,0.5238095238095238,0.7619047619047619,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.500,COARSE_0.10W,0.3,0.5,0.5830951894845301,False,False,True,0.0,0.0,False,False,True,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.600,COARSE_0.10W,0.3,0.6,0.6708203932499369,False,False,True,0.0,0.0,False,True,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.300_L+0.700,COARSE_0.10W,0.3,0.7,0.7615773105863908,False,False,True,0.0,0.0,False,True,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.400_L-0.700,COARSE_0.10W,0.4,-0.7,0.8062257748298549,False,True,False,0.0,0.0,True,False,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.400_L-0.600,COARSE_0.10W,0.4,-0.6,0.7211102550927978,False,True,False,0.0,0.0,True,False,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.400_L-0.500,COARSE_0.10W,0.4,-0.5,0.6403124237432849,True,False,False,0.8571428571428571,0.5714285714285714,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.400_L-0.400,COARSE_0.10W,0.4,-0.4,0.565685424949238,True,False,False,0.8571428571428571,0.6666666666666666,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.400_L-0.300,COARSE_0.10W,0.4,-0.3,0.5,True,False,False,0.8571428571428571,0.7142857142857143,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.400_L-0.200,COARSE_0.10W,0.4,-0.2,0.447213595499958,True,False,False,0.8571428571428571,0.7619047619047619,False,False,True,True,2,1,3,0,0,0
