branch,nearest_raw_axis_los_candidate,nearest_raw_axis_los_distance_W,nearest_raw_mouth_visible_candidate,nearest_raw_mouth_visible_distance_W,nearest_raw_mouth_visible_fraction_eval,maximum_raw_mouth_visible_candidate,maximum_raw_mouth_visible_fraction_eval,raw_mouth_visible_valid_candidate_count,raw_mouth_hidden_valid_candidate_count,raw_mouth_exposure_preexists_at_A0,raw_mouth_transition_frontier_found,nearest_detector_visible_candidate,nearest_detector_visible_distance_W,raw_detector_gap_W,raw_axis_frontier_found,raw_frontier_found,raw_mouth_exposure_exists,detector_frontier_found
PLUS90,,,F+0.000_L+0.000,0.0,0.38095238095238093,F+0.600_L-0.500,1.0,90,0,True,False,,,,False,False,True,False
MINUS90,,,F+0.000_L+0.000,0.0,0.42857142857142855,F+0.600_L-0.100,1.0,90,0,True,False,,,,False,False,True,False
