case,candidate_id,grid_stage,forward_offset,lateral_offset,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,candidate_inside_free_space_eval,robot_footprint_walkable_eval,robot_radius,wall_clearance_eval,straight_line_path_clear_eval,valid_lidar_hits,max_range_count,plus90_axis_los_eval,minus90_axis_los_eval,forward_axis_los_eval,incoming_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,forward_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,lateral_false_opening_count_eval,axial_false_opening_count_eval,opening_center_error_eval,opening_IoU_eval,wall_support_count,tangent_support_count
M1_CROSS_BASELINE,F+0.000_L-0.400,COARSE_0.10W,0.0,-33.6,0.0,-0.4,0.4,True,True,True,1.1199999999999999,10.162054203056464,True,288,72,False,False,True,True,0.47619047619047616,0.23809523809523808,0.0,False,False,True,True,2,1,3,0,0,0,24.5,0.3746672255667747,55,2
M1_CROSS_BASELINE,F+0.000_L-0.300,COARSE_0.10W,0.0,-25.2,0.0,-0.3,0.3,True,True,True,1.1199999999999999,18.562054203056466,True,287,73,False,False,True,True,0.47619047619047616,0.2857142857142857,0.0,False,False,True,True,2,1,3,0,0,0,16.0,0.44096354294782303,35,2
M1_CROSS_BASELINE,F+0.000_L-0.200,COARSE_0.10W,0.0,-16.8,0.0,-0.2,0.2,True,True,True,1.1199999999999999,26.962054203056468,True,286,74,False,False,True,True,0.42857142857142855,0.3333333333333333,0.0,False,False,True,True,2,1,3,0,0,0,7.0,0.5432761436627099,12,2
M1_CROSS_BASELINE,F+0.000_L-0.100,COARSE_0.10W,0.0,-8.4,0.0,-0.1,0.1,True,True,True,1.1199999999999999,35.362054203056466,True,287,73,False,False,True,True,0.42857142857142855,0.38095238095238093,0.0,False,False,True,True,2,1,3,0,0,0,3.0,0.5457390144181002,10,2
M1_CROSS_BASELINE,F+0.000_L+0.000,COARSE_0.10W,0.0,0.0,0.0,0.0,0.0,True,True,True,1.1199999999999999,40.237945796943535,True,287,73,False,False,True,True,0.38095238095238093,0.42857142857142855,0.0,False,False,True,True,2,1,3,0,0,0,1.0,0.5462959141663949,10,2
M1_CROSS_BASELINE,F+0.000_L+0.100,COARSE_0.10W,0.0,8.4,0.0,0.1,0.1,True,True,True,1.1199999999999999,31.837945796943533,True,285,75,False,False,True,True,0.38095238095238093,0.42857142857142855,0.0,False,False,True,True,2,1,3,0,0,0,4.5,0.5330894504385106,10,2
M1_CROSS_BASELINE,F+0.000_L+0.200,COARSE_0.10W,0.0,16.8,0.0,0.2,0.2,True,True,True,1.1199999999999999,23.437945796943534,True,288,72,False,False,True,True,0.3333333333333333,0.42857142857142855,0.0,False,False,True,True,2,1,3,0,0,0,9.5,0.5299098629745067,18,2
M1_CROSS_BASELINE,F+0.000_L+0.300,COARSE_0.10W,0.0,25.2,0.0,0.3,0.3,True,True,True,1.1199999999999999,15.037945796943536,True,288,72,False,False,True,True,0.2857142857142857,0.47619047619047616,0.0,False,False,True,True,2,1,3,0,0,0,19.5,0.41633407392383404,43,2
M1_CROSS_BASELINE,F+0.000_L+0.400,COARSE_0.10W,0.0,33.6,0.0,0.4,0.4,True,True,True,1.1199999999999999,6.637945796943534,True,288,72,False,False,True,True,0.23809523809523808,0.47619047619047616,0.0,False,False,True,True,2,1,3,0,0,0,29.0,0.34552230742223566,65,2
M1_CROSS_BASELINE,F+0.000_L+0.500,COARSE_0.10W,0.0,42.0,0.0,0.5,0.5,False,False,False,1.1199999999999999,1.762054203056465,False,222,138,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,90.0,0.009570771818267083,43,1
