case_id,frame,time,side_walls_valid,parallel_error_deg,current_width,current_offset,current_orientation,stable_width,stable_offset,stable_orientation,stable_update_count,current_model_valid,stable_model_initialized,width_change_from_previous_valid,orientation_change_from_previous_valid,offset_change_from_previous_valid,consecutive_valid_count,valid_ratio_existing_init_window,expected_profile_source,readiness_state,readiness_reason,corridor_model_ready,semantic_detector_state,open_candidate_count,opening_group_count,junction_detected_raw,junction_detected_gated_eval,readiness_rising,false_readiness_eval_only,opening_visible_eval_only
BASELINE_M1,0,0.016666666666666666,False,50.767001848820314,nan,nan,0.8083824286576942,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,6,0.11666666666666665,False,53.1055062512321,nan,nan,0.8028063159851513,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,12,0.21666666666666665,False,57.20451424666092,nan,nan,0.830713362813313,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,18,0.31666666666666665,False,62.10144998282445,nan,nan,0.9166765625182478,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,24,0.41666666666666663,False,61.70341819243819,nan,nan,0.9833944170787419,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,30,0.5166666666666666,False,56.13216692275432,nan,nan,1.0473930258005737,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,36,0.6166666666666669,False,45.38912329176958,nan,nan,0.7713651420519341,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,42,0.7166666666666672,False,19.423880978944908,nan,nan,0.22224469038332018,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,48,0.8166666666666675,False,13.527969039906395,nan,nan,-0.11564909039682902,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
BASELINE_M1,54,0.9166666666666679,False,33.19533436593758,nan,nan,-0.5678340856491104,nan,nan,nan,0,False,False,nan,nan,nan,0,0.0,MAX_RANGE_FALLBACK,MODEL_UNINITIALIZED,NO_VALID_CURRENT_OR_STABLE_MODEL,False,MODEL_UNINITIALIZED,0,0,False,False,False,False,True
