timestamp,front_cohort_robot_count,local_front_surface_robot_count,local_front_cohort_robot_count,local_front_direction_unavailable_count,local_front_cohort_jaccard_overlap,local_front_surface_variance,local_front_surface_baseline,local_front_surface_expansion_ratio,local_front_surface_expansion_dwell,local_front_surface_variance_rate,local_front_cohort_variance,local_front_cohort_baseline,local_front_cohort_expansion_ratio,local_front_cohort_expansion_dwell,local_front_cohort_variance_rate,evaluation_only_sph_phase,evaluation_only_frontmost_signed_boundary_distance,evaluation_only_front_cohort_signed_boundary_distance
0.11666666666666665,218,0,0,178,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,34.510033986822066,46.040033414858215
0.21666666666666665,218,0,0,169,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,35.72400308480201,45.92779799457867
0.31666666666666665,218,0,0,170,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,37.48167884285232,46.72744814202423
0.41666666666666663,218,0,0,170,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,39.01385689615398,47.32399781288933
0.5166666666666666,218,0,0,170,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,39.82048599444619,47.43564484339453
0.6166666666666669,218,0,0,168,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,40.14785027573026,47.22672447164848
0.7166666666666672,218,0,0,168,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SPH_CORRIDOR,39.69981586605729,46.5272565467252
0.8166666666666675,218,3,167,168,0.0,590.2820740983962,590.2820740983962,1.0,0.0,0.0,360.28092253511954,360.28092253511954,1.0,0.0,0.0,SPH_CORRIDOR,37.49950745992021,45.1286881074779
0.9166666666666679,218,4,201,168,0.6576576576576577,490.2595305473115,586.7812850741082,0.8305512771942799,0.0,-1000.2254355108435,293.8737168833014,357.9566703373059,0.8156793726835624,0.0,-664.0720565181791,SPH_CORRIDOR,32.66003622909676,41.77043111466611
1.016666666666668,218,7,182,168,0.8502415458937198,341.0111612203779,578.1793307392276,0.5811554831325433,0.0,-1492.4836932693345,322.8278381450126,356.7271612105757,0.9018628926255485,0.0,289.5412126171115,SPH_CORRIDOR,24.7430700284242,35.31710166057286
1.1166666666666676,218,5,156,168,0.8369565217391305,393.200813883809,571.7050826492879,0.6800672265144528,0.0,521.8965266343129,363.7539229626581,356.7271612105757,1.0196978602028415,0.0,409.26084817645665,SPH_CORRIDOR,14.147205910303057,26.413202061971788
1.2166666666666672,218,4,93,168,0.5859872611464968,96.71707003707826,555.0805022078605,0.16917301065243334,0.0,-2964.837438467318,189.104681823578,350.86037443203077,0.5301101300552489,0.0,-1746.4924113908073,SPH_CORRIDOR,3.354806377241516,17.54534004965626
1.3166666666666669,218,2,71,168,0.7634408602150538,186.7343000288959,542.1883851315968,0.33640940239505956,0.0,900.1722999181795,203.63540036821618,345.70750033979726,0.5803887107452904,0.0,145.30718544638228,SPH_OPENING_APPROACH,-5.419648416261623,10.602545776707586
1.4166666666666665,218,6,93,168,0.6078431372549019,654.7399849592522,542.1883851315968,1.2075876262091774,0.0,4680.05684930358,542.8330078936077,345.70750033979726,1.57020894067978,0.09999999999999964,3391.976075253927,SPH_OPENING_APPROACH,-13.109379322275913,6.204241409113763
1.5166666666666662,218,5,71,168,0.7634408602150538,930.0133374459949,542.1883851315968,1.7152955742869105,0.09999999999999964,2752.733524867437,641.1356753180763,345.70750033979726,1.8545610803581107,0.1999999999999993,983.0266742446896,SPH_OPENING_APPROACH,-19.703104022657385,3.754373661528348
