map_case,scope,metric,before_mean,after_mean,before_min,after_min,before_max,after_max
M0_STRAIGHT,ALL,gt_mean_forward_progress,79.64921564443759,39.95643529794199,0.01062649655816017,0.005256798337171631,172.71186386242385,86.57103199410088
M0_STRAIGHT,ALL,mean_speed_sanity,58.8908517528743,30.637194365907234,1.0319914277321371,0.784657636331246,65.223684301765,32.68714487684817
M0_STRAIGHT,ALL,max_speed,84.24583516565548,65.06892383581099,1.8,1.8,108.00000000000003,91.83054442580818
M0_STRAIGHT,ALL,min_inter_robot_distance,2.7418029498235126,2.7064769757080387,2.2327465206554797,2.174539661254136,2.958493960187131,2.950888916357899
M0_STRAIGHT,ALL,overlap_pair_count,0.03333333333333333,0.5333333333333333,0.0,0.0,1.0,11.0
M0_STRAIGHT,ALL,mean_density,nan,0.061006674477131886,nan,0.04407636409700839,nan,0.1242799137063047
M0_STRAIGHT,ALL,density_std,nan,0.011351707220864826,nan,0.009294501277752044,nan,0.021748836241269418
M0_STRAIGHT,ALL,mean_neighbor_degree,39.708921568627446,39.415,28.58235294117647,28.491176470588236,79.2,79.36764705882354
M0_STRAIGHT,ALL,reference_front_lateral_span,81.43323496432528,81.4317923943704,75.64936359294867,75.65750225005098,81.85387178420464,81.90920463938996
M0_STRAIGHT,ALL,reference_front_lateral_variance,592.7070832977686,584.1517330143256,513.2952134090904,492.9789768149083,629.1421128649564,629.7838159221272
M0_STRAIGHT,ALL,boundary_count,95.43333333333334,91.46666666666667,89.0,79.0,101.0,100.0
M0_STRAIGHT,ALL,boundary_fraction,0.14034313725490197,0.1345098039215686,0.13088235294117648,0.1161764705882353,0.14852941176470588,0.14705882352941177
M0_STRAIGHT,ALL,boundary_component_count,1.0,1.5333333333333334,1.0,1.0,1.0,2.0
M0_STRAIGHT,ALL,boundary_largest_component_fraction,1.0,0.9939686823224213,1.0,0.9873417721518988,1.0,1.0
M0_STRAIGHT,ALL,wall_contact_count,4013.6,3949.9,0.0,0.0,9130.0,8959.0
M0_STRAIGHT,ALL,outside_free_space_robot_count,0.0,0.0,0.0,0.0,0.0,0.0
M1_CROSS_BASELINE,ALL,gt_mean_forward_progress,77.48107031047576,39.715523989729235,0.01062649655816017,0.005256798337171631,162.71841018749717,84.64036004712129
M1_CROSS_BASELINE,ALL,mean_speed_sanity,55.62017054699468,30.34216014250751,1.0319914277321371,0.784657636331246,65.2888770355075,33.05772361866393
M1_CROSS_BASELINE,ALL,max_speed,83.25036613876026,64.83772219131573,1.8,1.8,108.00000000000001,91.56642944324835
