timestamp,front_cohort_size,front_cohort_center_x,front_cohort_center_y,runtime_forward_x,runtime_forward_y,front_cohort_lateral_variance,front_cohort_baseline,front_cohort_expansion_ratio,front_cohort_variance_rate,front_cohort_expansion_dwell,front_cohort_sustained_marker,boundary_count,boundary_fraction,component_count,largest_component_size,largest_component_fraction,second_component_size,second_component_fraction,min_component_angular_separation,boundary_membership_retention,first_component_split,component_match_collision_count,map_case,phase,evaluation_frontmost_progress,evaluation_front_center_progress,evaluation_entrance_progress,outside_free_space_robot_count,wall_penetration_event_count
9.5,16,-2.220446049250313e-16,-26.356753417790923,6.707597452658451e-18,1.0,383.73954408526663,257.87881245169854,1.4880615450218198,11.805631957982996,5.399999999999997,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-19.607514818363246,-26.356753417790923,-42.0,0,0
9.600000000000001,16,-2.220446049250313e-16,-25.308920185841114,8.095376233166114e-18,1.0,384.9509223057817,257.87881245169854,1.4927590159346036,12.11378220515087,5.4999999999999964,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-18.548094626200836,-25.308920185841114,-42.0,0,0
9.700000000000001,16,-6.661338147750939e-16,-24.261394193876768,8.789265622117091e-18,1.0,386.18696286756665,257.87881245169854,1.4975521222392034,12.360405617849324,5.599999999999996,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-17.489112247018475,-24.261394193876768,-42.0,0,0
9.8,16,4.440892098500626e-16,-23.21417791073681,9.483155011184101e-18,1.0,387.442656563687,257.87881245169854,1.5024214392807327,12.556936961203746,5.699999999999996,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-16.430563339399804,-23.21417791073681,-42.0,0,0
9.9,16,-6.661338147750939e-16,-22.167273974488634,8.789265618505706e-18,1.0,388.713902404114,257.87881245169854,1.5073510642791612,12.712458404269569,5.799999999999995,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-15.372443715864653,-22.167273974488634,-42.0,0,0
10.0,16,-2.220446049250313e-16,-21.120685649544306,1.0408340862469693e-17,1.0,389.99730811481095,257.87881245169854,1.512327842706576,12.83405710696968,5.899999999999995,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-14.314749329067391,-21.120685649544306,-42.0,0,0
10.100000000000001,16,-4.440892098500626e-16,-20.07441705802483,9.714451470466413e-18,1.0,391.29003450886364,257.87881245169854,1.517340764791033,12.927263940526927,5.999999999999995,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-13.257476259444891,-20.07441705802483,-42.0,0,0
10.200000000000001,16,-4.440892098500626e-16,-19.028472705257663,9.483155005957178e-18,1.0,392.58970043113766,257.87881245169854,1.5223805969118571,12.996659222740163,6.099999999999994,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-12.200620704187756,-19.028472705257663,-42.0,0,0
10.3,16,-2.220446049250313e-16,-17.9828569856234,1.110223024999792e-17,1.0,393.8943124008191,257.87881245169854,1.527439608768156,13.046119696814458,6.199999999999994,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-11.144178967417862,-17.9828569856234,-42.0,0,0
10.4,16,-6.661338147750939e-16,-16.937573868754235,1.1102230249286117e-17,1.0,395.20220488472467,257.87881245169854,1.532511341771233,13.078924839055617,6.299999999999994,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-10.088147451464621,-16.937573868754235,-42.0,0,0
10.5,16,-2.220446049250313e-16,-15.89262671398388,1.0408340858165205e-17,1.0,396.5119895817593,257.87881245169854,1.537590412380339,13.097846970346154,6.399999999999993,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-9.03252264914047,-15.89262671398388,-42.0,0,0
10.600000000000001,16,2.220446049250313e-16,-14.848018175074086,9.94574793071727e-18,1.0,397.82251236754996,257.87881245169854,1.5426723451429858,13.105227857906812,6.499999999999993,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-7.977301136923307,-14.848018175074086,-42.0,0,0
10.700000000000001,16,0.0,-13.803750167601672,9.483155003384045e-18,1.0,399.1328167607437,257.87881245169854,1.5477534310249024,13.103043931937464,6.5999999999999925,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-6.922479568960207,-13.803750167601672,-42.0,0,0
10.8,16,0.0,-12.759823879309593,1.0177044393594681e-17,1.0,400.4421129504219,257.87881245169854,1.5528306073048397,13.092961896782072,6.699999999999992,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-5.868054671814782,-12.759823879309593,-42.0,0,0
10.9,16,8.881784197001252e-16,-11.716239809642683,8.326672685482234e-18,1.0,401.7497515727245,257.87881245169854,1.5579013558858132,13.076386223025906,6.799999999999992,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-4.814023239896207,-11.716239809642683,-42.0,0,0
11.0,16,4.440892098500626e-16,-10.672997828663114,7.63278329488717e-18,1.0,403.0552015431877,257.87881245169854,1.5629636173335533,13.054499704632008,6.8999999999999915,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-3.7603821315360095,-10.672997828663114,-42.0,0,0
11.100000000000001,16,-4.440892098500626e-16,-9.630097247308306,5.782411586950923e-18,1.0,404.35803133439714,257.87881245169854,1.5680157182751668,13.028297912094331,6.999999999999991,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-2.7071282657158813,-9.630097247308306,-42.0,0,0
11.200000000000001,16,4.440892098500626e-16,-8.587536891820193,4.62592926950578e-18,1.0,405.65789573715756,257.87881245169854,1.5730563200617285,12.9986440276042,7.099999999999991,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-1.6542586194755926,-8.587536891820193,-42.0,0,0
11.3,16,-1.3322676295501878e-15,-7.545315175717749,3.0068540251498215e-18,1.0,406.9545415236714,257.87881245169854,1.5780844407288994,12.966457865138636,7.19999999999999,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,-0.6017702311355442,-7.545315175717749,-42.0,0,0
11.4,16,4.440892098500626e-16,-6.503430161738403,3.469446952068905e-18,1.0,408.2477800894007,257.87881245169854,1.5830993489078002,12.932385657292684,7.29999999999999,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,0.45033977564523386,-6.503430161738403,-42.0,0,0
11.5,16,-8.881784197001252e-16,-5.461879617178922,2.081668171228199e-18,1.0,409.5374678912332,257.87881245169854,1.5881004879683194,12.896878018324855,7.39999999999999,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,1.5020741652377925,-5.461879617178922,-42.0,0,0
11.600000000000001,16,1.7763568394002505e-15,-4.420661065421283,4.625929269372342e-19,1.0,410.8234990820318,257.87881245169854,1.593087447457438,12.860311907986102,7.499999999999989,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,2.553435573288231,-4.420661065421283,-42.0,0,0
11.700000000000001,16,4.440892098500626e-16,-3.3797718327910595,-1.1564823173382945e-18,1.0,412.1057992381461,257.87881245169854,1.5980599387758339,12.823001561143315,7.599999999999989,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,3.6044264975554126,-3.3797718327910595,-42.0,0,0
11.8,16,0.0,-2.339209090292466,-4.625929269337654e-19,1.0,413.3843200175109,257.87881245169854,1.6030177744631076,12.785207793647828,7.699999999999989,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,4.655049294141149,-2.339209090292466,-42.0,0,0
11.9,16,8.881784197001252e-16,-1.298969890162424,-1.156482317331271e-18,1.0,414.65903461117244,257.87881245169854,1.607960850559754,12.747145936615425,7.799999999999988,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,5.705306177491089,-1.298969890162424,-42.0,0,0
12.0,16,0.0,-0.25905119744748684,-9.2518585386298e-19,1.0,415.9299338720549,257.87881245169854,1.6128891315953295,12.708992608824587,7.899999999999988,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,6.755199222983151,-0.25905119744748684,-42.0,0,0
12.100000000000001,16,4.440892098500626e-16,0.7805500830447583,-1.0408340855939965e-18,1.0,417.1970319044756,257.87881245169854,1.6178026722634216,12.670980324206766,7.999999999999988,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,7.804730371250093,0.7805500830447583,-42.0,0,0
12.200000000000001,16,-4.440892098500626e-16,1.8198370861193767,-6.938893903949955e-19,1.0,418.46039722803994,257.87881245169854,1.6227017382687026,12.633653235643578,8.099999999999987,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,8.853901433629183,1.8198370861193767,-42.0,0,0
12.3,16,-4.440892098500626e-16,2.8588129746472375,2.3129646346472786e-19,1.0,419.7201030275067,257.87881245169854,1.6275866134063321,12.59705799466758,8.199999999999987,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,9.902714098332796,2.8588129746472375,-42.0,0,0
12.4,16,-4.440892098500626e-16,3.8974809296475064,-4.625929269290173e-19,1.0,420.9762189856035,257.87881245169854,1.6324575678913273,12.561159580968138,8.299999999999986,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,10.951169937097307,3.8974809296475064,-42.0,0,0
12.5,16,0.0,4.935845673954162,-3.4694469519649673e-19,1.0,422.2287447699863,257.87881245169854,1.637314600434927,12.52525784382783,8.399999999999986,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,11.99927041214059,4.935845673954162,-42.0,0,0
12.600000000000001,16,8.881784197001252e-16,5.973916504777905,-2.312964634641874e-19,1.0,423.47747618039625,257.87881245169854,1.6421569191913152,12.487314104099596,8.499999999999986,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,13.047016883292438,5.973916504777905,-42.0,0,0
12.700000000000001,16,-4.440892098500626e-16,7.011701936848873,-1.27213054905239e-18,1.0,424.7222358065785,257.87881245169854,1.646983836200697,12.447596261822582,8.599999999999985,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,14.094410615195429,7.011701936848873,-42.0,0,0
12.8,16,4.440892098500626e-16,8.049209146809616,-1.2721305490518708e-18,1.0,425.96289613494696,257.87881245169854,1.651794856992104,12.40660328368449,8.699999999999985,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M1_CROSS_BASELINE,JUNCTION_REGION,15.141452784504997,8.049209146809616,-42.0,0,0
