case,frame,timestamp,event,pipeline_state,junction_detected,opening_group_count,speed,x_eval_only,y_eval_only,yaw_eval_only
M1_CROSS_BASELINE,0,0.016666666666666666,START_MOVING,MOVING_LIDAR,False,0,1.799992790879454,-1.4001210697211428,-56.11000036445194,90.0
M1_CROSS_BASELINE,126,2.116666666666664,JUNCTION_SUSPECTED,JUNCTION_SUSPECTED_STOPPING,True,2,50.21234141962963,-2.2048559153023706,67.390883345553,90.0
