case,left_no_return_fraction,left_longest_no_return_span_deg,left_free_span_deg,left_wall_support_count,left_range_discontinuity_strength,left_tangent_available,left_tangent_deg,left_wall_fit_residual,left_usable_angular_range_deg,left_wall_termination_evidence,left_mean_range,right_no_return_fraction,right_longest_no_return_span_deg,right_free_span_deg,right_wall_support_count,right_range_discontinuity_strength,right_tangent_available,right_tangent_deg,right_wall_fit_residual,right_usable_angular_range_deg,right_wall_termination_evidence,right_mean_range,left_right_asymmetry,signed_mean_range_asymmetry,geometry_symmetric,local_preferred_side_by_mean_range
M1_CROSS_BASELINE,0.0,0.0,0.0,91,0.9677214438575419,True,0.0,4.078709772048188e-14,90.0,0,45.285951094726954,0.0,0.0,0.0,91,1.0524761500814463,True,0.0,4.800090087325843e-14,90.0,0,49.252172475339,0.026441475870746977,-0.026441475870746977,False,RIGHT
M0_STRAIGHT,0.0,0.0,0.0,91,0.9683090089425761,True,0.0,5.5816825169306223e-14,90.0,0,45.31344706877465,0.0,0.0,0.0,91,1.0518885849964192,True,0.0,7.696721768405273e-14,90.0,0,49.2246765012913,0.026074862883444395,-0.026074862883444395,False,RIGHT
