case,gap_id,feature,value,matched_branch_eval_only,is_false_gap_eval_only
EXP035_F+0.700_L+0.100,0,gap_width_over_W_hat,1.4448138102723587,FALSE,True
EXP035_F+0.700_L+0.100,0,free_continuation,56.392803850190035,FALSE,True
EXP035_F+0.700_L+0.100,0,gap_tangent_deg_local,45.16069261514448,FALSE,True
EXP035_F+0.700_L+0.100,0,opening_normal_deg_local,-44.83930738485552,FALSE,True
EXP035_F+0.700_L+0.100,0,free_space_direction_deg_local,-5.5991622548802695,FALSE,True
EXP035_F+0.700_L+0.100,0,normal_free_alignment,0.7745014578986154,FALSE,True
EXP035_F+0.700_L+0.100,0,relative_opening_angle_deg,-44.83930738485552,FALSE,True
EXP035_F+0.700_L+0.100,0,endpoint_a_wall_tangent_deg,[0.0],FALSE,True
EXP035_F+0.700_L+0.100,0,endpoint_b_wall_tangent_deg,[-89.99999999999999],FALSE,True
EXP035_F+0.700_L+0.100,0,gap_boundary_wall_alignment_error_deg,44.839307384855545,FALSE,True
EXP035_F+0.700_L+0.100,0,endpoint_type_combination,WALL_TERMINATION+WALL_TERMINATION,FALSE,True
EXP035_F+0.700_L+0.100,0,geometry_support,False,FALSE,True
EXP035_F+0.700_L+0.100,2,gap_width_over_W_hat,1.000023759870627,INCOMING,False
EXP035_F+0.700_L+0.100,2,free_continuation,98.32903054571688,INCOMING,False
EXP035_F+0.700_L+0.100,2,gap_tangent_deg_local,89.60503795163622,INCOMING,False
EXP035_F+0.700_L+0.100,2,opening_normal_deg_local,-0.39496204836379334,INCOMING,False
EXP035_F+0.700_L+0.100,2,free_space_direction_deg_local,-11.34221165477928,INCOMING,False
EXP035_F+0.700_L+0.100,2,normal_free_alignment,0.9818024391403716,INCOMING,False
EXP035_F+0.700_L+0.100,2,relative_opening_angle_deg,-0.39496204836379334,INCOMING,False
EXP035_F+0.700_L+0.100,2,endpoint_a_wall_tangent_deg,[0.0],INCOMING,False
EXP035_F+0.700_L+0.100,2,endpoint_b_wall_tangent_deg,[0.0],INCOMING,False
EXP035_F+0.700_L+0.100,2,gap_boundary_wall_alignment_error_deg,89.60503795163622,INCOMING,False
EXP035_F+0.700_L+0.100,2,endpoint_type_combination,WALL_TERMINATION+WALL_TERMINATION,INCOMING,False
EXP035_F+0.700_L+0.100,2,geometry_support,False,INCOMING,False
EXP035_F+0.700_L+0.100,4,gap_width_over_W_hat,1.0121713640147394,RIGHT,False
