timestamp,front_cohort_size,front_cohort_center_x,front_cohort_center_y,runtime_forward_x,runtime_forward_y,front_cohort_lateral_variance,front_cohort_baseline,front_cohort_expansion_ratio,front_cohort_variance_rate,front_cohort_expansion_dwell,front_cohort_sustained_marker,boundary_count,boundary_fraction,component_count,largest_component_size,largest_component_fraction,second_component_size,second_component_fraction,min_component_angular_separation,boundary_membership_retention,first_component_split,component_match_collision_count,map_case,phase,evaluation_frontmost_progress,evaluation_front_center_progress,evaluation_entrance_progress,outside_free_space_robot_count,wall_penetration_event_count
12.600000000000001,16,0.0905277400797937,5.983488130897557,0.0016946483640567491,0.9999985640824302,418.2931838985609,257.87881245169854,1.6220533200140608,12.622395795200987,8.499999999999986,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,13.047923447575894,5.983488130897557,-42.0,0,0
12.700000000000001,16,0.09051207321151633,7.021635070500316,0.0016111276455551696,0.9999987021330127,419.551566658326,257.87881245169854,1.6269330646809508,12.583827597650838,8.599999999999985,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,14.09541405376023,7.021635070500316,-42.0,0,0
12.8,16,0.090486960050147,8.059486460373925,0.0014964525088781294,0.9999988803143175,420.8059859504592,257.87881245169854,1.6317974398508501,12.544192921332069,8.699999999999985,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,15.14256197036936,8.059486460373925,-42.0,0,0
12.9,16,0.09045137996061947,9.097046803631214,0.0014032669747384397,0.9999990154204141,422.05636454029707,257.87881245169854,1.6366461460239177,12.50378589837851,8.799999999999985,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,16.189368837976634,9.097046803631214,-42.0,0,0
13.0,16,0.09040459418958213,10.134320189279403,0.001420955923325522,0.9999989904416224,423.30268467467806,257.87881245169854,1.6414791143571126,12.463201343809942,8.899999999999984,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,17.235836208725686,10.134320189279403,-42.0,0,0
13.100000000000001,16,0.09034608321225779,11.171310362478541,0.0014357103284391565,0.9999989693673954,424.5449770033666,257.87881245169854,1.6462964637037996,12.422923286885634,8.999999999999984,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,18.281965548951735,11.171310362478541,-42.0,0,0
13.200000000000001,16,0.0902754969911741,12.208020783846276,0.0014480504969324774,0.9999989515743296,425.78326208850933,257.87881245169854,1.651098273799674,12.382850851427065,9.099999999999984,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,19.327758241797802,12.208020783846276,-42.0,0,0
13.3,16,0.09019280608134261,13.244454869878293,0.001458388434109797,0.9999989365510221,427.0175593878595,257.87881245169854,1.6558846200978266,12.342972993501462,9.199999999999983,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,20.373215589929654,13.244454869878293,-42.0,0,0
13.4,16,0.09010025368209718,14.280618034563727,0.0014670489829851363,0.9999989238830617,428.2478007037664,257.87881245169854,1.6606552381420574,12.302413159069374,9.299999999999983,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,21.418338818413577,14.280618034563727,-42.0,0,0
13.5,16,0.09000087386563194,15.316516227447575,0.0014742876932641682,0.9999989132373082,429.47389038155484,257.87881245169854,1.6654097570035793,12.260896777884227,9.399999999999983,True,24,0.5,1,24,1.0,0,0.0,nan,1.0,0,0,M4_ASYMMETRIC_CROSS,JUNCTION_REGION,22.463129077790622,15.316516227447575,-42.0,0,0
