frame,time,yaw_eval_only,psi_current_deg,psi_stable_deg,orientation_error_eval_only,left_wall_orientation_deg,right_wall_orientation_deg,parallel_error_deg,left_wall_perp_distance,right_wall_perp_distance,estimated_corridor_width,estimated_offset,orientation_initialized,orientation_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,GT_phase_eval_only,GT_opening_visible_eval_only,noise_std,dropout,occlusion
66,1.1166666666666676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.270845843339856,43.729154156660144,84.0,1.5570877890311081,True,True,15,2,True,"[{""group_id"":0,""start_angle_deg"":-24.5,""end_angle_deg"":-16.5,""center_angle_deg"":-20.5,""angular_width_deg"":8.0,""beam_count"":8,""start_body_angle_deg"":-24.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-20.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":23.57069172225527,""max_delta_range"":42.48779302013688},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":22.5,""center_angle_deg"":19.0,""angular_width_deg"":7.0,""beam_count"":7,""start_body_angle_deg"":15.5,""end_body_angle_deg"":22.5,""center_body_angle_deg"":19.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":24.932674816075867,""max_delta_range"":42.49829941292943}]",CORRIDOR,True,0.0,0.0,0.0
72,1.2166666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2660009716511,43.7339990283489,84.0,1.5570877890311081,True,True,17,2,True,"[{""group_id"":0,""start_angle_deg"":-25.5,""end_angle_deg"":-16.5,""center_angle_deg"":-21.0,""angular_width_deg"":9.0,""beam_count"":9,""start_body_angle_deg"":-25.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-21.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":26.10777960773246,""max_delta_range"":46.516542261531015},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":23.5,""center_angle_deg"":19.5,""angular_width_deg"":8.0,""beam_count"":8,""start_body_angle_deg"":15.5,""end_body_angle_deg"":23.5,""center_body_angle_deg"":19.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":27.697635631345353,""max_delta_range"":46.9470358623949}]",CORRIDOR,True,0.0,0.0,0.0
78,1.3166666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2635364509898,43.73646354901022,84.0,1.5570877890311081,True,True,19,2,True,"[{""group_id"":0,""start_angle_deg"":-26.5,""end_angle_deg"":-16.5,""center_angle_deg"":-21.5,""angular_width_deg"":10.0,""beam_count"":10,""start_body_angle_deg"":-26.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-21.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":28.51367842727625,""max_delta_range"":50.2296025425824},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":24.5,""center_angle_deg"":20.0,""angular_width_deg"":9.0,""beam_count"":9,""start_body_angle_deg"":15.5,""end_body_angle_deg"":24.5,""center_body_angle_deg"":20.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":30.294367529899944,""max_delta_range"":51.008337614946086}]",CORRIDOR,True,0.0,0.0,0.0
0,0.016666666666666666,10.0,10.0,nan,nan,10.0,10.0,0.0,40.60068770536692,43.39931229463307,nan,nan,False,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
6,0.11666666666666665,10.0,10.0,10.0,0.0,10.0,10.0,0.0,40.63037971960617,43.36962028039384,84.0,1.3696202803938355,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
12,0.21666666666666665,10.0,10.0,10.0,0.0,10.0,10.0,0.0,40.67671988710141,43.32328011289857,84.0,1.3232801128985798,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
18,0.31666666666666665,10.0,10.0,10.0,0.0,10.0,10.0,0.0,40.770788150086005,43.22921184991402,84.00000000000001,1.2292118499140088,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
24,0.41666666666666663,10.0,10.0,10.0,0.0,10.0,10.0,0.0,40.878586902913696,43.121413097086304,84.00000000000001,1.1214130970863039,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
30,0.5166666666666666,10.0,10.0,10.0,0.0,10.0,10.0,0.0,40.96426149031724,43.035738509682766,84.00000000000001,1.1214130970863039,True,True,2,0,False,[],CORRIDOR,True,0.0,0.0,0.0
36,0.6166666666666669,10.0,10.0,10.0,0.0,10.0,10.0,0.0,41.0624632081608,42.93753679183921,84.00000000000001,1.1214130970863039,True,True,4,2,True,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":-8.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-7.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.095899819679147,""max_delta_range"":11.051212155210067},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":25.5,""end_body_angle_deg"":27.5,""center_body_angle_deg"":26.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":5.2905641519100755,""max_delta_range"":9.553908449857204}]",CORRIDOR,True,0.0,0.0,0.0
42,0.7166666666666672,10.0,10.0,10.0,0.0,10.0,10.0,0.0,41.24980038012814,42.75019961987187,84.00000000000001,1.1214130970863039,True,True,6,2,True,"[{""group_id"":0,""start_angle_deg"":-19.5,""end_angle_deg"":-16.5,""center_angle_deg"":-18.0,""angular_width_deg"":3.0,""beam_count"":3,""start_body_angle_deg"":-9.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-8.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.376420255993603,""max_delta_range"":18.690475298014434},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":18.5,""center_angle_deg"":17.0,""angular_width_deg"":3.0,""beam_count"":3,""start_body_angle_deg"":25.5,""end_body_angle_deg"":28.5,""center_body_angle_deg"":27.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":8.591189775371106,""max_delta_range"":16.51284191160866}]",CORRIDOR,True,0.0,0.0,0.0
48,0.8166666666666675,10.0,10.0,10.0,0.0,10.0,10.0,0.0,41.488130357709686,42.51186964229032,84.00000000000001,1.1214130970863039,True,True,7,2,True,"[{""group_id"":0,""start_angle_deg"":-20.5,""end_angle_deg"":-16.5,""center_angle_deg"":-18.5,""angular_width_deg"":4.0,""beam_count"":4,""start_body_angle_deg"":-10.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-8.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.53783135397476,""max_delta_range"":25.703608480711978},{""group_id"":1,""start_angle_deg"":16.5,""end_angle_deg"":19.5,""center_angle_deg"":18.0,""angular_width_deg"":3.0,""beam_count"":3,""start_body_angle_deg"":26.5,""end_body_angle_deg"":29.5,""center_body_angle_deg"":28.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.468858667075873,""max_delta_range"":22.56698854073781}]",CORRIDOR,True,0.0,0.0,0.0
54,0.9166666666666679,10.0,10.0,10.0,0.0,10.0,10.0,0.0,41.71123622568199,42.288763774318014,84.00000000000001,1.1214130970863039,True,True,9,2,True,"[{""group_id"":0,""start_angle_deg"":-21.5,""end_angle_deg"":-16.5,""center_angle_deg"":-19.0,""angular_width_deg"":5.0,""beam_count"":5,""start_body_angle_deg"":-11.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-9.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":19.394049069334322,""max_delta_range"":31.9962448428374},{""group_id"":1,""start_angle_deg"":16.5,""end_angle_deg"":20.5,""center_angle_deg"":18.5,""angular_width_deg"":4.0,""beam_count"":4,""start_body_angle_deg"":26.5,""end_body_angle_deg"":30.5,""center_body_angle_deg"":28.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":18.07018070472026,""max_delta_range"":28.044503987108996}]",CORRIDOR,True,0.0,0.0,0.0
60,1.016666666666668,10.0,10.0,10.0,0.0,10.0,10.0,0.0,41.944149009294186,42.055850990705835,84.00000000000001,1.1214130970863039,True,True,12,2,True,"[{""group_id"":0,""start_angle_deg"":-22.5,""end_angle_deg"":-16.5,""center_angle_deg"":-19.5,""angular_width_deg"":6.0,""beam_count"":6,""start_body_angle_deg"":-12.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-9.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":23.050034673980985,""max_delta_range"":37.733286787046055},{""group_id"":1,""start_angle_deg"":16.5,""end_angle_deg"":22.5,""center_angle_deg"":19.5,""angular_width_deg"":6.0,""beam_count"":6,""start_body_angle_deg"":26.5,""end_body_angle_deg"":32.5,""center_body_angle_deg"":29.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":23.38721873596064,""max_delta_range"":38.0314715584167}]",CORRIDOR,True,0.0,0.0,0.0
66,1.1166666666666676,10.0,10.0,10.0,0.0,10.0,10.0,0.0,42.18428281968064,41.81571718031936,84.00000000000001,1.1214130970863039,True,True,14,2,True,"[{""group_id"":0,""start_angle_deg"":-23.5,""end_angle_deg"":-16.5,""center_angle_deg"":-20.0,""angular_width_deg"":7.0,""beam_count"":7,""start_body_angle_deg"":-13.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-10.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":26.518608778382653,""max_delta_range"":42.980839939740605},{""group_id"":1,""start_angle_deg"":16.5,""end_angle_deg"":23.5,""center_angle_deg"":20.0,""angular_width_deg"":7.0,""beam_count"":7,""start_body_angle_deg"":26.5,""end_body_angle_deg"":33.5,""center_body_angle_deg"":30.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":25.430238161455026,""max_delta_range"":42.03756817947338}]",CORRIDOR,True,0.0,0.0,0.0
72,1.2166666666666672,10.0,10.0,10.0,0.0,10.0,10.0,0.0,42.420321270170845,41.579678729829176,84.00000000000001,1.1214130970863039,True,True,16,2,True,"[{""group_id"":0,""start_angle_deg"":-24.5,""end_angle_deg"":-16.5,""center_angle_deg"":-20.5,""angular_width_deg"":8.0,""beam_count"":8,""start_body_angle_deg"":-14.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-10.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":29.785234322386042,""max_delta_range"":47.772478979524095},{""group_id"":1,""start_angle_deg"":16.5,""end_angle_deg"":24.5,""center_angle_deg"":20.5,""angular_width_deg"":8.0,""beam_count"":8,""start_body_angle_deg"":26.5,""end_body_angle_deg"":34.5,""center_body_angle_deg"":30.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":27.35477672644242,""max_delta_range"":45.705680832239864}]",CORRIDOR,True,0.0,0.0,0.0
