case,yaw_eval_only,sample_count,orientation_initialization_time,psi_before_opening,orientation_error_before_opening_eval_only,width_before_opening,clear_samples,first_candidate_time,first_group_time,first_detection_time,orientation_at_freeze,width_at_freeze,opening_group_count,opening_groups,false_trigger_before_opening_visibility,orientation_contamination_after_freeze,width_contamination_after_freeze
M1_CROSS_BASELINE_REAR_START,0.0,14,0.11666666666666665,0.0,0.0,84.0,6,0.5166666666666666,0.6166666666666669,0.6166666666666669,0.0,84.0,2,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":-18.5,""end_body_angle_deg"":-16.5,""center_body_angle_deg"":-17.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":4.590157163371302,""max_delta_range"":8.614823665967094},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":15.5,""end_body_angle_deg"":17.5,""center_body_angle_deg"":16.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.9438299313386125,""max_delta_range"":12.129005273229978}]",0,0.0,0.0
M1_CROSS_BASELINE_REAR_START,10.0,14,0.11666666666666665,10.0,0.0,84.0,6,0.5166666666666666,0.6166666666666669,0.6166666666666669,10.0,84.00000000000001,2,"[{""group_id"":0,""start_angle_deg"":-18.5,""end_angle_deg"":-16.5,""center_angle_deg"":-17.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":-8.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-7.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":7.095899819679147,""max_delta_range"":11.051212155210067},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":25.5,""end_body_angle_deg"":27.5,""center_body_angle_deg"":26.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":5.2905641519100755,""max_delta_range"":9.553908449857204}]",0,0.0,0.0
M1_CROSS_BASELINE_REAR_START,-10.0,14,0.11666666666666665,-10.0,0.0,84.00000000000001,7,0.6166666666666669,0.7166666666666672,0.7166666666666672,-10.0,84.00000000000001,2,"[{""group_id"":0,""start_angle_deg"":-19.5,""end_angle_deg"":-17.5,""center_angle_deg"":-18.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":-29.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-28.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":9.177120400442945,""max_delta_range"":12.850042825084529},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":5.5,""end_body_angle_deg"":7.5,""center_body_angle_deg"":6.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.331350736319976,""max_delta_range"":15.416724932394857}]",0,0.0,0.0
