case_id,candidate_id,trigger_frame,trigger_time,trigger_speed,local_reason,group_count,opening_centers,opening_widths,existing_observation_window,new_threshold_used,runtime_gt_used
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,A_SIDE_WALL_LOSS_PERSISTED,168,2.8166666666666615,45.09408469458366,Junction latched AND current side-wall fit invalid for existing initialization_scan_count,2,"[-90.0,44.0]","[147.0,45.0]",2,False,False
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,B_BILATERAL_LATERAL_GROUPS_PERSISTED,180,3.016666666666661,44.5562864067257,Junction latched AND opening centers in both existing lateral wall-fit sectors for existing initialization_scan_count,2,"[-90.0,51.0]","[147.0,55.0]",2,False,False
