case_id,candidate_id,detection_frame,trigger_frame,trigger_x_eval_only,trigger_y_eval_only,stop_frame,stop_x_eval_only,stop_y_eval_only,stop_distance_from_trigger,anchor_frame,anchor_x_eval_only,anchor_y_eval_only,inside_junction_eval_only,distance_to_center_eval_only,distance_to_entry_eval_only,approach_duration_frames,approach_distance,outgoing_visible_count_eval_only,side_visible_count_eval_only,anchor_observation_improved_vs_immediate,new_threshold_used,runtime_gt_used,same_brake_law
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,CURRENT_IMMEDIATE_BRAKE,36,37,-1.700389975560462,-171.47879403284398,75,-1.7620767063530764,-152.77859432514987,18.700301451056845,80,-1.7620542030564665,-152.74884977027222,False,152.75901263478923,110.74884977027222,1,1.4124871902183729,1,0,False,False,False,True
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,A_SIDE_WALL_LOSS_PERSISTED,36,168,-1.772917438740551,-59.581514065527564,204,-1.77547564713305,-48.87265587458341,10.70885849650568,209,-1.775474181639182,-48.823158621367575,False,48.855430878632994,6.8231586213675754,132,113.309762016928,1,0,False,False,False,True
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,B_BILATERAL_LATERAL_GROUPS_PERSISTED,36,180,-1.7763053486121192,-50.54493105295288,216,-1.777664899408297,-40.37055230083319,10.174378842954644,221,-1.777661529818736,-40.329315371814026,True,40.36847481480856,-1.670684628185974,144,122.34634514273621,3,2,True,False,False,True
