case_id,frame,time,speed,junction_detected,junction_detected_latched_shadow,open_candidate_count,opening_group_count,opening_centers,opening_widths,left_side_opening_width_deg,right_side_opening_width_deg,group_1_center_deg,group_1_width_deg,group_1_start_deg,group_1_end_deg,group_2_center_deg,group_2_width_deg,group_2_start_deg,group_2_end_deg,forward_open_candidate_count,rearward_open_candidate_count,sensor_limit_count,sensor_limit_ratio,side_walls_valid,parallel_error_deg,current_width,current_offset,current_orientation,stable_width,stable_offset,stable_orientation,stable_model_initialized,expected_profile_source,side_wall_invalid_streak_samples,bilateral_lateral_group_streak_samples,shadow_state,candidate_a,candidate_b,candidate_c,leader_x_eval_only,leader_y_eval_only,leader_inside_junction_eval_only,leader_distance_to_center_eval_only,leader_distance_to_entry_eval_only
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,0,0.016666666666666666,1.799992790879454,False,False,0,0,[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,64,0.17777777777777778,True,0.0,84.0,1.4001210697211057,0.0,nan,nan,nan,False,CURRENT_MODEL,0,0,PRE_DETECTION,False,False,False,-1.4001210697211428,-216.11000036445193,False,216.1145358288824,174.11000036445193
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,6,0.11666666666666665,35.799365270424715,False,False,0,0,[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,64,0.17777777777777778,True,0.0,84.0,1.409118945088828,0.0,84.0,1.409118945088828,0.0,True,CURRENT_MODEL,0,0,PRE_DETECTION,False,False,False,-1.4091189450888937,-214.19160676275652,False,214.19624185268222,172.19160676275652
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,12,0.21666666666666665,74.70761113595074,False,False,0,0,[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,64,0.17777777777777778,True,0.0,84.0,1.4646870524810716,0.0,84.0,1.4646870524810716,0.0,True,CURRENT_MODEL,0,0,PRE_DETECTION,False,False,False,-1.4646870524810047,-208.0906111131302,False,208.0957657944959,166.0906111131302
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,18,0.31666666666666665,90.70103164960238,False,False,0,0,[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,64,0.17777777777777778,True,0.0,84.0,1.5129702362427402,0.0,84.0,1.5129702362427402,0.0,True,CURRENT_MODEL,0,0,PRE_DETECTION,False,False,False,-1.512970236242673,-199.58851052565635,False,199.59424493904075,157.58851052565635
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,24,0.41666666666666663,91.83054442580814,False,False,0,0,[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,64,0.17777777777777778,True,0.0,83.99999999999999,1.5570877890311081,0.0,84.0,1.5570877890311081,0.0,True,CURRENT_MODEL,0,0,PRE_DETECTION,False,False,False,-1.5570877890311259,-190.31866056563157,False,190.32503009819501,148.31866056563157
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,30,0.5166666666666666,86.6023285696093,False,False,2,0,[],[],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,0,66,0.18333333333333332,True,0.0,84.0,1.6253387910569401,0.0,84.0,1.5570877890311081,0.0,True,CURRENT_MODEL,0,0,PRE_DETECTION,False,False,False,-1.6253387910568955,-181.48195731270405,False,181.48923537288886,139.48195731270405
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,36,0.6166666666666669,85.79494863914204,True,True,4,2,"[-17.5,16.5]","[2.0,2.0]",2.0,2.0,-17.5,2.0,-18.5,-16.5,16.5,2.0,15.5,17.5,4,0,68,0.18888888888888888,True,0.0,84.0,1.690422239914799,0.0,84.0,1.5570877890311081,0.0,True,CURRENT_MODEL,0,0,CONTROLLED_APPROACH,False,False,False,-1.690422239914758,-172.89124605212714,False,172.89950979920783,130.89124605212714
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,42,0.7166666666666672,81.50258074131237,True,True,6,2,"[-18.0,17.0]","[3.0,3.0]",3.0,3.0,-18.0,3.0,-19.5,-16.5,17.0,3.0,15.5,18.5,6,0,70,0.19444444444444445,True,0.0,84.0,1.7176026200690906,0.0,84.0,1.5570877890311081,0.0,True,CURRENT_MODEL,0,0,CONTROLLED_APPROACH,False,False,False,-1.7176026200690448,-164.50706108159798,False,164.51602750025626,122.50706108159798
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,48,0.8166666666666675,70.30429010010607,True,True,8,2,"[-18.5,17.5]","[4.0,4.0]",4.0,4.0,-18.5,4.0,-20.5,-16.5,17.5,4.0,15.5,19.5,8,0,72,0.2,True,0.0,84.0,1.7113073075602259,0.0,84.0,1.5570877890311081,0.0,True,CURRENT_MODEL,0,0,CONTROLLED_APPROACH,False,False,False,-1.7113073075602405,-156.96619686061356,False,156.97552525660106,114.96619686061356
M1_PRE_CORRIDOR_CONTROLLED_APPROACH_SHADOW,54,0.9166666666666679,58.311735955522316,True,True,10,2,"[-19.0,18.0]","[5.0,5.0]",5.0,5.0,-19.0,5.0,-21.5,-16.5,18.0,5.0,15.5,20.5,10,0,74,0.20555555555555555,True,0.0,83.99999999999999,1.7097958756559137,0.0,84.0,1.5570877890311081,0.0,True,CURRENT_MODEL,0,0,CONTROLLED_APPROACH,False,False,False,-1.7097958756559746,-150.67871089160275,False,150.68841135897483,108.67871089160275
